date,AEP,XLU,beta,value,price
2010-03-31,34.18,29.66,1.153844803494135,-0.043036871636047636,29.956963128363952
2010-04-01,34.49,30.07,1.1543557205976014,-0.2214765183698688,29.77852348163013
2010-04-05,34.31,30.25,1.154753605859432,-0.6212965772478185,29.37870342275218
2010-04-06,34.3,30.5,1.1548529039406226,-0.9230135701889921,29.076986429811008
2010-04-07,34.08,30.2,1.1545113913222587,-0.7862440179322121,29.213755982067788
2010-04-08,33.96,30.02,1.1539845595990652,-0.6826164791639329,29.317383520836067
2010-04-09,34.27,30.24,1.1535073592979503,-0.6120625451700121,29.387937454829988
2010-04-12,34.08,30.32,1.1531805309768859,-0.8844336992191799,29.11556630078082
2010-04-13,34.07,30.16,1.1526635992517351,-0.6943341534323295,29.30566584656767
2010-04-14,33.9,30.19,1.1520709318800293,-0.8810214334580877,29.118978566541912
2010-04-15,33.77,30.18,1.1513384495585466,-0.9773944076769325,29.022605592323067
2010-04-16,33.73,29.83,1.150525259410877,-0.5901684882264604,29.40983151177354
2010-04-19,33.8,29.86,1.1496550050327683,-0.528698450278462,29.471301549721538
2010-04-20,33.95,30.24,1.1487490139005143,-0.7881701803515497,29.21182981964845
2010-04-21,33.95,30.27,1.147644702346497,-0.7892051400284643,29.210794859971536
2010-04-22,33.98,30.37,1.1465333523207288,-0.840217909980538,29.159782090019462
2010-04-23,34.02,30.61,1.1454538539877117,-1.0423424705638524,28.957657529436148
2010-04-26,33.76,30.5,1.1441563944159947,-1.1367700296878382,28.86322997031216
2010-04-27,33.34,29.98,1.1429073283088669,-0.9243617026998265,29.075638297300173
2010-04-28,33.52,30.29,1.1418862444333966,-1.0677343438875795,28.93226565611242
2010-04-29,33.84,30.32,1.1409078758095776,-0.7523267945463914,29.24767320545361
2010-04-30,34.3,30.44,1.1399848225750369,-0.4011379991841295,29.59886200081587
2010-05-03,34.56,30.83,1.1393168733248398,-0.5651392046048045,29.434860795395196
2010-05-04,33.61,30.3,1.1385866385784191,-0.8891751489260997,29.1108248510739
2010-05-05,33.37,30.09,1.1376974190310063,-0.8633153386429839,29.136684661357016
