date,INTC,XLK,beta,value,price
2010-03-31,22.29,23.1,0.9367667401006503,0.6506883036749755,30.650688303674976
2010-04-01,22.39,23.06,0.9379931311160966,0.7598783964628133,30.759878396462813
2010-04-05,22.59,23.33,0.9393110480975826,0.6758732478833984,30.6758732478834
2010-04-06,22.4,23.35,0.9404498898660479,0.44049507162777957,30.44049507162778
2010-04-07,22.45,23.26,0.9415100546670926,0.5504761284434245,30.550476128443425
2010-04-08,22.31,23.3,0.9426092619507238,0.34720419654813384,30.347204196548134
2010-04-09,22.55,23.48,0.9434082304764931,0.3987747484119417,30.39877474841194
2010-04-12,22.539,23.53,0.9443381618881713,0.3187230507713288,30.31872305077133
2010-04-13,22.7699,23.6,0.9451159492306463,0.4651635981567459,30.465163598156746
2010-04-14,23.52,23.94,0.9456678234762185,0.8807123059793298,30.88071230597933
2010-04-15,24.221,24.05,0.9468497967083086,1.4492623891651775,31.449262389165177
2010-04-16,23.92,23.73,0.9486104659768247,1.4094736423699494,31.40947364236995
2010-04-19,24.0,23.78,0.9500543323156955,1.407707977532759,31.40770797753276
2010-04-20,24.12,23.91,0.9515261044631976,1.369010842284947,31.369010842284947
2010-04-21,23.8,23.96,0.9531144901730348,0.9633768154540867,30.963376815454087
2010-04-22,23.99,24.02,0.9542356246989239,1.0692602947318477,31.069260294731848
2010-04-23,24.04,24.08,0.9556437830549486,1.0280977040368384,31.02809770403684
2010-04-26,23.82,24.05,0.9569947050985746,0.8042773423792795,30.80427734237928
2010-04-27,23.35,23.58,0.9579710689356274,0.7610421944979073,30.761042194497907
2010-04-28,23.26,23.65,0.9590188507306612,0.5792041802198646,30.579204180219865
2010-04-29,23.49,23.89,0.9599599645312082,0.5565564473494327,30.556556447349433
2010-04-30,22.84,23.389,0.9608352149836533,0.3670251567473315,30.36702515674733
2010-05-03,23.26,23.71,0.9617625150679208,0.4566107677396012,30.4566107677396
2010-05-04,22.56,23.03,0.9628088643745819,0.3865118534533778,30.386511853453378
2010-05-05,22.1725,22.93,0.9636451173008248,0.07611746029208533,30.076117460292085
2010-05-06,21.51,22.24,0.9642822169870396,0.06436349420824072,30.06436349420824
2010-05-07,21.31,21.75,0.9648370071219444,0.3247950950977092,30.32479509509771
2010-05-10,22.55,22.75,0.9655114617706974,0.5846142447166365,30.584614244716636
2010-05-11,22.28,22.6,0.9662903723733479,0.4418375843623359,30.441837584362336
2010-05-12,23.09,23.19,0.9667498705232944,0.6710705025648025,30.671070502564802
2010-05-13,22.5,22.85,0.9674072549872793,0.3947442235406662,30.394744223540666
2010-05-14,21.89,22.41,0.9679480808396248,0.19828350838400866,30.19828350838401
2010-05-17,22.02,22.52,0.9683228362068864,0.2133697286209184,30.21336972862092
2010-05-18,21.43,22.18,0.9686873964108228,-0.0554864523920493,29.94451354760795
2010-05-19,21.6,22.01,0.9688053033296731,0.2765952737138946,30.276595273713895
2010-05-20,20.79,21.31,0.9693033341494144,0.1341459492759789,30.13414594927598
2010-05-21,20.9075,21.47,0.9696357193290511,0.08942110600527187,30.089421106005272
2010-05-24,20.67,21.37,0.9699509052752564,-0.05785084573222932,29.94214915426777
2010-05-25,20.85,21.31,0.9702600144802286,0.17375909142633006,30.17375909142633
2010-05-26,20.7,21.1,0.9706872341136384,0.2184993602022267,30.218499360202227
2010-05-27,21.76,21.82,0.9712493104578989,0.567340045808649,30.56734004580865
2010-05-28,21.42,21.64,0.9721962298009444,0.3816735871075636,30.381673587107564
2010-06-01,21.18,21.43,0.9730840727484019,0.32680832100174584,30.326808321001746
2010-06-02,21.81,21.91,0.9739566330348235,0.4706101702070171,30.470610170207017
2010-06-03,21.9,22.13,0.9750495666883024,0.3221530891878679,30.322153089187868
2010-06-04,20.945,21.42,0.9760111902575981,0.038840304682246085,30.038840304682246
2010-06-07,20.3075,21.11,0.9767200193070202,-0.31105960757119533,29.688940392428805
2010-06-08,20.18,21.15,0.9772292711308697,-0.4883990844178925,29.511600915582108
2010-06-09,19.93,21.04,0.9775984769465117,-0.6386719549546065,29.361328045045394
2010-06-10,20.55,21.55,0.9779330788640281,-0.5244578495198056,29.475542150480194
2010-06-11,20.64,21.74,0.977853074746076,-0.6185258449796898,29.38147415502031
2010-06-14,20.89,21.7,0.9775823658097932,-0.32353733807251217,29.676462661927488
