date,JPM,XLF,beta,value,price
2010-03-31,44.75,15.95,2.811116737157388,-0.08731195766034006,29.91268804233966
2010-04-01,45.18,16.08,2.8093039843968004,0.0063919308994542234,30.006391930899454
2010-04-05,45.34,16.24,2.8074666696809527,-0.25325871561866364,29.746741284381336
2010-04-06,45.84,16.41,2.80511296793793,-0.1919038038614289,29.80809619613857
2010-04-07,45.32,16.35,2.8027845935257445,-0.5055281041459239,29.494471895854076
2010-04-08,45.76,16.48,2.799895591669932,-0.3822793507204807,29.61772064927952
2010-04-09,45.98,16.541,2.7973092215161923,-0.2902918330993387,29.70970816690066
2010-04-12,46.14,16.61,2.795297903702756,-0.2898981805027745,29.710101819497226
2010-04-13,45.87,16.62,2.7929231503719207,-0.5483827591813295,29.45161724081867
2010-04-14,47.73,17.05,2.7899200759791554,0.16186270455539642,30.161862704555396
2010-04-15,47.81,16.98,2.7879500746386587,0.4706077326355782,30.470607732635578
2010-04-16,45.55,16.36,2.787325653885403,-0.05064769756519638,29.949352302434804
2010-04-19,45.39,16.52,2.7858072473502506,-0.6315357262261401,29.36846427377386
2010-04-20,45.88,16.74,2.785373422204989,-0.747151087711508,29.252848912288492
2010-04-21,45.35,16.64,2.784826359497018,-0.9895106220303802,29.01048937796962
2010-04-22,44.74,16.73,2.7841643128923006,-1.8390689546881873,28.160931045311813
2010-04-23,44.94,16.78,2.78255041081867,-1.751195893537286,28.248804106462714
2010-04-26,43.89,16.5175,2.781089563239224,-2.0466468608038753,27.953353139196125
2010-04-27,42.41,15.959,2.7789582948832696,-1.9393954280421042,28.060604571957896
2010-04-28,43.46,16.19,2.777261285996083,-1.5038602202765858,28.496139779723414
2010-04-29,44.0,16.56,2.7759893432941802,-1.9703835249516217,28.02961647504838
2010-04-30,42.58,16.159,2.7735954218129057,-2.23852842107474,27.76147157892526
2010-05-03,43.53,16.47,2.7707564777256612,-2.104359188141636,27.895640811858364
2010-05-04,42.47,16.02,2.7682229838477155,-1.8769322012404004,28.1230677987596
2010-05-05,42.63,15.9325,2.766446960962111,-1.446416205528827,28.553583794471173
2010-05-06,40.81,15.26,2.764965504745745,-1.3833736024200647,28.616626397579935
2010-05-07,40.76,15.09,2.763318240619898,-0.9384722509542627,29.061527749045737
2010-05-10,41.95,15.931,2.761955638332742,-2.0507152742789074,27.949284725721093
2010-05-11,41.55,15.87,2.7592717788239716,-2.2396431299364323,27.760356870063568
2010-05-12,41.69,16.05,2.7564615842147955,-2.55120842664747,27.44879157335253
2010-05-13,40.81,15.76,2.752949883730225,-2.5764901675883465,27.423509832411654
2010-05-14,39.89,15.35,2.7495804298730944,-2.3160595985519947,27.683940401448005
2010-05-17,39.84,15.36,2.746385966602915,-2.3444884470207725,27.655511552979227
2010-05-18,39.02,14.92,2.7436931837391354,-1.915902301387895,28.084097698612105
2010-05-19,39.38,14.94,2.741162213731354,-1.572963473146423,28.427036526853577
2010-05-20,37.83,14.245,2.739166039975288,-1.1894202394479763,28.810579760552024
2010-05-21,40.05,14.75,2.737290905937745,-0.32504086258174425,29.674959137418256
2010-05-24,38.62,14.33,2.7362938788003284,-0.591091283208705,29.408908716791295
2010-05-25,38.94,14.46,2.7339794873200285,-0.5933433866476179,29.406656613352382
2010-05-26,38.78,14.36,2.7318621776669962,-0.449540871298062,29.550459128701938
2010-05-27,40.42,15.01,2.7301881806177333,-0.5601245910721744,29.439875408927826
2010-05-28,39.58,14.68,2.7284753694091295,-0.47401842292602225,29.525981577073978
2010-06-01,38.54,14.37,2.7268401761958345,-0.6446933319341426,29.355306668065857
