date,MAS,XHB,beta,value,price
2010-03-31,15.52,16.82,0.9051183144952724,0.29590995018951816,30.295909950189518
2010-04-01,15.81,16.98,0.9050206934565024,0.4427486251085906,30.442748625108592
2010-04-05,16.15,17.3,0.905052162197624,0.4925975939811025,30.492597593981102
2010-04-06,16.28,17.17,0.905068873326802,0.7399674449788094,30.73996744497881
2010-04-07,15.85,16.92,0.9049899100257401,0.5375707223644746,30.537570722364475
2010-04-08,15.89,17.27,0.904637362217208,0.2669127545088177,30.266912754508816
2010-04-09,16.1,17.44,0.9039913610263569,0.33439066370033643,30.334390663700336
2010-04-12,16.11,17.66,0.9034688616579148,0.15473990312122332,30.154739903121225
2010-04-13,16.14,17.76,0.902971678083586,0.10322299723551254,30.103222997235513
2010-04-14,16.88,18.31,0.9024474433323846,0.35618731258403713,30.356187312584037
2010-04-15,17.0,18.12,0.9019795825540253,0.6561299641210603,30.65612996412106
2010-04-16,16.96,17.86,0.9016184381434234,0.8570946947584588,30.85709469475846
2010-04-19,17.24,17.88,0.9016711408402941,1.1181200017755408,31.11812000177554
2010-04-20,17.49,18.17,0.9021932424897926,1.097148783960467,31.097148783960467
2010-04-21,17.58,18.61,0.9030290232674263,0.7746298769931954,30.774629876993195
2010-04-22,18.1,19.31,0.9037826216978861,0.6479575750138196,30.64795757501382
2010-04-23,18.35,19.64,0.9044169074822079,0.5872519370494373,30.587251937049437
2010-04-26,18.0,19.5,0.9052172345026772,0.3482639271977952,30.348263927197795
2010-04-27,15.62,18.68,0.905722214529607,-1.29889096741306,28.701109032586942
2010-04-28,16.45,18.92,0.904405729098295,-0.6613563945397445,29.338643605460256
2010-04-29,16.84,19.47,0.9034275074693516,-0.7497335704282762,29.250266429571724
2010-04-30,16.23,19.1,0.9021898669366197,-1.001826458489436,28.998173541510564
2010-05-03,16.63,19.51,0.9004524631239252,-0.9378275555477842,29.062172444452216
2010-05-04,15.75,18.86,0.8986947119134923,-1.1993822666884633,28.800617733311537
2010-05-05,15.47,18.36,0.8968664861409745,-0.996468685548292,29.003531314451706
2010-05-06,14.64,17.66,0.8954559297822021,-1.1737517199536889,28.82624828004631
2010-05-07,13.66,17.1,0.8937597271765934,-1.623291334719747,28.376708665280255
2010-05-10,15.13,18.39,0.8915659333927851,-1.2658975150933163,28.734102484906686
2010-05-11,15.12,18.38,0.8905169328781967,-1.2477012263012544,28.752298773698747
2010-05-12,15.6,18.89,0.8895382678553083,-1.2033778797867765,28.79662212021322
2010-05-13,15.18,18.34,0.8886278150076969,-1.117434127241161,28.88256587275884
2010-05-14,14.74,17.96,0.8877389384101199,-1.2037913338457535,28.796208666154246
2010-05-17,14.76,17.94,0.8869161220038211,-1.1512752287485508,28.848724771251447
2010-05-18,14.41,17.63,0.8863706174074355,-1.2167139848930866,28.783286015106913
2010-05-19,14.07,17.36,0.8858150187474886,-1.3077487254564009,28.6922512745436
2010-05-20,13.33,16.62,0.8851759608879008,-1.381624469956913,28.61837553004309
2010-05-21,13.74,16.74,0.8844484895415745,-1.0656677149259561,28.934332285074042
2010-05-24,13.66,16.58,0.8841164579244529,-0.9986508723874277,29.00134912761257
2010-05-25,13.53,16.71,0.8838210141801409,-1.2386491469501557,28.761350853049844
2010-05-26,13.09,16.78,0.8830492131283199,-1.7275657962932076,28.272434203706794
2010-05-27,13.59,17.42,0.8816989200044585,-1.7691951864776687,28.230804813522333
2010-05-28,13.35,17.22,0.8802359845980463,-1.8076636547783576,28.19233634522164
2010-06-01,12.51,16.58,0.8787176190562278,-2.0591381239522555,27.940861876047745
2010-06-02,12.9,16.86,0.8770386104648771,-1.8868709724378263,28.113129027562174
2010-06-03,12.94,16.9,0.8754080373618532,-1.854395831415319,28.145604168584683
2010-06-04,12.4,16.03,0.873697679562689,-1.605373803389904,28.394626196610098
2010-06-07,11.87,15.43,0.8721217976215709,-1.586839337300841,28.41316066269916
2010-06-08,11.7,15.38,0.8704350301162962,-1.6872907631886367,28.312709236811365
2010-06-09,11.59,15.42,0.8685554629870104,-1.8031252392596997,28.1968747607403
2010-06-10,12.37,16.13,0.8665529760809136,-1.607499504185137,28.392500495814865
2010-06-11,12.36,16.12,0.8645861017688644,-1.5771279605140958,28.422872039485902
2010-06-14,12.63,16.23,0.8623884181852424,-1.3665640271464827,28.63343597285352
2010-06-15,13.2,16.59,0.8602967275998392,-1.072322710881334,28.927677289118666
2010-06-16,12.72,16.41,0.8586393474352086,-1.370271691411773,28.629728308588227
2010-06-17,12.22,16.02,0.8566836734394605,-1.5040724485001569,28.495927551499843
2010-06-18,12.32,15.82,0.8544809635982559,-1.1978888441244084,28.802111155875593
2010-06-21,12.33,15.61,0.8527762440139152,-0.981837169057215,29.018162830942785
2010-06-22,11.96,15.23,0.8512610549019581,-1.0047058661568222,28.995294133843178
2010-06-23,12.1,15.41,0.8497231380388566,-0.9942335571787808,29.00576644282122
2010-06-24,11.69,15.11,0.848071515416287,-1.1243605979400968,28.875639402059903
2010-06-25,11.81,15.15,0.8462357713896863,-1.0104719365537473,28.98952806344625
2010-06-28,11.82,15.12,0.8441926518253023,-0.9441928955985706,29.05580710440143
2010-06-29,11.26,14.49,0.8420102874544623,-0.9407290652151588,29.05927093478484
2010-06-30,10.76,14.32,0.8397228772839219,-1.2648316027057618,28.735168397294238
2010-07-01,10.83,14.19,0.8369161438940838,-1.0458400818570475,28.954159918142953
2010-07-02,10.7,14.02,0.8344708720086348,-0.9992816255610606,29.00071837443894
2010-07-06,10.71,13.88,0.8322311407079325,-0.8413682330261025,29.158631766973897
2010-07-07,11.24,14.51,0.8299891894044753,-0.8031431382589371,29.19685686174106
2010-07-08,11.22,14.54,0.8278507728247295,-0.8169502368715662,29.183049763128434
2010-07-09,11.51,14.88,0.8256935714854832,-0.7763203437039898,29.22367965629601
2010-07-12,11.12,14.66,0.823150618623964,-0.9473880690273138,29.052611930972688
2010-07-13,11.43,15.23,0.8201318353971706,-1.0606078530989098,28.939392146901092
2010-07-14,11.17,14.91,0.8167573574270907,-1.007852199237922,28.992147800762076
2010-07-15,11.23,14.95,0.8130851075977278,-0.925622358586029,29.07437764141397
2010-07-16,10.47,14.24,0.8093285440351384,-1.054838467060371,28.94516153293963
2010-07-19,10.32,14.2,0.8056178295860189,-1.1197731801214683,28.88022681987853
2010-07-20,10.62,14.73,0.8016791328881843,-1.1887336274429554,28.811266372557043
2010-07-21,10.21,14.51,0.7974759520338737,-1.3613760640115053,28.638623935988495
2010-07-22,10.8,15.04,0.7933003566868287,-1.1312373645699036,28.868762635430095
2010-07-23,11.42,15.42,0.7913073582281979,-0.7819594638788114,29.218040536121187
2010-07-26,11.93,15.82,0.7887937755651313,-0.5487175294403777,29.451282470559622
2010-07-27,10.53,15.27,0.786417419360638,-1.4785939936369434,28.52140600636306
2010-07-28,10.11,14.84,0.783501512836411,-1.5171624504923393,28.48283754950766
2010-07-29,10.05,14.94,0.7803583562170546,-1.6085538418827952,28.391446158117205
2010-07-30,10.28,15.07,0.7775283480645377,-1.4373522053325853,28.562647794667413
2010-08-02,10.65,15.46,0.7746720662350244,-1.326430143993477,28.673569856006523
2010-08-03,10.71,15.06,0.7722066857111975,-0.9194326868106355,29.080567313189363
2010-08-04,10.78,15.02,0.7707763783061745,-0.7970612021587407,29.20293879784126
2010-08-05,10.72,14.89,0.7688083785011048,-0.7275567558814515,29.27244324411855
2010-08-06,10.94,14.99,0.766860309895183,-0.5552360453287939,29.444763954671206
2010-08-09,11.34,15.41,0.7648711029137875,-0.4466636959014654,29.553336304098536
