date,NTRS,KBE,beta,value,price
2010-03-31,55.26,25.81,2.230354270546388,-2.3054437228022735,27.694556277197727
2010-04-01,56.64,25.99,2.2259868404774226,-1.2133979840082105,28.78660201599179
2010-04-05,57.17,26.61,2.2230651417523086,-1.9857634220289313,28.01423657797107
2010-04-06,57.45,27.19,2.220390289603792,-2.9224119743271117,27.07758802567289
2010-04-07,56.91,27.08,2.2179531707988516,-3.1521718652329014,26.8478281347671
2010-04-08,57.82,27.36,2.2150344307170853,-2.783342024419454,27.216657975580546
2010-04-09,58.01,27.48,2.213284172344667,-2.811049056031443,27.188950943968557
2010-04-12,58.77,27.79,2.210977423027204,-2.6730625859259973,27.326937414074003
2010-04-13,59.02,27.49,2.20890474486733,-1.7027914364028973,28.297208563597103
2010-04-14,58.96,28.4,2.2082609269554028,-3.7546103255334344,26.245389674466566
2010-04-15,58.65,28.17,2.2050322692799376,-3.4657590256158457,26.534240974384154
2010-04-16,57.39,27.26,2.2017963946816175,-2.6309697190208965,27.369030280979104
2010-04-19,58.37,27.47,2.1977152952977628,-2.0012391618295453,27.998760838170455
2010-04-20,55.37,28.23,2.195247237035899,-6.601829501523433,23.398170498476567
2010-04-21,54.73,28.43,2.189148444044897,-7.507490264196427,22.492509735803573
2010-04-22,55.63,28.69,2.1823814797485377,-6.98252465398555,23.01747534601445
2010-04-23,56.31,28.72,2.1760197879592047,-6.185288310188355,23.814711689811645
2010-04-26,55.31,27.89,2.170062606378861,-5.213046091906435,24.786953908093565
2010-04-27,54.34,27.07,2.1656005456959155,-4.282806771988433,25.717193228011567
2010-04-28,54.37,27.42,2.16224906446572,-4.918869347650045,25.081130652349955
2010-04-29,55.65,28.02,2.157797975482787,-4.811499273027692,25.188500726972308
2010-04-30,54.98,27.66,2.1534060396653123,-4.583211057142542,25.41678894285746
2010-05-03,54.9,28.12,2.1488467226309558,-5.525569840382481,24.47443015961752
2010-05-04,53.92,27.35,2.1433830449270497,-4.701526278754812,25.298473721245188
2010-05-05,53.93,27.35,2.13849704756616,-4.557894250934481,25.44210574906552
2010-05-06,51.67,26.11,2.133620956454681,-4.038843173031715,25.961156826968285
2010-05-07,51.8,25.7,2.1294399401980564,-2.926606463090053,27.073393536909947
2010-05-10,55.11,27.25,2.125891108761422,-2.8205327137487473,27.179467286251253
2010-05-11,54.45,27.4,2.1224452628136823,-3.70500020109489,26.29499979890511
2010-05-12,55.34,27.77,2.1183867656874114,-3.48760048313941,26.51239951686059
2010-05-13,54.28,27.3,2.114516182531024,-3.44629178309696,26.55370821690304
2010-05-14,53.18,26.52,2.1102338052180856,-2.7834005143836293,27.21659948561637
2010-05-17,53.82,26.48,2.1060803761113007,-1.9490083594272463,28.050991640572754
2010-05-18,52.79,25.45,2.1015576146789443,-0.6946412935791315,29.30535870642087
2010-05-19,52.35,25.33,2.0982405622161586,-0.7984334409352911,29.20156655906471
2010-05-20,50.1,24.13,2.0949772223463583,-0.45180037521762273,29.548199624782377
2010-05-21,51.88,25.06,2.092332099533856,-0.5538424143184315,29.44615758568157
2010-05-24,50.65,24.24,2.0896664600812334,-0.0035149923690980245,29.996485007630902
2010-05-25,50.78,24.45,2.087316092603344,-0.2548784641517585,29.74512153584824
2010-05-26,50.48,24.36,2.084620040600346,-0.3013441890244266,29.698655810975573
2010-05-27,51.97,25.37,2.0820414148146944,-0.8513906938487992,29.1486093061512
2010-05-28,50.81,24.77,2.079033025850595,-0.6876480503192326,29.312351949680767
2010-06-01,49.82,24.22,2.0759294275414706,-0.45901073505441303,29.540989264945587
2010-06-02,51.11,24.95,2.0729122290446673,-0.6091601146644479,29.390839885335552
2010-06-03,50.93,24.77,2.069817507677308,-0.3393796651669234,29.660620334833077
2010-06-04,49.015,23.67,2.0670639725677935,0.08759576932032331,30.087595769320323
2010-06-07,48.5,23.16,2.065603811459573,0.6606157265962835,30.660615726596284
2010-06-08,49.06,23.63,2.0648862547114577,0.2667378011682615,30.26673780116826
2010-06-09,48.75,23.43,2.0636898744917467,0.39774624065837827,30.39774624065838
2010-06-10,49.5,24.34,2.062453925312573,-0.7001285421080254,29.299871457891975
2010-06-11,49.93,24.3,2.0607694833157786,-0.14669844457342407,29.853301555426576
2010-06-14,49.34,24.13,2.0593174961141663,-0.3513311812348263,29.648668818765174
2010-06-15,50.76,24.8,2.0573318497479733,-0.26182987374973976,29.73817012625026
2010-06-16,51.32,24.74,2.0551798867254063,0.47484960241344965,30.47484960241345
2010-06-17,50.9,24.7,2.0536680801691567,0.17439841982182713,30.174398419821827
2010-06-18,50.3,24.84,2.052129280454815,-0.6748913264976011,29.3251086735024
2010-06-21,49.39,24.82,2.0505972044069942,-1.5058226133815964,28.494177386618404
2010-06-22,48.61,24.48,2.048092918402264,-1.5273146424874255,28.472685357512574
2010-06-23,48.45,24.3,2.045866936725237,-1.264566562423262,28.735433437576738
2010-06-24,47.44,23.74,2.0437145674257957,-1.0777838306883893,28.92221616931161
2010-06-25,48.44,24.41,2.0417903200790515,-1.4001017131296507,28.59989828687035
2010-06-28,48.3,24.34,2.039334838860273,-1.3374099778590463,28.662590022140954
2010-06-29,47.42,23.28,2.0362165788678324,0.016878043956864985,30.016878043956865
2010-06-30,46.7,22.89,2.034268635773949,0.13559092713430942,30.13559092713431
2010-07-01,46.57,22.69,2.032905614145927,0.44337161502891576,30.443371615028916
2010-07-02,45.81,22.34,2.0319026094755324,0.4172957043166079,30.417295704316608
2010-07-06,45.96,22.58,2.030609366066005,0.10884051422960539,30.108840514229605
2010-07-07,49.14,23.87,2.0291409850060873,0.7044046879046917,30.70440468790469
2010-07-08,47.9,23.94,2.0278908808258533,-0.6477076869709322,29.352292313029068
2010-07-09,48.53,24.5,2.0252052447763726,-1.0875284970211254,28.912471502978875
2010-07-12,49.09,24.59,2.0234736199558805,-0.6672163147150982,29.3327836852849
2010-07-13,50.14,25.29,2.0218572043622975,-0.9927686983225001,29.0072313016775
2010-07-14,49.78,24.91,2.0196111791676494,-0.5285144730661457,29.471485526933854
2010-07-15,49.73,24.79,2.0172153611830064,-0.27676880372673196,29.723231196273268
2010-07-16,48.36,23.4,2.0181936647742686,1.1342682442821186,31.13426824428212
2010-07-19,48.56,23.34,2.0208584640565466,1.3931634489202054,31.393163448920205
2010-07-20,49.32,23.32,2.0234924539992982,2.1321559727363635,32.13215597273636
2010-07-21,47.16,22.785,2.0261902072579003,0.9932561276287402,30.99325612762874
2010-07-22,46.97,23.6,2.0276911300263554,-0.8835106686219873,29.116489331378013
2010-07-23,47.51,23.76,2.027530598747166,-0.66412702623267,29.33587297376733
2010-07-26,48.22,24.37,2.028011581613271,-1.2026422439154203,28.79735775608458
2010-07-27,48.26,24.53,2.0281096491369275,-1.4895296933288336,28.510470306671166
2010-07-28,47.64,24.24,2.027956166727979,-1.5176574814862107,28.48234251851379
2010-07-29,47.49,24.21,2.0285868905528552,-1.6220886202846216,28.37791137971538
2010-07-30,46.99,24.19,2.028681812773065,-2.083813050980446,27.916186949019554
2010-08-02,48.52,24.91,2.0284633990152163,-2.009023269469033,27.990976730530967
2010-08-03,48.32,24.59,2.028012158038333,-1.5488189661626066,28.451181033837393
2010-08-04,48.51,24.54,2.0271831205552497,-1.237073778425831,28.76292622157417
2010-08-05,49.11,24.42,2.026436359544063,-0.3755759000660177,29.624424099933982
2010-08-06,48.57,24.1,2.0270035940687654,-0.2807866170572453,29.719213382942755
2010-08-09,48.98,24.19,2.027555454903673,-0.06656645411985096,29.93343354588015
2010-08-10,49.14,24.05,2.0283373940594003,0.3584856728714243,30.358485672871424
2010-08-11,49.1,23.02,2.0290420005709513,2.391453146856705,32.391453146856705
2010-08-12,50.19,22.89,2.030542610031511,3.710879656378708,33.71087965637871
2010-08-13,49.39,22.86,2.0321624329355994,2.9347667830922006,32.9347667830922
2010-08-16,49.63,22.83,2.033451740029432,3.2062967751280738,33.206296775128074
2010-08-17,50.5,22.85,2.034839963437219,4.003906835459539,34.00390683545954
2010-08-18,49.81,22.93,2.0368376941162407,3.1053116739146063,33.105311673914606
2010-08-19,48.3,22.37,2.0380006510076494,2.7099254369588763,32.709925436958876
2010-08-20,48.305,22.29,2.0390835243200787,2.8538282429054505,32.85382824290545
2010-08-23,47.72,22.14,2.0403600159691746,2.5464292464424716,32.54642924644247
2010-08-24,46.94,21.67,2.041852934049619,2.6930469191447486,32.69304691914475
2010-08-25,46.5,21.56,2.043394046976743,2.4444243471814247,32.444424347181425
2010-08-26,45.86,21.45,2.044709891191032,2.0009728339523605,32.00097283395236
2010-08-27,47.05,21.91,2.045908797908335,2.2241382378283845,32.224138237828384
2010-08-30,45.84,21.39,2.047168971974589,2.0510556894635457,32.051055689463546
2010-08-31,46.1275,21.6,2.048081308481706,1.8889437367951416,31.88894373679514
2010-09-01,47.4,22.47,2.048561584912086,1.368821187025425,31.368821187025425
2010-09-02,47.22,22.73,2.049019822107395,0.6457794434989097,30.64577944349891
2010-09-03,48.86,23.13,2.048939265074256,1.4680347988324556,31.468034798832456
2010-09-07,47.71,22.49,2.050227000319273,1.6003947628195547,31.600394762819555
2010-09-08,47.83,22.79,2.0512279840141954,1.082514244316485,31.082514244316485
2010-09-09,47.94,23.16,2.0520836005369207,0.41374381156491324,30.413743811564913
2010-09-10,47.7,23.17,2.0524710711853498,0.14424528063544528,30.144245280635445
2010-09-13,48.98,23.83,2.0521668781110147,0.0768632946145189,30.07686329461452
2010-09-14,48.61,23.56,2.0520642211624356,0.26336694941301886,30.26336694941302
2010-09-15,48.68,23.56,2.052759489686962,0.31698642297517665,30.316986422975177
2010-09-16,49.25,23.42,2.054162219396893,1.141520821724761,31.14152082172476
2010-09-17,49.04,23.23,2.056223868150712,1.2739195428589625,31.273919542858962
2010-09-20,49.48,23.76,2.0582484132218486,0.576017701848869,30.57601770184887
2010-09-21,48.435,23.45,2.059694728045096,0.1351586273424985,30.1351586273425
2010-09-22,47.54,23.04,2.0611598657577814,0.050876692940718726,30.05087669294072
2010-09-23,46.97,22.63,2.062586197217451,0.29367435696909183,30.293674356969092
2010-09-24,48.64,23.27,2.063214848997989,0.6289904638167911,30.62899046381679
2010-09-27,47.97,22.91,2.0640314115458906,0.6830403614836413,30.68304036148364
2010-09-28,48.1,22.99,2.0646922132538985,0.6327260172928746,30.632726017292875
2010-09-29,47.82,22.88,2.065351669966603,0.5647537911641294,30.56475379116413
2010-09-30,48.24,22.95,2.066212042220137,0.8204336310478624,30.820433631047862
2010-10-01,48.72,23.17,2.066919438646553,0.8294766065593677,30.829476606559368
2010-10-04,47.67,23.09,2.068666957752615,-0.09552005450787249,29.904479945492128
2010-10-05,48.6,23.77,2.070216671441689,-0.609050280168951,29.39094971983105
2010-10-06,48.89,23.68,2.071143875881637,-0.15468698087716604,29.845313019122834
2010-10-07,48.22,23.58,2.0727743628716344,-0.6560194765131371,29.343980523486863
2010-10-08,48.35,23.53,2.073720804423007,-0.44465052807336036,29.55534947192664
2010-10-11,48.95,23.52,2.0746825932344053,0.15346540712678802,30.153465407126788
2010-10-12,49.26,23.83,2.0749297284944968,-0.18557543002385302,29.814424569976147
2010-10-13,49.48,23.66,2.0746986897133453,0.39262900138224666,30.392629001382247
2010-10-14,49.3,23.04,2.074310315765926,1.5078903247530633,31.507890324753063
2010-10-15,48.74,22.46,2.075454558099629,2.125290625082336,32.125290625082336
2010-10-18,50.15,22.97,2.0783957053129445,2.4092506489616667,32.40925064896167
2010-10-19,49.29,22.89,2.081483998327766,1.6448312782774295,31.64483127827743
2010-10-20,48.92,22.72,2.084544275231022,1.5591540667511836,31.559154066751184
2010-10-21,47.41,22.765,2.0878366227106624,-0.11960071600823596,29.880399283991764
2010-10-22,47.81,22.81,2.0899937835126257,0.13724179807701375,30.137241798077014
2010-10-25,48.02,22.595,2.0924407890996903,0.7413003702924996,30.7413003702925
2010-10-26,50.57,22.63,2.095709255336953,3.14409955172475,33.14409955172475
2010-10-27,50.31,22.67,2.100824008595639,2.6843197251368593,32.68431972513686
2010-10-28,50.02,22.61,2.1053250778965857,2.418599988758203,32.4185999887582
2010-10-29,49.63,22.59,2.109496007851395,1.976485182636985,31.976485182636985
2010-11-01,49.41,22.48,2.1127681226540993,1.914972602735844,31.914972602735844
2010-11-02,50.61,22.43,2.1159299078759304,3.1496921663428807,33.14969216634288
2010-11-03,50.42,22.85,2.119874484688819,1.9808680248604844,31.980868024860484
2010-11-04,51.63,23.62,2.1227301188004226,1.4911145939340216,31.49111459393402
2010-11-05,51.88,24.19,2.123679681677083,0.5081885002313626,30.508188500231363
2010-11-08,51.3,24.05,2.1229216142439995,0.24373517743180884,30.24373517743181
2010-11-09,50.53,23.63,2.1224838155895576,0.37570743761875747,30.375707437618757
2010-11-10,51.44,24.0175,2.121915980771112,0.4768829318298202,30.47688293182982
2010-11-11,51.2,23.875,2.120822252391905,0.5653687241432692,30.56536872414327
2010-11-12,50.6,23.35,2.1203942103790827,1.0887951876484152,31.088795187648415
2010-11-15,51.3,23.5,2.1205845537992727,1.466262985717087,31.466262985717087
2010-11-16,50.59,23.11,2.1209416408597392,1.5750386797314277,31.575038679731428
2010-11-17,50.43,22.72,2.1215555546463607,2.22825779843469,32.22825779843469
2010-11-18,51.05,22.88,2.1224880832546047,2.4874726551346455,32.487472655134646
2010-11-19,51.17,22.88,2.1237725385965147,2.578084316911749,32.57808431691175
2010-11-22,50.86,22.49,2.1254131266553835,3.0594587815204264,33.059458781520426
2010-11-23,50.34,22.1,2.1272336809309498,3.3281356514260096,33.32813565142601
2010-11-24,51.17,22.35,2.1293044794333245,3.580044884665199,33.5800448846652
