date,URBN,XRT,beta,value,price
2010-03-31,38.07,41.3,0.8972639991583264,1.0129968347611182,31.01299683476112
2010-04-01,37.84,41.8,0.8966292771492433,0.36089621516163106,30.36089621516163
2010-04-05,38.91,42.31,0.8954790305336057,1.022282218123138,31.022282218123138
2010-04-06,39.15,42.48,0.8948787338725659,1.1355513850934003,31.1355513850934
2010-04-07,38.29,42.24,0.8948747196262544,0.4904918429870122,30.490491842987012
2010-04-08,38.29,42.34,0.8945536169058296,0.41459986020716855,30.41459986020717
2010-04-09,38.56,42.8,0.8942329744711939,0.2868286926329091,30.28682869263291
2010-04-12,38.05,42.68,0.8938554324613438,-0.0997498574501563,29.900250142549844
2010-04-13,38.32,42.87,0.8931928528856736,0.028822396791177596,30.028822396791178
2010-04-14,39.18,43.81,0.892637077709929,0.07356962552800894,30.07356962552801
2010-04-15,39.4,43.94,0.892485841981225,0.18417210334497014,30.18417210334497
2010-04-16,38.41,43.37,0.8923887107738702,-0.292898386262749,29.70710161373725
2010-04-19,37.97,43.03,0.8923921856660665,-0.4296357492108456,29.570364250789154
2010-04-20,38.2,43.26,0.892195375401449,-0.3963719398666825,29.603628060133317
2010-04-21,38.42,43.77,0.8919809380127451,-0.6220056568178549,29.377994343182145
2010-04-22,40.3,44.78,0.89172749852206,0.3684426161821506,30.36844261618215
2010-04-23,39.87,45.12,0.8918241738729077,-0.36910672514559195,29.630893274854408
2010-04-26,40.56,45.4,0.8915718951326725,0.08263596097666692,30.082635960976667
2010-04-27,39.16,43.83,0.8917574746006994,0.07426988825134373,30.074269888251344
2010-04-28,38.12,43.42,0.8915390680242107,-0.5906263336112332,29.409373666388767
2010-04-29,38.15,44.23,0.8908771212664898,-1.2534950736168398,28.74650492638316
2010-04-30,37.56,42.76,0.8900635479210246,-0.49911730910300633,29.500882690896994
2010-05-03,38.48,43.57,0.8897434215974083,-0.28612087899907834,29.71387912100092
2010-05-04,37.54,42.51,0.8896218394991675,-0.2778243971096117,29.72217560289039
2010-05-05,38.05,42.5,0.8895319697155496,0.2448912870891391,30.24489128708914
2010-05-06,35.92,40.8401,0.8895629827804133,-0.40984117305035994,29.59015882694964
2010-05-07,34.89,39.79,0.8892151243186365,-0.4918697966385466,29.508130203361453
2010-05-10,38.55,42.11,0.8889479501144388,1.1164018206809772,31.116401820680977
2010-05-11,38.78,42.27,0.8895429591766454,1.1790191156031966,31.179019115603197
