date,WFC,XLF,beta,value,price
2010-03-31,31.12,15.95,1.916851602150233,0.5462169457037831,30.546216945703783
2010-04-01,31.37,16.08,1.9184249120445627,0.5217274143234363,30.521727414323436
2010-04-05,31.51,16.24,1.9197537459050236,0.3331991665024212,30.33319916650242
2010-04-06,32.28,16.41,1.9209003362022619,0.7580254829208855,30.758025482920885
2010-04-07,31.99,16.35,1.9221403780031923,0.5630048196478015,30.5630048196478
2010-04-08,32.23,16.48,1.9232665890722513,0.5345666120892929,30.534566612089293
2010-04-09,32.3,16.541,1.9244689278580962,0.4673594642992285,30.46735946429923
2010-04-12,32.42,16.61,1.9259272966363972,0.4303476028694462,30.430347602869446
2010-04-13,32.15,16.62,1.927180502163504,0.12026005404256068,30.12026005404256
2010-04-14,33.28,17.05,1.9277715945150518,0.41149431351836796,30.411494313518368
2010-04-15,33.51,16.98,1.9290645870283096,0.7544833122592962,30.754483312259296
2010-04-16,32.56,16.36,1.9309849298869928,0.9690865470487999,30.9690865470488
2010-04-19,33.02,16.52,1.9335652697714734,1.0775017433752652,31.077501743375265
2010-04-20,33.69,16.74,1.9352092858401857,1.294596555035291,31.29459655503529
2010-04-21,33.01,16.64,1.9369457426588255,0.7792228421571394,30.77922284215714
2010-04-22,33.58,16.73,1.937827869728783,1.1601397394374615,31.16013973943746
2010-04-23,33.48,16.78,1.9393569854513015,0.9375897841271552,30.937589784127155
2010-04-26,32.72,16.5175,1.9400894886761277,0.6745718707920645,30.674571870792064
2010-04-27,31.72,15.959,1.9401242012767967,0.7575578718236002,30.7575578718236
2010-04-28,32.45,16.19,1.940058538935769,1.0404522546299013,31.0404522546299
2010-04-29,33.23,16.56,1.9402726156739254,1.0990854844397973,31.099085484439797
2010-04-30,33.11,16.159,1.940983918378646,1.745640862919462,31.745640862919462
2010-05-03,33.88,16.47,1.9427385906849557,1.8830954114187861,31.883095411418786
2010-05-04,32.94,16.02,1.9445901364197162,1.7876660145561445,31.787666014556144
2010-05-05,32.66,15.9325,1.9462463887109704,1.6514294118624626,31.651429411862463
2010-05-06,31.18,15.26,1.9481771944127961,1.4508160132607308,31.45081601326073
2010-05-07,30.82,15.09,1.949839356797805,1.3969241059211228,31.396924105921123
2010-05-10,32.97,15.931,1.9512088785948012,1.8852913551062223,31.885291355106222
2010-05-11,32.91,15.87,1.9533417613173831,1.9104662478931296,31.91046624789313
2010-05-12,33.66,16.05,1.9557186327327047,2.2707159446400844,32.27071594464009
2010-05-13,33.08,15.76,1.9585888392108084,2.2126398940376575,32.21263989403766
2010-05-14,32.04,15.35,1.9615364870992995,1.9304149230257508,31.93041492302575
2010-05-17,31.97,15.36,1.9643336664453521,1.7978348833993927,31.797834883399393
2010-05-18,30.59,14.92,1.9671571991440195,1.2400145887712277,31.240014588771228
