date,ADI,XSD
1/4/2010,31.67,23.9749985
1/5/2010,31.62,24.024994
1/6/2010,31.56,24.0349965
1/7/2010,31.31,23.809998
1/8/2010,31.49,24.1299975
1/11/2010,31.31,23.9649965
1/12/2010,30.01,23.1699985
1/13/2010,30,23.439995
1/14/2010,29.97,23.32
1/15/2010,28.96,22.6199955
1/19/2010,29.47,22.9249955
1/20/2010,28.93,23.0849995
1/21/2010,29.06,23.104996
1/22/2010,27.76,22.1199955
1/25/2010,28.01,22.3399965
1/26/2010,27.6,22.184998
1/27/2010,27.7,22.484993
1/28/2010,27.15,21.7999955
1/29/2010,26.96,21.0349965
2/1/2010,27.52,21.809998
2/2/2010,27.78,22.104996
2/3/2010,27.65,22.2149965
2/4/2010,26.5,21.154999
2/5/2010,26.9,21.4949955
2/8/2010,26.8,21.4599995
2/9/2010,27.12,21.6649935
2/10/2010,27.05,21.7949985
2/11/2010,27.67,22.259995
2/12/2010,27.99,22.4149935
2/16/2010,28.6,22.9249955
2/17/2010,28.38,22.9549945
2/18/2010,29.57,23.109993
2/19/2010,29.75,23.2449955
2/22/2010,29.89,23.2249985
2/23/2010,29.15,22.6599965
2/24/2010,29.49,23.054993
2/25/2010,29.63,22.934998
2/26/2010,29.24,22.9649965
3/1/2010,29.82,23.509995
3/2/2010,29.62,23.5849995
3/3/2010,29.19,23.429993
3/4/2010,29.07,23.519997
3/5/2010,29.5,23.7649995
3/8/2010,29.52,23.7249985
3/9/2010,29.25,23.699997
3/10/2010,30.08,24.109993
3/11/2010,29.17,23.8349995
3/12/2010,28.98,23.814995
3/15/2010,28.92,23.609993
3/16/2010,30.01,24.2149965
3/17/2010,30.43,24.649994
3/18/2010,30.16,24.3699955
3/19/2010,29.75,23.9649965
3/22/2010,30.07,24.404999
3/23/2010,30.43,24.7999955
3/24/2010,29.06,24.1199955
3/25/2010,28.94,24.029999
3/26/2010,28.49,23.9199985
3/29/2010,28.82,24.074997
3/30/2010,29.01,24.195
3/31/2010,28.82,23.989998
4/1/2010,28.82,23.9549945
4/5/2010,29.45,24.6949925
4/6/2010,29.29,24.524994
4/7/2010,29.46,24.689995
4/8/2010,28.99,24.314995
4/9/2010,29.11,24.644997
4/12/2010,29.55,24.844994
4/13/2010,29.78,25.0449985
4/14/2010,31.35,26.109993
4/15/2010,31.35,26.259995
4/16/2010,30.58,25.7949985
4/19/2010,30.41,25.484993
4/20/2010,30.75,25.899994
4/21/2010,30.29,25.5999985
4/22/2010,30.42,25.739998
4/23/2010,30.67,25.7449955
