date,AEP,XLU
2010-01-04,34.94,31.08
2010-01-05,34.54,30.71
2010-01-06,34.89,30.89
2010-01-07,35.19,30.75
2010-01-08,35.61,30.72
2010-01-11,35.98,31.04
2010-01-12,35.62,30.91
2010-01-13,36.06,31.25
2010-01-14,36.2,31.11
2010-01-15,36.01,30.91
2010-01-19,36.44,31.27
2010-01-20,36.52,30.94
2010-01-21,36.11,30.49
2010-01-22,35.42,29.82
2010-01-25,35.62,30.02
2010-01-26,35.61,30.14
2010-01-27,35.53,29.94
2010-01-28,35.06,29.71
2010-01-29,34.65,29.53
2010-02-01,34.6,29.72
2010-02-02,35.06,29.96
2010-02-03,34.7,29.75
2010-02-04,33.75,28.97
2010-02-05,33.64,28.92
2010-02-08,32.82,28.59
2010-02-09,33.2,28.88
2010-02-10,33.02,28.75
2010-02-11,33.08,28.92
2010-02-12,32.95,28.81
2010-02-16,33.7,29.31
2010-02-17,33.55,29.19
2010-02-18,33.52,29.35
2010-02-19,33.97,29.76
2010-02-22,33.65,29.6
2010-02-23,33.72,29.4
2010-02-24,33.91,29.43
2010-02-25,33.68,29.37
2010-02-26,33.62,29.14
2010-03-01,33.94,29.56
2010-03-02,34.12,29.65
2010-03-03,33.97,29.6
2010-03-04,33.91,29.66
2010-03-05,34.25,29.96
2010-03-08,34.18,29.96
2010-03-09,34.12,29.92
2010-03-10,34.15,29.93
2010-03-11,34.22,30.03
2010-03-12,34.1,29.84
2010-03-15,34.39,29.95
2010-03-16,34.77,30.3
2010-03-17,34.82,30.4
2010-03-18,34.76,30.26
2010-03-19,34.52,29.96
2010-03-22,34.08,29.76
2010-03-23,34.3,29.88
2010-03-24,33.99,29.57
2010-03-25,33.9,29.38
2010-03-26,34.09,29.45
2010-03-29,34.37,29.81
2010-03-30,34.42,29.73
2010-03-31,34.18,29.66
2010-04-01,34.49,30.07
2010-04-05,34.31,30.25
2010-04-06,34.3,30.5
2010-04-07,34.08,30.2
2010-04-08,33.96,30.02
2010-04-09,34.27,30.24
2010-04-12,34.08,30.32
2010-04-13,34.07,30.16
2010-04-14,33.9,30.19
2010-04-15,33.77,30.18
2010-04-16,33.73,29.83
2010-04-19,33.8,29.86
2010-04-20,33.95,30.24
2010-04-21,33.95,30.27
2010-04-22,33.98,30.37
2010-04-23,34.02,30.61
2010-04-26,33.76,30.5
2010-04-27,33.34,29.98
2010-04-28,33.52,30.29
2010-04-29,33.84,30.32
2010-04-30,34.3,30.44
2010-05-03,34.56,30.83
2010-05-04,33.61,30.3
2010-05-05,33.37,30.09
2010-05-06,32.18,29.26
2010-05-07,31.92,29.1
2010-05-10,33.14,30.0
2010-05-11,33.15,30.06
2010-05-12,33.58,30.31
2010-05-13,33.3,30.18
2010-05-14,33.0,29.93
2010-05-17,32.99,29.96
2010-05-18,32.6,29.67
2010-05-19,32.31,29.37
2010-05-20,31.34,28.49
2010-05-21,31.46,28.62
2010-05-24,31.19,28.35
2010-05-25,30.97,28.2
2010-05-26,31.02,28.19
2010-05-27,31.99,28.73
2010-05-28,31.96,28.76
2010-06-01,31.2,28.09
2010-06-02,31.85,28.68
2010-06-03,32.16,28.98
2010-06-04,31.12,28.1175
2010-06-07,31.43,28.29
2010-06-08,31.72,28.66
2010-06-09,31.74,28.5
2010-06-10,32.68,29.2
2010-06-11,32.45,29.22
2010-06-14,32.41,29.39
2010-06-15,33.41,29.96
2010-06-16,33.68,30.15
2010-06-17,34.0,30.37
2010-06-18,34.06,30.08
2010-06-21,33.87,29.87
2010-06-22,33.3,29.13
2010-06-23,32.72,28.87
2010-06-24,32.72,28.71
2010-06-25,32.99,28.84
2010-06-28,33.31,29.03
2010-06-29,32.69,28.44
2010-06-30,32.3,28.26
2010-07-01,32.22,28.13
2010-07-02,32.39,28.16
2010-07-06,33.26,28.49
2010-07-07,34.37,29.37
2010-07-08,34.77,29.6
2010-07-09,34.84,29.8
2010-07-12,34.87,29.9
2010-07-13,34.77,30.0
2010-07-14,34.86,30.01
2010-07-15,35.28,30.21
2010-07-16,34.76,29.69
2010-07-19,35.38,30.15
2010-07-20,35.92,30.42
2010-07-21,35.26,29.95
2010-07-22,35.79,30.43
2010-07-23,35.8,30.48
2010-07-26,36.17,30.7
2010-07-27,36.63,31.15
2010-07-28,36.61,31.0
2010-07-29,36.1,30.52
2010-07-30,35.98,30.37
2010-08-02,36.27,31.0
2010-08-03,36.25,30.85
2010-08-04,35.99,30.98
2010-08-05,36.41,30.93
2010-08-06,35.98,30.99
2010-08-09,35.85,31.1
2010-08-10,36.27,31.28
2010-08-11,35.5,30.65
2010-08-12,35.35,30.59
2010-08-13,35.52,30.7
2010-08-16,35.73,30.7
2010-08-17,35.76,31.0
2010-08-18,35.22,30.83
2010-08-19,34.84,30.39
2010-08-20,34.82,30.47
2010-08-23,35.11,30.67
2010-08-24,35.41,30.7225
2010-08-25,35.33,30.7
2010-08-26,35.2,30.56
2010-08-27,35.71,31.14
2010-08-30,35.17,30.67
2010-08-31,35.41,30.81
2010-09-01,36.11,31.48
2010-09-02,35.86,31.48
2010-09-03,36.12,31.62
2010-09-07,36.17,31.46
2010-09-08,36.08,31.31
2010-09-09,36.35,31.62
2010-09-10,36.63,31.44
2010-09-13,36.7,31.55
2010-09-14,36.42,31.51
2010-09-15,36.18,31.33
2010-09-16,36.0,31.22
2010-09-17,35.88,30.85
2010-09-20,36.34,31.26
2010-09-21,36.01,31.1
2010-09-22,36.43,31.32
2010-09-23,36.1,30.96
2010-09-24,36.5,31.46
2010-09-27,36.54,31.52
2010-09-28,36.72,31.54
2010-09-29,36.46,31.48
2010-09-30,36.23,31.38
2010-10-01,36.22,31.55
2010-10-04,36.2,31.49
2010-10-05,36.34,31.84
2010-10-06,36.26,31.69
2010-10-07,36.05,31.75
2010-10-08,36.19,31.85
2010-10-11,36.29,31.86
2010-10-12,35.86,31.73
2010-10-13,35.83,31.85
2010-10-14,35.79,31.8
2010-10-15,35.94,31.895
2010-10-18,36.33,31.9
2010-10-19,36.52,31.96
2010-10-20,36.82,32.22
2010-10-21,36.9,32.08
2010-10-22,36.7,31.87
2010-10-25,36.46,31.8
2010-10-26,36.66,31.72
2010-10-27,36.85,31.59
2010-10-28,37.21,31.67
2010-10-29,37.44,31.72
2010-11-01,37.28,31.41
2010-11-02,37.63,31.78
2010-11-03,37.55,31.72
2010-11-04,37.59,32.06
2010-11-05,37.7,32.05
2010-11-08,36.93,31.87
2010-11-09,36.9,31.76
2010-11-10,36.6,31.62
2010-11-11,36.54,31.6
2010-11-12,36.52,31.34
2010-11-15,36.43,31.445
2010-11-16,35.94,31.08
2010-11-17,35.72,31.065
2010-11-18,36.06,31.25
2010-11-19,35.75,31.13
2010-11-22,35.99,31.22
2010-11-23,35.68,30.88
2010-11-24,36.02,31.065
2010-11-26,35.85,30.86
2010-11-29,35.68,30.8
2010-11-30,35.6,30.76
2010-12-01,36.4,31.12
2010-12-02,36.08,31.21
2010-12-03,35.99,31.275
2010-12-06,35.8,31.19
2010-12-07,35.42,30.98
2010-12-08,35.08,30.87
2010-12-09,35.37,31.0
2010-12-10,35.64,31.12
2010-12-13,35.87,31.265
2010-12-14,36.08,31.35
2010-12-15,35.72,31.08
2010-12-16,36.05,31.3575
2010-12-17,35.99,31.15
2010-12-20,35.96,31.19
2010-12-21,35.8,31.2
2010-12-22,35.96,31.34
2010-12-23,35.92,31.36
2010-12-27,35.88,31.38
2010-12-28,36.05,31.49
2010-12-29,36.12,31.38
2010-12-30,36.05,31.33
2010-12-31,35.98,31.34
2011-01-03,36.25,31.4925
2011-01-04,36.51,31.635
2011-01-05,35.96,31.44
2011-01-06,36.14,31.47
2011-01-07,36.0,31.5825
2011-01-10,35.76,31.41
2011-01-11,35.92,31.455
2011-01-12,35.95,31.62
2011-01-13,35.67,31.5925
2011-01-14,35.45,31.74
2011-01-18,36.21,31.815
2011-01-19,35.95,31.74
2011-01-20,36.47,31.98
2011-01-21,36.44,31.95
2011-01-24,36.75,32.13
2011-01-25,36.66,32.0825
2011-01-26,36.41,31.96
2011-01-27,36.69,32.08
2011-01-28,35.86,31.65
2011-01-31,35.68,31.72
2011-02-01,35.95,32.04
2011-02-02,35.69,31.865
2011-02-03,35.82,31.995
2011-02-04,35.62,31.8
2011-02-07,36.04,32.005
2011-02-08,35.83,32.0025
2011-02-09,35.74,32.0
2011-02-10,35.61,32.06
2011-02-11,35.86,32.0
2011-02-14,35.52,31.77
2011-02-15,35.83,31.87
2011-02-16,35.77,31.8
2011-02-17,35.85,31.86
2011-02-18,35.76,31.91
2011-02-22,35.61,31.77
2011-02-23,35.38,31.7
2011-02-24,35.11,31.5775
2011-02-25,35.28,31.755
2011-02-28,35.78,32.11
2011-03-01,35.3,31.785
2011-03-02,35.59,31.84
2011-03-03,35.96,32.2
2011-03-04,35.33,32.005
2011-03-07,35.61,32.13
2011-03-08,35.98,32.49
2011-03-09,36.3,32.82
2011-03-10,35.75,32.4475
2011-03-11,35.81,32.52
2011-03-14,35.34,32.09
2011-03-15,34.92,31.48
2011-03-16,34.26,30.985
2011-03-17,33.6,31.03
2011-03-18,33.81,30.88
2011-03-21,34.06,31.24
2011-03-22,34.16,31.285
2011-03-23,34.5,31.27
2011-03-24,34.81,31.4
2011-03-25,34.71,31.39
2011-03-28,34.69,31.28
2011-03-29,35.1,31.585
2011-03-30,35.5,31.95
2011-03-31,35.14,31.87
2011-04-01,35.52,32.12
2011-04-04,35.45,32.1
2011-04-05,35.3,31.97
2011-04-06,35.57,32.2
2011-04-07,35.47,32.07
2011-04-08,35.31,31.98
2011-04-11,34.78,31.56
2011-04-12,34.59,31.48
2011-04-13,34.92,31.56
2011-04-14,35.17,31.75
2011-04-15,35.46,32.1
2011-04-18,35.31,31.82
