date,C,KBE
1/4/2010,34.00000228,21.71
1/5/2010,35.30000348,22.18
1/6/2010,36.39999966,22.47
1/7/2010,36.50000267,23.41
1/8/2010,35.89999758,23.32
1/11/2010,36.29999764,23.33
1/12/2010,35.20000147,22.94
1/13/2010,35.00000544,23.33
1/14/2010,35.09999845,23.68
1/15/2010,34.19999731,23.16
1/19/2010,35.4000055,23.4
1/20/2010,34.59999638,23.71
1/21/2010,32.70000108,23.67
1/22/2010,32.50000505,22.96
1/25/2010,32.30000102,23
1/26/2010,31.50000189,22.57
1/27/2010,32.00000397,23.19
1/28/2010,32.40000303,23.3
1/29/2010,33.20000216,23.09
2/1/2010,33.39999719,23.42
2/2/2010,34.1000043,23.47
2/3/2010,33.70000424,22.95
2/4/2010,31.79999894,21.98
2/5/2010,32.199999,22.24
2/8/2010,31.50000189,21.91
2/9/2010,31.79999894,22.18
2/10/2010,32.00000397,22.34
2/11/2010,32.09999599,22.38
2/12/2010,31.79999894,22.23
2/16/2010,33.10000014,22.81
2/17/2010,34.1000043,22.83
2/18/2010,34.29999933,22.85
2/19/2010,34.19999731,23.15
2/22/2010,34.59999638,23.59
2/23/2010,33.5000002,23.1
2/24/2010,34.50000436,23.56
2/25/2010,33.89999927,23.4
2/26/2010,34.00000228,23.51
3/1/2010,33.89999927,23.43
3/2/2010,34.00000228,23.58
3/3/2010,34.00000228,23.55
3/4/2010,34.29999933,23.55
3/5/2010,35.00000544,24.14
3/8/2010,35.60000053,24.2
3/9/2010,38.20000293,24.35
3/10/2010,39.59999715,24.91
3/11/2010,41.80000049,25.3
3/12/2010,39.70000017,25.05
3/15/2010,38.90000004,25.12
3/16/2010,40.49999929,25.57
3/17/2010,40.49999929,26.02
3/18/2010,40.20000225,25.61
3/19/2010,39.00000306,25.37
3/22/2010,40.40000628,25.66
3/23/2010,41.29999842,25.89
3/24/2010,41.50000345,26.01
3/25/2010,42.70000263,26.07
3/26/2010,43.1000017,26.01
3/29/2010,41.80000049,25.89
3/30/2010,40.89999835,25.73
3/31/2010,40.49999929,25.81
4/1/2010,41.80000049,25.99
4/5/2010,42.59999962,26.61
4/6/2010,42.90000666,27.19
4/7/2010,43.60000377,27.08
4/8/2010,44.70000094,27.36
4/9/2010,45.50000007,27.48
4/12/2010,46.40000121,27.79
4/13/2010,46.20000618,27.49
4/14/2010,49.30000166,28.4
4/15/2010,48.10000247,28.17
4/16/2010,45.60000208,27.26
4/19/2010,48.79999958,27.47
4/20/2010,49.70000172,28.23
4/21/2010,49.30000166,28.43
4/22/2010,48.70000657,28.69
4/23/2010,48.60000455,28.72
4/26/2010,46.10000416,27.89
4/27/2010,43.39999874,27.07
4/28/2010,44.50000591,27.42
4/29/2010,45.60000208,28.02
4/30/2010,43.70000579,27.66
5/3/2010,44.10000585,28.12
5/4/2010,42.59999962,27.35
5/5/2010,41.80000049,27.35
5/6/2010,40.40000628,26.11
5/7/2010,40.00000621,25.7
5/10/2010,42.20000056,27.25
5/11/2010,41.69999848,27.4
5/12/2010,41.80000049,27.77
5/13/2010,40.89999835,27.3
5/14/2010,39.80000218,26.52
5/17/2010,38.600003,26.48
5/18/2010,37.30000179,25.45
5/19/2010,38.10000092,25.33
5/20/2010,36.29999764,24.13
5/21/2010,37.50000583,25.06
5/24/2010,37.80000387,24.24
5/25/2010,37.80000387,24.45
5/26/2010,38.600003,24.36
5/27/2010,40.20000225,25.37
5/28/2010,39.59999715,24.77
6/1/2010,38.50000098,24.22
6/2/2010,39.19999809,24.95
6/3/2010,39.59999715,24.77
6/4/2010,37.90000589,23.67
6/7/2010,36.39999966,23.16
6/8/2010,37.19999978,23.63
6/9/2010,38.70000501,23.43
6/10/2010,39.00000306,24.34
6/11/2010,38.79999803,24.3
6/14/2010,38.79999803,24.13
6/15/2010,39.9000042,24.8
6/16/2010,39.9000042,24.74
6/17/2010,39.59999715,24.7
6/18/2010,40.09999923,24.84
6/21/2010,40.20000225,24.82
6/22/2010,39.40000212,24.48
6/23/2010,38.90000004,24.3
6/24/2010,37.80000387,23.74
6/25/2010,39.40000212,24.41
6/28/2010,40.00000621,24.34
6/29/2010,37.30000179,23.28
6/30/2010,37.59999884,22.89
7/1/2010,37.80000387,22.69
7/2/2010,37.90000589,22.34
7/6/2010,37.90000589,22.58
7/7/2010,39.00000306,23.87
7/8/2010,39.70000017,23.94
7/9/2010,40.40000628,24.5
7/12/2010,41.10000339,24.59
7/13/2010,42.99999968,25.29
7/14/2010,42.09999754,24.91
7/15/2010,41.60000546,24.79
7/16/2010,39.00000306,23.4
7/19/2010,39.80000218,23.34
7/20/2010,39.9000042,23.32
7/21/2010,39.40000212,22.785
7/22/2010,40.89999835,23.6
7/23/2010,40.20000225,23.76
7/26/2010,41.50000345,24.37
7/27/2010,41.60000546,24.53
7/28/2010,40.89999835,24.24
7/29/2010,41.2000054,24.21
7/30/2010,41.00000137,24.19
8/2/2010,41.90000251,24.91
8/3/2010,41.29999842,24.59
8/4/2010,41.40000043,24.54
8/5/2010,41.00000137,24.42
8/6/2010,40.60000131,24.1
8/9/2010,40.80000634,24.19
8/10/2010,40.00000621,24.05
8/11/2010,38.50000098,23.02
8/12/2010,38.70000501,22.89
8/13/2010,38.79999803,22.86
8/16/2010,38.70000501,22.83
8/17/2010,38.50000098,22.85
8/18/2010,38.600003,22.93
8/19/2010,37.90000589,22.37
8/20/2010,37.50000583,22.29
8/23/2010,37.50000583,22.14
8/24/2010,37.09999676,21.67
8/25/2010,36.79999972,21.56
8/26/2010,36.60000469,21.45
8/27/2010,37.59999884,21.91
8/30/2010,36.6999977,21.39
8/31/2010,37.09000276,21.6
9/1/2010,38.47500498,22.47
9/2/2010,38.79999803,22.73
9/3/2010,39.10000507,23.13
9/7/2010,38.30000595,22.49
9/8/2010,38.39999797,22.79
9/9/2010,39.10000507,23.16
9/10/2010,39.10000507,23.17
9/13/2010,39.9000042,23.83
9/14/2010,39.40000212,23.56
9/15/2010,39.19999809,23.56
9/16/2010,39.70000017,23.42
9/17/2010,39.50000514,23.23
9/20/2010,39.9000042,23.76
9/21/2010,39.40000212,23.45
9/22/2010,38.79999803,23.04
9/23/2010,37.9999989,22.63
9/24/2010,39.04000007,23.27
9/27/2010,38.70000501,22.91
9/28/2010,38.82500303,22.99
9/29/2010,39.19999809,22.88
9/30/2010,39.10000507,22.95
10/1/2010,40.89999835,23.17
10/4/2010,40.30000426,23.09
10/5/2010,41.29999842,23.77
10/6/2010,41.00000137,23.68
10/7/2010,41.80000049,23.58
10/8/2010,41.90000251,23.53
10/11/2010,41.80000049,23.52
10/12/2010,42.40000459,23.83
10/13/2010,42.5000066,23.66
10/14/2010,40.60000131,23.04
10/15/2010,39.50000514,22.46
