date,CMCSA,XLY
1/4/2010,8.484993,30
1/5/2010,8.3699955,30.11
1/6/2010,8.309998,30.15
1/7/2010,8.484993,30.4
1/8/2010,8.4599995,30.39
1/11/2010,8.404999,30.33
1/12/2010,8.2549975,29.94
1/13/2010,8.384995,30.28
1/14/2010,8.3349995,30.28
1/15/2010,8.314995,29.98
1/19/2010,8.404999,30.38
1/20/2010,8.259995,29.97
1/21/2010,8,29.59
1/22/2010,7.925,29.02
1/25/2010,8.0049975,29.17
1/26/2010,7.85,29.21
1/27/2010,7.925,29.26
1/28/2010,7.81,29.09
1/29/2010,7.915,28.91
2/1/2010,7.97,29.28
2/2/2010,8.144997,29.69
2/3/2010,7.985,29.71
2/4/2010,7.76,28.85
2/5/2010,7.71,28.77
2/8/2010,7.605,28.59
2/9/2010,7.695,29.03
2/10/2010,7.655,28.91
2/11/2010,7.665,29.25
2/12/2010,7.67,29.25
2/16/2010,7.835,29.72
2/17/2010,7.83,29.96
2/18/2010,7.865,30.15
2/19/2010,8,30.22
2/22/2010,8.094994,30.21
2/23/2010,8.07,30.03
2/24/2010,8.2099995,30.42
2/25/2010,8.07,30.47
2/26/2010,8.219994,30.52
3/1/2010,8.4149935,31
3/2/2010,8.399994,30.84
3/3/2010,8.479996,30.93
3/4/2010,8.5849995,31.21
3/5/2010,8.7149965,31.79
3/8/2010,8.779999,31.87
3/9/2010,8.7549975,31.82
3/10/2010,8.7649995,31.89
3/11/2010,8.7849965,32.12
3/12/2010,8.7099995,32.21
3/15/2010,8.7649995,32.17
3/16/2010,8.7449955,32.41
3/17/2010,8.7899935,32.57
3/18/2010,8.8349995,32.56
3/19/2010,8.7649995,32.4
3/22/2010,8.8899995,32.74
3/23/2010,9.0449985,32.87
3/24/2010,9.0899965,32.74
3/25/2010,9.219994,32.93
3/26/2010,9.1699985,33.06
3/29/2010,9.25,33.11
3/30/2010,9.3699955,33.08
3/31/2010,9.4149935,32.84
4/1/2010,9.429993,33.07
4/5/2010,9.4099965,33.47
4/6/2010,9.3799975,33.52
4/7/2010,9.144997,33.4
4/8/2010,9.2149965,33.72
4/9/2010,9.25,33.97
4/12/2010,9.314995,33.97
4/13/2010,9.3349995,34.15
4/14/2010,9.4649965,34.68
4/15/2010,9.429993,34.83
4/16/2010,9.1599965,34.37
4/19/2010,9.2899935,34.43
4/20/2010,9.269997,34.85
4/21/2010,9.2649995,35.01
4/22/2010,9.399994,35.64
4/23/2010,9.479996,35.67
4/26/2010,9.5399935,35.95
