date,CSCO,XLK
2010-01-04,24.69,23.27
2010-01-05,24.58,23.24
2010-01-06,24.42,22.98
2010-01-07,24.53,22.89
2010-01-08,24.66,23.04
2010-01-11,24.59,22.95
2010-01-12,24.2,22.7
2010-01-13,24.64,22.92
2010-01-14,24.95,22.98
2010-01-15,24.4,22.66
2010-01-19,24.85,23.05
2010-01-20,24.41,22.68
2010-01-21,23.98,22.44
2010-01-22,22.97,21.66
2010-01-25,22.99,21.84
2010-01-26,22.9,21.78
2010-01-27,23.15,21.96
2010-01-28,22.52,21.33
2010-01-29,22.47,20.959
2010-02-01,22.73,21.2
2010-02-02,23.02,21.41
2010-02-03,23.07,21.46
2010-02-04,23.16,20.86
2010-02-05,23.7,21.07
2010-02-08,23.499,20.98
2010-02-09,23.89,21.16
2010-02-10,23.76,21.1
2010-02-11,23.93,21.32
2010-02-12,23.76,21.36
2010-02-16,24.0,21.68
2010-02-17,24.07,21.74
2010-02-18,24.28,21.88
2010-02-19,24.36,21.82
2010-02-22,24.3,21.78
2010-02-23,24.05,21.51
2010-02-24,24.34,21.72
2010-02-25,24.33,21.66
2010-02-26,24.33,21.69
2010-03-01,24.6,21.97
2010-03-02,24.61,21.94
2010-03-03,24.84,21.95
2010-03-04,24.95,22.04
2010-03-05,25.21,22.31
2010-03-08,26.13,22.43
2010-03-09,26.13,22.53
2010-03-10,25.872,22.68
2010-03-11,25.97,22.77
2010-03-12,25.88,22.75
2010-03-15,26.08,22.73
2010-03-16,26.15,22.9
2010-03-17,26.26,22.97
2010-03-18,26.34,23.0
2010-03-19,26.15,22.79
2010-03-22,26.28,22.96
2010-03-23,26.64,23.18
2010-03-24,26.45,23.07
2010-03-25,26.43,23.11
2010-03-26,26.469,23.0
2010-03-29,26.51,23.07
2010-03-30,26.65,23.17
2010-03-31,26.03,23.1
2010-04-01,25.83,23.06
2010-04-05,26.17,23.33
2010-04-06,26.22,23.35
2010-04-07,26.34,23.26
2010-04-08,26.28,23.3
2010-04-09,26.6,23.48
2010-04-12,26.53,23.53
2010-04-13,26.44,23.6
2010-04-14,26.88,23.94
2010-04-15,27.21,24.05
2010-04-16,26.98,23.73
2010-04-19,27.07,23.78
2010-04-20,27.18,23.91
2010-04-21,27.24,23.96
2010-04-22,27.32,24.02
2010-04-23,27.47,24.08
2010-04-26,27.57,24.05
2010-04-27,27.01,23.58
2010-04-28,27.038,23.65
2010-04-29,27.53,23.89
2010-04-30,26.93,23.389
2010-05-03,27.54,23.71
2010-05-04,26.5575,23.03
2010-05-05,26.55,22.93
2010-05-06,25.488,22.24
2010-05-07,24.71,21.75
2010-05-10,26.13,22.75
2010-05-11,25.96,22.6
2010-05-12,26.74,23.19
2010-05-13,25.53,22.85
2010-05-14,24.94,22.41
2010-05-17,24.87,22.52
2010-05-18,24.3625,22.18
2010-05-19,24.26,22.01
2010-05-20,23.31,21.31
2010-05-21,23.46,21.47
2010-05-24,23.37,21.37
2010-05-25,23.31,21.31
2010-05-26,22.89,21.1
2010-05-27,23.67,21.82
2010-05-28,23.16,21.64
2010-06-01,23.0,21.43
2010-06-02,23.35,21.91
2010-06-03,23.72,22.13
2010-06-04,22.955,21.42
2010-06-07,22.76,21.11
2010-06-08,22.955,21.15
2010-06-09,22.78,21.04
2010-06-10,22.7725,21.55
2010-06-11,22.9075,21.74
2010-06-14,22.755,21.7
2010-06-15,23.33,22.27
2010-06-16,23.29,22.33
2010-06-17,23.169,22.41
2010-06-18,23.49,22.33
2010-06-21,23.34,22.17
2010-06-22,22.97,21.98
2010-06-23,22.86,21.94
2010-06-24,22.57,21.5
2010-06-25,22.1825,21.475
2010-06-28,22.42,21.52
2010-06-29,21.62,20.72
2010-06-30,21.31,20.4
2010-07-01,21.26,20.32
2010-07-02,21.13,20.29
2010-07-06,21.34,20.49
2010-07-07,22.48,21.15
2010-07-08,22.55,21.28
2010-07-09,22.7,21.39
2010-07-12,22.86,21.49
2010-07-13,23.09,21.8
2010-07-14,23.74,21.93
2010-07-15,23.92,22.0
2010-07-16,22.75,21.3725
2010-07-19,22.73,21.58
2010-07-20,23.05,21.72
2010-07-21,22.56,21.46
2010-07-22,23.27,22.04
2010-07-23,23.35,22.19
2010-07-26,23.61,22.32
2010-07-27,23.3,22.39
2010-07-28,23.39,22.21
2010-07-29,23.21,22.01
2010-07-30,23.07,21.92
2010-08-02,23.8,22.38
2010-08-03,23.82,22.26
2010-08-04,24.14,22.44
2010-08-05,24.17,22.34
2010-08-06,24.07,22.28
2010-08-09,24.77,22.43
2010-08-10,24.31,22.2
2010-08-11,23.73,21.67
2010-08-12,21.36,21.37
2010-08-13,21.36,21.27
2010-08-16,21.91,21.31
2010-08-17,22.05,21.54
2010-08-18,22.41,21.66
2010-08-19,22.22,21.4
2010-08-20,22.23,21.35
2010-08-23,21.68,21.16
2010-08-24,21.13,20.87
2010-08-25,21.21,21.0
2010-08-26,20.7,20.79
2010-08-27,20.81,21.04
2010-08-30,20.32,20.76
2010-08-31,19.985,20.69
2010-09-01,20.26,21.22
2010-09-02,20.52,21.41
2010-09-03,21.04,21.73
2010-09-07,20.58,21.55
2010-09-08,20.64,21.67
2010-09-09,20.61,21.73
2010-09-10,20.62,21.74
2010-09-13,21.26,22.13
2010-09-14,21.45,22.22
2010-09-15,21.59,22.36
2010-09-16,21.93,22.49
2010-09-17,21.8625,22.53
2010-09-20,21.7499,22.86
2010-09-21,21.64,22.82
2010-09-22,21.67,22.71
2010-09-23,21.53,22.68
2010-09-24,22.09,23.12
2010-09-27,22.11,23.13
2010-09-28,21.8625,23.16
2010-09-29,21.87,23.11
2010-09-30,21.9,23.02
2010-10-01,21.91,23.03
2010-10-04,21.76,22.84
2010-10-05,21.985,23.29
2010-10-06,22.3,23.18
2010-10-07,22.39,23.18
2010-10-08,22.48,23.31
2010-10-11,22.47,23.35
2010-10-12,22.62,23.49
2010-10-13,23.18,23.68
2010-10-14,23.07,23.69
2010-10-15,23.36,24.09
2010-10-18,23.295,24.25
2010-10-19,22.97,23.82
2010-10-20,23.4,24.02
2010-10-21,23.26,24.04
2010-10-22,23.48,24.11
2010-10-25,23.61,24.18
2010-10-26,23.395,24.24
2010-10-27,23.29,24.31
2010-10-28,23.19,24.31
2010-10-29,22.86,24.35
2010-11-01,22.92,24.37
2010-11-02,23.17,24.61
2010-11-03,23.71,24.75
2010-11-04,24.21,25.12
2010-11-05,24.26,25.1
2010-11-08,24.39,25.12
2010-11-09,24.35,25.05
2010-11-10,24.49,25.07
2010-11-11,20.52,24.685
2010-11-12,20.15,24.34
2010-11-15,19.95,24.27
2010-11-16,19.435,23.83
2010-11-17,19.405,23.84
2010-11-18,19.61,24.24
2010-11-19,19.61,24.31
2010-11-22,19.56,24.45
2010-11-23,19.2,24.09
2010-11-24,19.46,24.49
2010-11-26,19.54,24.25
2010-11-29,19.44,24.19
2010-11-30,19.16,23.95
2010-12-01,19.32,24.46
2010-12-02,19.22,24.75
2010-12-03,19.07,24.805
2010-12-06,19.4275,24.81
2010-12-07,19.39,24.84
2010-12-08,19.35,25.05
2010-12-09,19.7,25.07
2010-12-10,19.7,25.185
2010-12-13,19.58,25.14
2010-12-14,19.54,25.18
2010-12-15,19.47,25.08
2010-12-16,19.75,25.12
2010-12-17,19.55,25.08
2010-12-20,19.62,25.1
2010-12-21,19.53,25.25
2010-12-22,19.56,25.22
2010-12-23,19.69,25.21
2010-12-27,20.16,25.26
2010-12-28,20.35,25.23
2010-12-29,20.25,25.28
2010-12-30,20.23,25.22
2010-12-31,20.23,25.19
2011-01-03,20.49,25.47
2011-01-04,20.52,25.57
2011-01-05,20.77,25.72
2011-01-06,20.95,25.87
2011-01-07,20.97,25.75
2011-01-10,20.79,25.7725
2011-01-11,20.88,25.73
2011-01-12,21.12,25.96
2011-01-13,21.08,25.94
2011-01-14,21.21,26.17
2011-01-18,21.215,26.1975
2011-01-19,20.82,26.01
2011-01-20,20.77,25.87
2011-01-21,20.725,25.72
2011-01-24,21.17,26.08
2011-01-25,21.54,26.2
2011-01-26,21.42,26.35
2011-01-27,21.44,26.44
2011-01-28,20.93,25.83
2011-01-31,21.15,25.99
2011-02-01,21.47,26.43
2011-02-02,21.62,26.4775
2011-02-03,21.91,26.52
2011-02-04,22.05,26.69
2011-02-07,22.03,26.8225
2011-02-08,21.99,26.9325
2011-02-09,22.04,26.88
2011-02-10,18.92,26.76
2011-02-11,18.7,26.9025
2011-02-14,18.81,26.94
2011-02-15,18.67,26.84
2011-02-16,18.58,26.9875
2011-02-17,18.68,27.04
2011-02-18,18.85,27.0
2011-02-22,18.59,26.34
2011-02-23,18.4,26.03
2011-02-24,18.36,26.12
2011-02-25,18.64,26.45
2011-02-28,18.56,26.56
2011-03-01,18.56,26.05
2011-03-02,18.5,26.21
2011-03-03,18.53,26.63
2011-03-04,18.4,26.415
2011-03-07,18.2,26.08
2011-03-08,18.22,26.2975
2011-03-09,18.12,26.19
2011-03-10,17.92,25.7
2011-03-11,17.95,25.8
2011-03-14,17.85,25.68
2011-03-15,17.39,25.3
2011-03-16,17.05,24.6825
2011-03-17,17.0,24.94
2011-03-18,17.14,24.9
2011-03-21,17.3875,25.3225
2011-03-22,17.45,25.28
2011-03-23,17.58,25.42
2011-03-24,17.36,25.8175
2011-03-25,17.28,25.88
