date,D,XLU
2010-01-04,38.96,31.08
2010-01-05,38.48,30.71
2010-01-06,38.52,30.89
2010-01-07,38.58,30.75
2010-01-08,38.56,30.72
2010-01-11,39.13,31.04
2010-01-12,38.93,30.91
2010-01-13,39.15,31.25
2010-01-14,39.11,31.11
2010-01-15,38.85,30.91
2010-01-19,39.43,31.27
2010-01-20,39.04,30.94
2010-01-21,38.53,30.49
2010-01-22,37.8,29.82
2010-01-25,38.07,30.02
2010-01-26,38.1,30.14
2010-01-27,38.0,29.94
2010-01-28,37.6,29.71
2010-01-29,37.46,29.53
2010-02-01,37.75,29.72
2010-02-02,37.99,29.96
2010-02-03,37.64,29.75
2010-02-04,36.86,28.97
2010-02-05,36.75,28.92
2010-02-08,36.27,28.59
2010-02-09,36.57,28.88
2010-02-10,36.6,28.75
2010-02-11,37.07,28.92
2010-02-12,37.14,28.81
2010-02-16,38.24,29.31
2010-02-17,38.38,29.19
2010-02-18,38.72,29.35
2010-02-19,39.17,29.76
2010-02-22,39.0,29.6
2010-02-23,38.82,29.4
2010-02-24,38.53,29.43
2010-02-25,38.34,29.37
2010-02-26,37.99,29.14
2010-03-01,38.3,29.56
2010-03-02,38.48,29.65
2010-03-03,38.61,29.6
2010-03-04,38.75,29.66
2010-03-05,39.11,29.96
2010-03-08,39.08,29.96
2010-03-09,39.22,29.92
2010-03-10,39.38,29.93
2010-03-11,39.65,30.03
2010-03-12,39.69,29.84
2010-03-15,39.71,29.95
2010-03-16,39.89,30.3
2010-03-17,40.56,30.4
2010-03-18,40.51,30.26
2010-03-19,40.7,29.96
2010-03-22,40.13,29.76
2010-03-23,40.19,29.88
2010-03-24,40.08,29.57
2010-03-25,40.26,29.38
2010-03-26,40.6,29.45
2010-03-29,41.18,29.81
2010-03-30,41.26,29.73
2010-03-31,41.11,29.66
2010-04-01,41.83,30.07
2010-04-05,41.81,30.25
2010-04-06,41.7,30.5
2010-04-07,41.65,30.2
2010-04-08,41.47,30.02
2010-04-09,41.59,30.24
2010-04-12,41.8,30.32
2010-04-13,41.67,30.16
2010-04-14,41.48,30.19
2010-04-15,41.44,30.18
2010-04-16,41.18,29.83
2010-04-19,41.28,29.86
2010-04-20,41.42,30.24
2010-04-21,41.36,30.27
2010-04-22,41.35,30.37
2010-04-23,41.77,30.61
2010-04-26,41.86,30.5
2010-04-27,41.14,29.98
2010-04-28,41.42,30.29
2010-04-29,41.3,30.32
2010-04-30,41.8,30.44
2010-05-03,42.47,30.83
2010-05-04,41.68,30.3
2010-05-05,41.78,30.09
2010-05-06,40.21,29.26
2010-05-07,40.22,29.1
2010-05-10,41.91,30.0
2010-05-11,41.8,30.06
2010-05-12,41.85,30.31
2010-05-13,41.54,30.18
2010-05-14,40.99,29.93
2010-05-17,41.27,29.96
2010-05-18,40.71,29.67
2010-05-19,40.43,29.37
2010-05-20,39.24,28.49
2010-05-21,39.53,28.62
2010-05-24,39.25,28.35
2010-05-25,39.23,28.2
2010-05-26,38.56,28.19
2010-05-27,39.14,28.73
2010-05-28,38.96,28.76
2010-06-01,38.59,28.09
2010-06-02,39.72,28.68
2010-06-03,40.15,28.98
2010-06-04,39.005,28.1175
2010-06-07,39.33,28.29
2010-06-08,40.16,28.66
2010-06-09,39.92,28.5
2010-06-10,40.81,29.2
2010-06-11,40.6,29.22
2010-06-14,40.48,29.39
2010-06-15,41.28,29.96
2010-06-16,41.67,30.15
2010-06-17,41.85,30.37
2010-06-18,42.0,30.08
2010-06-21,41.82,29.87
2010-06-22,40.86,29.13
2010-06-23,40.23,28.87
2010-06-24,40.15,28.71
2010-06-25,40.17,28.84
2010-06-28,40.57,29.03
2010-06-29,39.27,28.44
2010-06-30,38.74,28.26
2010-07-01,38.98,28.13
2010-07-02,38.67,28.16
2010-07-06,39.14,28.49
2010-07-07,40.18,29.37
2010-07-08,40.75,29.6
2010-07-09,40.9,29.8
2010-07-12,40.99,29.9
2010-07-13,41.1,30.0
2010-07-14,41.44,30.01
2010-07-15,41.27,30.21
2010-07-16,40.43,29.69
2010-07-19,41.4,30.15
2010-07-20,41.96,30.42
2010-07-21,41.26,29.95
2010-07-22,42.22,30.43
2010-07-23,42.41,30.48
2010-07-26,42.6,30.7
2010-07-27,43.27,31.15
2010-07-28,42.98,31.0
2010-07-29,41.69,30.52
2010-07-30,41.99,30.37
2010-08-02,43.2,31.0
2010-08-03,43.12,30.85
2010-08-04,43.5,30.98
2010-08-05,43.55,30.93
2010-08-06,43.67,30.99
2010-08-09,44.03,31.1
2010-08-10,44.18,31.28
2010-08-11,43.71,30.65
2010-08-12,43.8,30.59
2010-08-13,43.91,30.7
2010-08-16,44.03,30.7
2010-08-17,44.71,31.0
2010-08-18,44.11,30.83
2010-08-19,43.67,30.39
2010-08-20,43.93,30.47
2010-08-23,44.35,30.67
2010-08-24,44.41,30.7225
2010-08-25,43.15,30.7
2010-08-26,42.76,30.56
2010-08-27,43.42,31.14
2010-08-30,42.69,30.67
2010-08-31,42.73,30.81
2010-09-01,43.86,31.48
2010-09-02,43.58,31.48
2010-09-03,43.99,31.62
2010-09-07,43.82,31.46
2010-09-08,43.73,31.31
2010-09-09,43.94,31.62
2010-09-10,43.29,31.44
2010-09-13,43.92,31.55
2010-09-14,44.03,31.51
2010-09-15,43.48,31.33
2010-09-16,43.59,31.22
2010-09-17,43.42,30.85
2010-09-20,44.29,31.26
2010-09-21,44.11,31.1
2010-09-22,44.21,31.32
2010-09-23,43.42,30.96
2010-09-24,44.23,31.46
2010-09-27,44.26,31.52
2010-09-28,44.19,31.54
2010-09-29,43.95,31.48
2010-09-30,43.66,31.38
2010-10-01,44.03,31.55
2010-10-04,43.89,31.49
2010-10-05,44.58,31.84
2010-10-06,44.49,31.69
2010-10-07,44.51,31.75
2010-10-08,44.68,31.85
2010-10-11,44.69,31.86
2010-10-12,44.32,31.73
2010-10-13,44.55,31.85
2010-10-14,44.63,31.8
2010-10-15,44.54,31.895
2010-10-18,44.92,31.9
2010-10-19,44.5,31.96
2010-10-20,44.7,32.22
2010-10-21,44.74,32.08
2010-10-22,44.51,31.87
2010-10-25,44.46,31.8
2010-10-26,44.04,31.72
2010-10-27,43.82,31.59
2010-10-28,43.95,31.67
2010-10-29,43.46,31.72
2010-11-01,42.49,31.41
2010-11-02,42.82,31.78
2010-11-03,42.87,31.72
2010-11-04,43.53,32.06
2010-11-05,43.5,32.05
2010-11-08,43.09,31.87
2010-11-09,43.07,31.76
2010-11-10,42.98,31.62
2010-11-11,42.84,31.6
2010-11-12,42.86,31.34
2010-11-15,43.12,31.445
2010-11-16,42.79,31.08
2010-11-17,42.45,31.065
2010-11-18,42.8,31.25
2010-11-19,42.76,31.13
2010-11-22,43.01,31.22
2010-11-23,42.49,30.88
2010-11-24,42.03,31.065
2010-11-26,41.84,30.86
2010-11-29,41.61,30.8
2010-11-30,41.53,30.76
2010-12-01,42.05,31.12
2010-12-02,42.1,31.21
2010-12-03,42.42,31.275
2010-12-06,42.04,31.19
2010-12-07,41.9,30.98
2010-12-08,41.83,30.87
2010-12-09,41.77,31.0
2010-12-10,41.62,31.12
2010-12-13,42.05,31.265
2010-12-14,42.0,31.35
2010-12-15,41.72,31.08
2010-12-16,42.31,31.3575
2010-12-17,42.57,31.15
2010-12-20,42.93,31.19
2010-12-21,42.96,31.2
2010-12-22,42.92,31.34
2010-12-23,42.96,31.36
2010-12-27,42.89,31.38
2010-12-28,42.92,31.49
2010-12-29,42.94,31.38
2010-12-30,42.9,31.33
2010-12-31,42.72,31.34
2011-01-03,42.75,31.4925
2011-01-04,43.14,31.635
2011-01-05,43.03,31.44
2011-01-06,43.19,31.47
2011-01-07,43.23,31.5825
2011-01-10,42.44,31.41
2011-01-11,42.33,31.455
2011-01-12,42.26,31.62
2011-01-13,42.61,31.5925
2011-01-14,42.98,31.74
2011-01-18,42.98,31.815
2011-01-19,42.97,31.74
2011-01-20,43.37,31.98
2011-01-21,43.35,31.95
2011-01-24,43.58,32.13
2011-01-25,43.57,32.0825
2011-01-26,43.55,31.96
2011-01-27,43.79,32.08
2011-01-28,43.39,31.65
2011-01-31,43.54,31.72
2011-02-01,43.78,32.04
2011-02-02,43.51,31.865
2011-02-03,43.69,31.995
2011-02-04,43.61,31.8
2011-02-07,43.42,32.005
2011-02-08,43.54,32.0025
2011-02-09,43.54,32.0
2011-02-10,43.9,32.06
2011-02-11,44.12,32.0
2011-02-14,43.68,31.77
2011-02-15,43.74,31.87
2011-02-16,44.09,31.8
2011-02-17,44.18,31.86
2011-02-18,44.37,31.91
2011-02-22,44.29,31.77
2011-02-23,44.64,31.7
2011-02-24,44.74,31.5775
2011-02-25,45.0,31.755
2011-02-28,45.63,32.11
2011-03-01,45.57,31.785
2011-03-02,44.79,31.84
2011-03-03,45.53,32.2
2011-03-04,45.54,32.005
2011-03-07,45.42,32.13
2011-03-08,46.14,32.49
2011-03-09,46.34,32.82
2011-03-10,45.66,32.4475
2011-03-11,45.51,32.52
2011-03-14,45.16,32.09
2011-03-15,44.73,31.48
2011-03-16,43.72,30.985
2011-03-17,43.61,31.03
2011-03-18,43.78,30.88
2011-03-21,44.49,31.24
2011-03-22,44.43,31.285
2011-03-23,44.08,31.27
2011-03-24,44.41,31.4
2011-03-25,44.54,31.39
2011-03-28,44.23,31.28
2011-03-29,44.55,31.585
2011-03-30,45.17,31.95
2011-03-31,44.7,31.87
2011-04-01,44.7,32.12
2011-04-04,44.92,32.1
2011-04-05,44.77,31.97
2011-04-06,45.03,32.2
2011-04-07,44.95,32.07
2011-04-08,44.82,31.98
2011-04-11,43.98,31.56
2011-04-12,43.6,31.48
2011-04-13,43.55,31.56
2011-04-14,44.03,31.75
2011-04-15,44.47,32.1
2011-04-18,44.1,31.82
2011-04-19,44.31,31.83
2011-04-20,44.48,32.24
2011-04-21,44.75,32.24
2011-04-25,45.09,32.28
