date,F,XLY
2010-01-04,10.28,30.0
2010-01-05,10.96,30.11
2010-01-06,11.37,30.15
2010-01-07,11.66,30.4
2010-01-08,11.69,30.39
2010-01-11,12.11,30.33
2010-01-12,11.87,29.94
2010-01-13,11.68,30.28
2010-01-14,11.76,30.28
2010-01-15,11.6,29.98
2010-01-19,11.75,30.38
2010-01-20,11.51,29.97
2010-01-21,11.18,29.59
2010-01-22,10.52,29.02
2010-01-25,11.03,29.17
2010-01-26,11.19,29.21
2010-01-27,11.55,29.26
2010-01-28,11.41,29.09
2010-01-29,10.84,28.91
2010-02-01,11.12,29.28
2010-02-02,11.39,29.69
2010-02-03,11.64,29.71
2010-02-04,11.06,28.85
2010-02-05,10.91,28.77
2010-02-08,10.97,28.59
2010-02-09,11.15,29.03
2010-02-10,10.94,28.91
2010-02-11,11.18,29.25
2010-02-12,11.12,29.25
2010-02-16,11.32,29.72
2010-02-17,11.49,29.96
2010-02-18,11.38,30.15
2010-02-19,11.29,30.22
2010-02-22,11.21,30.21
2010-02-23,11.6,30.03
2010-02-24,11.73,30.42
2010-02-25,11.78,30.47
2010-02-26,11.74,30.52
2010-03-01,12.41,31.0
2010-03-02,12.22,30.84
2010-03-03,12.69,30.93
2010-03-04,12.79,31.21
2010-03-05,13.0,31.79
2010-03-08,12.93,31.87
2010-03-09,12.8,31.82
2010-03-10,12.82,31.89
2010-03-11,12.91,32.12
2010-03-12,13.34,32.21
2010-03-15,13.4,32.17
2010-03-16,13.49,32.41
2010-03-17,14.1,32.57
2010-03-18,13.73,32.56
2010-03-19,13.29,32.4
2010-03-22,13.99,32.74
2010-03-23,13.9,32.87
2010-03-24,13.9,32.74
2010-03-25,13.8,32.93
2010-03-26,13.86,33.06
2010-03-29,13.57,33.11
2010-03-30,13.28,33.08
2010-03-31,12.57,32.84
2010-04-01,12.63,33.07
2010-04-05,12.77,33.47
2010-04-06,12.7,33.52
2010-04-07,12.58,33.4
2010-04-08,12.63,33.72
2010-04-09,12.72,33.97
2010-04-12,12.77,33.97
