date,FITB,KBE
2010-01-04,10.12,21.71
2010-01-05,10.39,22.18
2010-01-06,10.45,22.47
2010-01-07,11.08,23.41
2010-01-08,11.09,23.32
2010-01-11,11.2,23.33
2010-01-12,10.99,22.94
2010-01-13,11.52,23.33
2010-01-14,11.77,23.68
2010-01-15,11.36,23.16
2010-01-19,11.39,23.4
2010-01-20,11.31,23.71
2010-01-21,12.02,23.67
2010-01-22,12.1,22.96
2010-01-25,12.49,23.0
2010-01-26,11.71,22.57
2010-01-27,12.18,23.19
2010-01-28,12.26,23.3
2010-01-29,12.44,23.09
2010-02-01,12.5,23.42
2010-02-02,12.48,23.47
2010-02-03,12.0,22.95
2010-02-04,11.22,21.98
2010-02-05,11.26,22.24
2010-02-08,11.39,21.91
2010-02-09,11.47,22.18
2010-02-10,11.69,22.34
2010-02-11,11.87,22.38
2010-02-12,11.61,22.23
2010-02-16,12.08,22.81
2010-02-17,12.05,22.83
2010-02-18,11.92,22.85
2010-02-19,12.23,23.15
2010-02-22,12.55,23.59
2010-02-23,12.27,23.1
2010-02-24,12.69,23.56
2010-02-25,12.2,23.4
2010-02-26,12.21,23.51
2010-03-01,12.24,23.43
2010-03-02,12.66,23.58
2010-03-03,12.54,23.55
2010-03-04,12.33,23.55
2010-03-05,12.73,24.14
2010-03-08,12.61,24.2
2010-03-09,12.62,24.35
2010-03-10,12.96,24.91
2010-03-11,13.28,25.3
2010-03-12,13.15,25.05
2010-03-15,13.38,25.12
2010-03-16,13.45,25.57
2010-03-17,13.7,26.02
2010-03-18,13.44,25.61
2010-03-19,13.3,25.37
2010-03-22,13.43,25.66
2010-03-23,13.46,25.89
2010-03-24,13.58,26.01
2010-03-25,13.41,26.07
2010-03-26,13.2,26.01
2010-03-29,13.31,25.89
2010-03-30,13.265,25.73
2010-03-31,13.56,25.81
2010-04-01,13.59,25.99
2010-04-05,13.95,26.61
2010-04-06,14.35,27.19
2010-04-07,14.3,27.08
2010-04-08,14.27,27.36
2010-04-09,14.1,27.48
2010-04-12,14.36,27.79
2010-04-13,14.33,27.49
2010-04-14,14.94,28.4
2010-04-15,14.9,28.17
2010-04-16,14.2,27.26
2010-04-19,14.24,27.47
2010-04-20,14.8,28.23
2010-04-21,15.15,28.43
2010-04-22,14.96,28.69
2010-04-23,15.12,28.72
2010-04-26,14.515,27.89
2010-04-27,14.05,27.07
2010-04-28,14.44,27.42
2010-04-29,14.87,28.02
2010-04-30,14.915,27.66
2010-05-03,15.36,28.12
2010-05-04,14.56,27.35
2010-05-05,14.59,27.35
2010-05-06,13.61,26.11
2010-05-07,13.31,25.7
2010-05-10,14.38,27.25
2010-05-11,14.61,27.4
2010-05-12,15.0,27.77
2010-05-13,14.8,27.3
2010-05-14,14.08,26.52
2010-05-17,13.98,26.48
2010-05-18,13.43,25.45
2010-05-19,13.3,25.33
2010-05-20,12.51,24.13
2010-05-21,13.19,25.06
2010-05-24,12.57,24.24
2010-05-25,12.83,24.45
2010-05-26,12.51,24.36
2010-05-27,13.26,25.37
2010-05-28,13.0,24.77
2010-06-01,12.4,24.22
2010-06-02,13.05,24.95
2010-06-03,13.13,24.77
2010-06-04,12.5025,23.67
2010-06-07,12.32,23.16
2010-06-08,12.67,23.63
2010-06-09,12.67,23.43
2010-06-10,13.37,24.34
2010-06-11,13.36,24.3
2010-06-14,13.53,24.13
2010-06-15,14.0,24.8
2010-06-16,14.05,24.74
2010-06-17,13.62,24.7
2010-06-18,13.58,24.84
2010-06-21,13.53,24.82
2010-06-22,13.51,24.48
2010-06-23,13.51,24.3
2010-06-24,13.2,23.74
2010-06-25,13.37,24.41
2010-06-28,13.51,24.34
2010-06-29,12.95,23.28
2010-06-30,12.29,22.89
2010-07-01,12.16,22.69
2010-07-02,11.82,22.34
2010-07-06,12.04,22.58
2010-07-07,12.92,23.87
2010-07-08,13.09,23.94
2010-07-09,13.48,24.5
2010-07-12,13.27,24.59
2010-07-13,13.69,25.29
2010-07-14,13.34,24.91
2010-07-15,13.25,24.79
2010-07-16,12.17,23.4
2010-07-19,11.9,23.34
2010-07-20,11.78,23.32
2010-07-21,11.28,22.785
2010-07-22,12.45,23.6
2010-07-23,12.29,23.76
2010-07-26,12.82,24.37
2010-07-27,13.14,24.53
2010-07-28,12.76,24.24
2010-07-29,12.82,24.21
2010-07-30,12.71,24.19
2010-08-02,13.42,24.91
2010-08-03,13.3,24.59
2010-08-04,13.29,24.54
2010-08-05,13.06,24.42
2010-08-06,12.69,24.1
2010-08-09,13.02,24.19
2010-08-10,13.0025,24.05
2010-08-11,12.38,23.02
2010-08-12,12.16,22.89
2010-08-13,12.13,22.86
2010-08-16,12.19,22.83
2010-08-17,12.07,22.85
2010-08-18,12.11,22.93
2010-08-19,11.68,22.37
2010-08-20,11.56,22.29
2010-08-23,11.6,22.14
2010-08-24,11.035,21.67
2010-08-25,10.98,21.56
2010-08-26,10.95,21.45
2010-08-27,11.18,21.91
2010-08-30,10.85,21.39
2010-08-31,11.04,21.6
2010-09-01,11.66,22.47
2010-09-02,11.72,22.73
2010-09-03,11.93,23.13
2010-09-07,11.38,22.49
2010-09-08,11.6,22.79
2010-09-09,11.96,23.16
2010-09-10,12.09,23.17
2010-09-13,12.51,23.83
2010-09-14,12.485,23.56
2010-09-15,12.47,23.56
2010-09-16,12.22,23.42
2010-09-17,12.23,23.23
2010-09-20,12.39,23.76
2010-09-21,12.275,23.45
2010-09-22,12.04,23.04
2010-09-23,11.72,22.63
2010-09-24,12.2375,23.27
2010-09-27,11.9075,22.91
2010-09-28,12.015,22.99
2010-09-29,11.9025,22.88
2010-09-30,12.03,22.95
2010-10-01,11.9,23.17
2010-10-04,11.9,23.09
2010-10-05,12.51,23.77
2010-10-06,12.28,23.68
2010-10-07,12.52,23.58
2010-10-08,12.38,23.53
2010-10-11,12.28,23.52
2010-10-12,12.755,23.83
2010-10-13,12.7,23.66
2010-10-14,12.34,23.04
2010-10-15,12.13,22.46
2010-10-18,12.54,22.97
2010-10-19,12.375,22.89
2010-10-20,12.4,22.72
2010-10-21,12.8,22.765
2010-10-22,12.86,22.81
2010-10-25,12.62,22.595
2010-10-26,12.785,22.63
2010-10-27,12.87,22.67
2010-10-28,12.72,22.61
2010-10-29,12.56,22.59
2010-11-01,12.38,22.48
2010-11-02,12.44,22.43
2010-11-03,13.05,22.85
2010-11-04,13.4,23.62
2010-11-05,13.03,24.19
2010-11-08,13.05,24.05
2010-11-09,12.87,23.63
2010-11-10,13.235,24.0175
2010-11-11,13.235,23.875
2010-11-12,12.87,23.35
2010-11-15,13.02,23.5
2010-11-16,12.68,23.11
2010-11-17,12.39,22.72
2010-11-18,12.08,22.88
2010-11-19,12.26,22.88
2010-11-22,12.12,22.49
2010-11-23,11.78,22.1
2010-11-24,12.06,22.35
2010-11-26,11.86,22.15
2010-11-29,12.03,22.41
2010-11-30,11.95,22.26
2010-12-01,12.265,22.76
2010-12-02,13.05,23.65
2010-12-03,13.2725,23.89
2010-12-06,13.02,23.78
2010-12-07,13.08,23.79
2010-12-08,13.93,24.44
2010-12-09,14.24,25.05
2010-12-10,14.57,25.31
2010-12-13,14.49,25.2
2010-12-14,14.27,24.81
2010-12-15,14.16,24.54
2010-12-16,13.92,24.59
2010-12-17,14.07,24.88
2010-12-20,14.16,25.0
2010-12-21,14.3,25.49
2010-12-22,14.71,26.0671
2010-12-23,14.39,25.7
2010-12-27,14.74,25.97
2010-12-28,15.04,26.1
2010-12-29,14.77,26.01
2010-12-30,14.64,25.93
2010-12-31,14.68,25.91
2011-01-03,14.78,26.5
2011-01-04,14.73,26.4225
2011-01-05,14.96,26.81
2011-01-06,14.62,26.48
2011-01-07,14.675,26.23
2011-01-10,14.4325,26.19
2011-01-11,14.55,26.32
2011-01-12,14.76,26.7225
2011-01-13,14.62,26.55
2011-01-14,14.95,27.14
2011-01-18,14.86,26.89
2011-01-19,14.61,26.22
2011-01-20,14.22,26.18
2011-01-21,14.6,26.61
2011-01-24,14.34,26.34
2011-01-25,14.4325,26.3075
2011-01-26,14.57,26.16
2011-01-27,14.79,26.46
2011-01-28,14.64,26.04
2011-01-31,14.87,26.32
2011-02-01,15.52,26.96
2011-02-02,15.455,26.8075
2011-02-03,15.4025,26.8975
2011-02-04,15.39,26.905
2011-02-07,15.36,27.285
2011-02-08,15.39,27.4975
2011-02-09,15.07,27.19
2011-02-10,15.18,27.08
2011-02-11,15.46,27.6175
2011-02-14,15.51,27.62
2011-02-15,15.45,27.52
2011-02-16,15.38,27.62
2011-02-17,15.09,27.38
2011-02-18,14.9925,27.415
2011-02-22,14.495,26.47
2011-02-23,14.45,26.42
2011-02-24,14.3,26.245
2011-02-25,14.6,26.63
2011-02-28,14.6,26.5
2011-03-01,13.95,25.92
2011-03-02,13.87,25.87
2011-03-03,14.09,26.375
2011-03-04,13.9,25.98
2011-03-07,13.6,25.78
2011-03-08,13.7,26.48
2011-03-09,13.87,26.49
2011-03-10,13.69,25.88
2011-03-11,13.89,26.12
2011-03-14,13.9,25.9
2011-03-15,13.57,25.69
2011-03-16,13.4,25.3
2011-03-17,13.81,25.65
2011-03-18,14.03,25.81
2011-03-21,14.0175,25.815
2011-03-22,13.85,25.68
2011-03-23,13.8,25.52
2011-03-24,13.78,25.6
2011-03-25,13.85,25.71
2011-03-28,13.78,25.63
2011-03-29,13.93,25.69
2011-03-30,13.81,25.9
2011-03-31,13.885,25.82
2011-04-01,13.99,26.04
2011-04-04,13.97,26.03
2011-04-05,13.89,26.03
2011-04-06,14.07,26.43
2011-04-07,13.865,26.3
2011-04-08,13.7,26.08
2011-04-11,13.73,26.025
2011-04-12,13.66,25.99
2011-04-13,13.6,25.7
2011-04-14,13.645,25.46
2011-04-15,13.8,25.4
2011-04-18,13.53,25.1
2011-04-19,13.36,25.11
2011-04-20,13.32,24.99
2011-04-21,13.16,25.09
2011-04-25,12.92,25.1
2011-04-26,13.04,25.3
2011-04-27,13.32,25.56
2011-04-28,13.43,25.68
2011-04-29,13.27,25.61
2011-05-02,13.05,25.54
2011-05-03,13.4,25.75
2011-05-04,13.15,25.55
2011-05-05,12.82,25.19
2011-05-06,12.99,25.21
2011-05-09,12.8,25.16
2011-05-10,12.98,25.38
2011-05-11,12.82,25.15
2011-05-12,12.71,25.08
2011-05-13,12.49,24.63
2011-05-16,12.47,24.669
2011-05-17,12.79,25.07
2011-05-18,12.9,25.14
2011-05-19,13.0,25.16
2011-05-20,12.72,24.75
2011-05-23,12.39,24.38
2011-05-24,12.48,24.35
2011-05-25,12.61,24.335
2011-05-26,12.73,24.42
2011-05-27,12.93,24.77
2011-05-31,13.06,24.95
2011-06-01,12.34,23.93
2011-06-02,12.37,23.97
2011-06-03,12.39,23.75
2011-06-06,12.14,23.26
2011-06-07,12.3,23.235
2011-06-08,12.29,23.1
2011-06-09,12.33,23.38
2011-06-10,12.245,23.28
2011-06-13,12.28,23.52
2011-06-14,12.465,23.65
2011-06-15,12.32,23.27
2011-06-16,12.28,23.37
2011-06-17,12.55,23.56
