date,HAL,XES
1/4/2010,31.25,294.79996
1/5/2010,31.65,302.09992
1/6/2010,32.4,307.89994
1/7/2010,32.48,308.09998
1/8/2010,34.12,314.59992
1/11/2010,33.78,309.79996
1/12/2010,33.29,302.59995
1/13/2010,34.05,305.29999
1/14/2010,34.31,307.39991
1/15/2010,34.03,305.49988
1/19/2010,34.6,308.49991
1/20/2010,33.27,303.19993
1/21/2010,32.53,296.49994
1/22/2010,31.15,285.1999
1/25/2010,31.07,290.1999
1/26/2010,30.88,289.79996
1/27/2010,30.41,290.69993
1/28/2010,29.65,285.1999
1/29/2010,29.21,278.49991
2/1/2010,30.65,287.39991
2/2/2010,30.76,290.09995
2/3/2010,30.36,288.29987
2/4/2010,28.86,275
2/5/2010,28.29,272.99988
2/8/2010,28.1,269.29993
2/9/2010,29.08,276.59989
2/10/2010,29.23,276.99997
2/11/2010,30.16,284.59992
2/12/2010,30.02,282.99988
2/16/2010,31.05,290
2/17/2010,31.08,290.29999
2/18/2010,31.54,291.59989
2/19/2010,31.79,294.29993
2/22/2010,31.02,293.09998
2/23/2010,30.2,286.99997
2/24/2010,30.01,288.99994
2/25/2010,30,290.39994
2/26/2010,30.15,290.59998
3/1/2010,30.75,294.59992
3/2/2010,31.21,298.29987
3/3/2010,31.7,303.39997
3/4/2010,31.45,300.1999
3/5/2010,31.88,303.19993
3/8/2010,31.41,304.29993
3/9/2010,30.91,303.9
3/10/2010,30.64,306.59989
3/11/2010,30.74,306.99997
3/12/2010,31.5,308.59986
3/15/2010,31.03,305.59998
3/16/2010,31.71,309.29993
3/17/2010,32.52,310.89997
3/18/2010,31.58,302.6999
3/19/2010,30.5,294.89991
3/22/2010,30.64,295.39994
3/23/2010,30.71,296.2999
3/24/2010,30.21,295.59998
3/25/2010,29.57,287.39991
3/26/2010,29.36,287.79999
3/29/2010,29.87,291.89988
3/30/2010,30,294.39988
3/31/2010,30.13,296.99997
4/1/2010,30.74,304.09989
4/5/2010,31.85,310.99991
4/6/2010,32.2,313.09998
4/7/2010,31.63,308.9
4/8/2010,31.66,308.49991
4/9/2010,31.57,308.99994
4/12/2010,31.5,310
4/13/2010,31.42,308.09998
4/14/2010,32.43,314.59992
4/15/2010,32.52,315.59998
4/16/2010,31.64,308.19993
4/19/2010,31.57,307.79999
4/20/2010,33.31,318.29987
4/21/2010,33.29,320.1999
4/22/2010,33.73,324.59992
4/23/2010,34.96,331.19996
4/26/2010,34.47,329.59992
4/27/2010,32.81,315.99991
4/28/2010,33.35,321.19996
4/29/2010,31.6,324.19999
4/30/2010,30.65,316.99997
5/3/2010,31.39,319.29993
5/4/2010,30.31,307.59995
5/5/2010,29.98,302.39991
5/6/2010,28.75,289.09989
5/7/2010,27.51,278.39997
5/10/2010,27.59,292.39991
5/11/2010,28.34,292.39991
5/12/2010,29.09,299.39988
5/13/2010,29.01,295.39994
5/14/2010,28.09,288.09998
5/17/2010,27.85,283.29987
5/18/2010,27.64,279.29993
5/19/2010,27.12,274.59992
5/20/2010,26.22,259.09989
5/21/2010,26.73,266.69999
5/24/2010,25.65,257.99988
5/25/2010,25.62,262.29996
5/26/2010,25.88,263.99994
5/27/2010,26.99,274.89991
5/28/2010,24.83,264.39988
6/1/2010,21.15,245
6/2/2010,23.68,257.79999
6/3/2010,23.63,260.69993
6/4/2010,23.11,252.99988
6/7/2010,22.8,249.09989
6/8/2010,23.02,252.29996
6/9/2010,22.56,251.2999
6/10/2010,24.22,267.6999
6/11/2010,24.39,268.9
6/14/2010,24.02,267.19986
6/15/2010,25.46,277.19986
6/16/2010,26.25,276.99997
6/17/2010,26.39,275.59998
6/18/2010,26.98,278.29987
6/21/2010,27.05,275.79987
6/22/2010,25.99,265.99991
6/23/2010,25.78,263.7999
6/24/2010,25.21,257.29996
6/25/2010,26.34,261.79993
6/28/2010,25.99,258.19993
6/29/2010,24.48,249.89991
6/30/2010,24.55,250
7/1/2010,24.98,251.59989
7/2/2010,25.74,251.4
