date,HON,XLI
2010-01-04,40.35,28.32
2010-01-05,40.43,28.42
2010-01-06,40.43,28.48
2010-01-07,41.21,28.79
2010-01-08,42.12,29.25
2010-01-11,42.65,29.57
2010-01-12,42.17,29.33
2010-01-13,42.32,29.45
2010-01-14,42.57,29.45
2010-01-15,42.63,29.07
2010-01-19,42.85,29.39
2010-01-20,42.36,28.94
2010-01-21,40.73,28.27
2010-01-22,39.88,27.84
2010-01-25,40.22,28.02
2010-01-26,39.97,27.9
2010-01-27,40.26,27.98
2010-01-28,39.82,27.66
2010-01-29,38.64,27.38
2010-02-01,39.37,27.79
2010-02-02,39.52,28.32
2010-02-03,39.21,28.15
2010-02-04,37.73,27.32
2010-02-05,37.47,27.2
2010-02-08,36.87,26.9
2010-02-09,37.82,27.42
2010-02-10,37.72,27.38
2010-02-11,38.23,27.79
2010-02-12,37.86,27.57
2010-02-16,38.92,28.22
2010-02-17,39.09,28.46
2010-02-18,39.85,28.72
2010-02-19,40.22,28.86
2010-02-22,40.15,28.88
2010-02-23,39.93,28.51
2010-02-24,40.58,28.8
2010-02-25,40.19,28.73
2010-02-26,40.16,28.84
2010-03-01,40.57,29.22
2010-03-02,40.68,29.27
2010-03-03,40.92,29.31
2010-03-04,41.18,29.45
2010-03-05,41.91,29.9
2010-03-08,41.49,29.76
2010-03-09,42.27,30.0
2010-03-10,42.34,30.06
2010-03-11,42.62,30.17
2010-03-12,42.93,30.37
2010-03-15,42.97,30.37
2010-03-16,43.03,30.78
2010-03-17,42.91,30.83
2010-03-18,43.43,31.04
2010-03-19,43.82,30.81
2010-03-22,43.56,30.9
2010-03-23,44.19,31.25
2010-03-24,44.48,31.03
2010-03-25,44.34,31.01
2010-03-26,44.6,31.09
2010-03-29,44.87,31.37
2010-03-30,44.95,31.42
2010-03-31,45.27,31.24
2010-04-01,45.03,31.44
2010-04-05,45.45,31.67
2010-04-06,45.46,31.68
2010-04-07,45.25,31.5
2010-04-08,45.49,31.6025
2010-04-09,45.77,31.78
2010-04-12,45.99,31.85
2010-04-13,45.66,31.9
2010-04-14,46.33,32.31
2010-04-15,46.47,32.62
2010-04-16,45.82,32.09
2010-04-19,45.75,32.03
2010-04-20,46.38,32.4
2010-04-21,46.69,32.62
2010-04-22,47.44,32.92
2010-04-23,47.72,33.12
2010-04-26,48.27,33.19
2010-04-27,46.94,32.39
2010-04-28,47.05,32.62
2010-04-29,48.52,33.36
2010-04-30,47.47,32.57
2010-05-03,48.51,33.22
2010-05-04,46.86,32.17
2010-05-05,45.88,31.76
2010-05-06,44.3,30.71
2010-05-07,43.52,30.03
2010-05-10,46.07,31.75
2010-05-11,45.85,31.66
2010-05-12,46.87,32.36
2010-05-13,46.19,31.86
2010-05-14,45.48,31.19
2010-05-17,45.44,31.11
2010-05-18,44.72,30.72
2010-05-19,43.86,30.33
2010-05-20,41.79,29.01
2010-05-21,42.07,29.42
2010-05-24,41.84,28.98
2010-05-25,41.79,28.96
2010-05-26,42.11,29.02
2010-05-27,43.42,30.0
2010-05-28,42.77,29.6
2010-06-01,41.9,28.94
2010-06-02,42.93,29.69
2010-06-03,43.26,29.8275
2010-06-04,41.07,28.43
2010-06-07,40.0,27.7
2010-06-08,40.43,27.99
2010-06-09,40.01,27.99
2010-06-10,41.26,29.07
2010-06-11,41.32,29.17
2010-06-14,41.53,29.14
2010-06-15,43.04,30.02
2010-06-16,42.75,29.94
2010-06-17,42.65,30.03
2010-06-18,42.92,30.0
2010-06-21,42.93,30.05
2010-06-22,42.2,29.3225
2010-06-23,41.84,29.21
2010-06-24,41.0,28.7
2010-06-25,41.6,28.92
2010-06-28,41.2,28.72
2010-06-29,39.33,27.61
2010-06-30,39.03,27.43
2010-07-01,38.55,27.35
2010-07-02,38.53,27.01
2010-07-06,38.71,27.06
2010-07-07,40.19,28.0
2010-07-08,40.73,28.36
2010-07-09,41.27,28.64
2010-07-12,40.82,28.49
2010-07-13,41.85,28.99
