date,INTC,XLK
2010-01-04,20.88,23.27
2010-01-05,20.87,23.24
2010-01-06,20.8,22.98
2010-01-07,20.6,22.89
2010-01-08,20.83,23.04
2010-01-11,20.95,22.95
2010-01-12,20.608,22.7
2010-01-13,20.96,22.92
2010-01-14,21.48,22.98
2010-01-15,20.8,22.66
2010-01-19,21.05,23.05
2010-01-20,21.08,22.68
2010-01-21,20.84,22.44
2010-01-22,19.91,21.66
2010-01-25,20.32,21.84
2010-01-26,20.0,21.78
2010-01-27,20.24,21.96
2010-01-28,19.92,21.33
2010-01-29,19.4,20.959
2010-02-01,19.61,21.2
2010-02-02,19.91,21.41
2010-02-03,19.68,21.46
2010-02-04,19.02,20.86
2010-02-05,19.47,21.07
2010-02-08,19.35,20.98
2010-02-09,19.65,21.16
2010-02-10,19.69,21.1
2010-02-11,20.06,21.32
2010-02-12,20.43,21.36
2010-02-16,20.72,21.68
2010-02-17,20.66,21.74
2010-02-18,20.84,21.88
2010-02-19,20.82,21.82
2010-02-22,20.87,21.78
2010-02-23,20.388,21.51
2010-02-24,20.7,21.72
2010-02-25,20.63,21.66
2010-02-26,20.53,21.69
2010-03-01,20.87,21.97
2010-03-02,20.6975,21.94
2010-03-03,20.52,21.95
2010-03-04,20.53,22.04
2010-03-05,20.79,22.31
2010-03-08,20.77,22.43
2010-03-09,20.94,22.53
2010-03-10,21.19,22.68
2010-03-11,21.25,22.77
2010-03-12,21.27,22.75
2010-03-15,21.17,22.73
2010-03-16,22.01,22.9
2010-03-17,22.2425,22.97
2010-03-18,22.2,23.0
2010-03-19,21.9925,22.79
2010-03-22,22.24,22.96
2010-03-23,22.6725,23.18
2010-03-24,22.43,23.07
2010-03-25,22.35,23.11
2010-03-26,22.24,23.0
2010-03-29,22.33,23.07
2010-03-30,22.34,23.17
2010-03-31,22.29,23.1
2010-04-01,22.39,23.06
2010-04-05,22.59,23.33
2010-04-06,22.4,23.35
2010-04-07,22.45,23.26
2010-04-08,22.31,23.3
2010-04-09,22.55,23.48
2010-04-12,22.539,23.53
2010-04-13,22.7699,23.6
2010-04-14,23.52,23.94
2010-04-15,24.221,24.05
2010-04-16,23.92,23.73
2010-04-19,24.0,23.78
2010-04-20,24.12,23.91
2010-04-21,23.8,23.96
2010-04-22,23.99,24.02
2010-04-23,24.04,24.08
2010-04-26,23.82,24.05
2010-04-27,23.35,23.58
2010-04-28,23.26,23.65
2010-04-29,23.49,23.89
2010-04-30,22.84,23.389
2010-05-03,23.26,23.71
2010-05-04,22.56,23.03
2010-05-05,22.1725,22.93
2010-05-06,21.51,22.24
