date,IP,XLB
2010-01-04,27.18,34.02
2010-01-05,28.14,34.13
2010-01-06,27.82,34.71
2010-01-07,26.76,34.44
2010-01-08,26.93,34.92
2010-01-11,26.61,34.73
2010-01-12,26.68,34.07
2010-01-13,26.62,34.47
2010-01-14,26.23,34.05
2010-01-15,26.08,33.8
2010-01-19,26.96,34.34
2010-01-20,26.28,33.73
2010-01-21,24.45,32.27
2010-01-22,24.43,31.63
2010-01-25,24.5,31.91
2010-01-26,24.47,31.46
2010-01-27,23.88,31.19
2010-01-28,23.07,30.63
2010-01-29,22.91,30.14
2010-02-01,23.9,31.34
2010-02-02,24.02,31.44
2010-02-03,22.67,31.08
2010-02-04,22.15,29.92
2010-02-05,22.67,30.48
2010-02-08,22.51,29.99
2010-02-09,22.92,30.72
2010-02-10,22.41,30.51
2010-02-11,22.37,31.03
2010-02-12,22.57,30.97
2010-02-16,24.1,31.75
2010-02-17,23.71,31.77
2010-02-18,24.23,32.11
2010-02-19,24.25,32.29
2010-02-22,23.99,32.15
2010-02-23,24.01,31.64
2010-02-24,23.9,31.56
2010-02-25,23.89,31.49
2010-02-26,23.17,31.5
2010-03-01,24.18,31.98
2010-03-02,25.03,32.25
2010-03-03,25.2,32.53
2010-03-04,24.98,32.75
2010-03-05,25.35,33.17
2010-03-08,25.25,33.17
2010-03-09,25.09,32.96
2010-03-10,25.11,32.97
2010-03-11,25.2,33.16
2010-03-12,25.34,33.29
2010-03-15,24.91,33.28
2010-03-16,25.38,33.77
2010-03-17,27.02,33.96
2010-03-18,26.42,33.72
2010-03-19,25.82,33.28
2010-03-22,26.05,33.77
2010-03-23,26.16,34.21
2010-03-24,26.21,34.11
2010-03-25,25.21,33.43
2010-03-26,24.99,33.68
2010-03-29,25.15,34.04
2010-03-30,25.26,34.09
2010-03-31,24.61,33.92
2010-04-01,25.24,34.51
2010-04-05,25.5,34.93
2010-04-06,25.91,34.99
2010-04-07,27.01,34.77
2010-04-08,27.42,34.85
2010-04-09,27.47,34.91
2010-04-12,27.14,34.8
2010-04-13,27.23,34.67
2010-04-14,28.1,34.93
2010-04-15,28.1,34.93
2010-04-16,27.85,34.33
2010-04-19,27.44,34.34
2010-04-20,27.42,34.449
2010-04-21,28.17,34.36
2010-04-22,28.37,34.7
2010-04-23,28.63,35.01
2010-04-26,28.41,35.16
2010-04-27,27.05,33.88
2010-04-28,27.18,34.29
2010-04-29,28.0,34.6
2010-04-30,26.74,33.99
2010-05-03,26.64,33.97
2010-05-04,25.01,32.79
2010-05-05,24.76,32.55
2010-05-06,23.34,31.48
2010-05-07,23.16,31.13
2010-05-10,24.79,32.61
2010-05-11,24.29,32.2
2010-05-12,24.93,32.87
2010-05-13,24.31,32.38
2010-05-14,23.78,31.59
2010-05-17,23.6,31.59
2010-05-18,22.93,31.05
2010-05-19,22.52,31.05
2010-05-20,21.76,29.64
2010-05-21,22.28,30.37
2010-05-24,21.75,29.85
2010-05-25,22.23,30.35
2010-05-26,22.34,30.11
2010-05-27,23.76,31.3
2010-05-28,23.23,30.75
2010-06-01,22.24,29.76
2010-06-02,22.97,30.68
2010-06-03,23.39,30.31
2010-06-04,21.93,29.11
2010-06-07,21.08,28.59
2010-06-08,21.64,29.24
2010-06-09,21.87,29.28
2010-06-10,23.02,30.33
2010-06-11,24.3,30.67
2010-06-14,25.05,30.37
2010-06-15,26.2,31.12
2010-06-16,25.66,31.08
2010-06-17,25.52,30.91
2010-06-18,25.73,30.95
2010-06-21,26.31,31.14
2010-06-22,24.35,30.37
2010-06-23,25.2,30.43
2010-06-24,23.72,29.66
2010-06-25,24.59,30.1
2010-06-28,23.99,29.76
2010-06-29,22.39,28.66
2010-06-30,22.63,28.37
2010-07-01,22.94,28.21
2010-07-02,22.59,28.05
2010-07-06,22.33,28.08
2010-07-07,23.13,29.2
2010-07-08,23.15,29.68
2010-07-09,23.67,30.39
2010-07-12,23.32,29.99
2010-07-13,24.14,30.8
2010-07-14,23.79,30.7
2010-07-15,23.59,30.67
2010-07-16,22.78,29.83
2010-07-19,23.06,29.86
2010-07-20,24.28,30.76
2010-07-21,23.49,30.66
2010-07-22,24.59,31.32
2010-07-23,24.98,32.01
2010-07-26,25.5,32.2
