date,IVZ,KCE
2010-01-04,23.34,37.71
2010-01-05,23.47,37.94
2010-01-06,22.98,37.76
2010-01-07,23.05,37.94
2010-01-08,22.92,37.94
2010-01-11,23.63,37.91
2010-01-12,23.29,37.41
2010-01-13,23.38,37.74
2010-01-14,23.0,37.63
2010-01-15,22.71,37.12
2010-01-19,23.03,37.57
2010-01-20,22.41,37.51
2010-01-21,21.45,36.7964
2010-01-22,20.83,35.59
2010-01-25,21.17,35.86
2010-01-26,20.33,35.0634
2010-01-27,21.69,35.68
2010-01-28,20.21,35.18
2010-01-29,19.3,34.66
2010-02-01,20.05,35.13
2010-02-02,20.24,35.4
2010-02-03,19.57,35.22
2010-02-04,18.59,33.64
2010-02-05,18.58,34.15
2010-02-08,18.32,33.65
2010-02-09,18.61,33.97
2010-02-10,18.75,34.32
2010-02-11,18.51,34.46
2010-02-12,18.44,34.66
2010-02-16,19.14,35.14
2010-02-17,19.16,34.99
2010-02-18,19.49,35.01
2010-02-19,19.54,35.34
2010-02-22,19.62,35.36
2010-02-23,19.05,34.82
2010-02-24,19.55,35.14
2010-02-25,19.75,35.0
2010-02-26,19.6,35.31
2010-03-01,20.08,35.54
2010-03-02,20.33,35.84
2010-03-03,20.5,35.87
2010-03-04,20.91,36.35
2010-03-05,21.36,37.05
2010-03-08,21.08,37.32
2010-03-09,19.99,37.23
2010-03-10,19.97,37.33
2010-03-11,19.91,37.54
2010-03-12,20.37,37.44
2010-03-15,20.31,37.35
2010-03-16,20.69,37.62
2010-03-17,21.41,38.07
2010-03-18,21.17,37.95
2010-03-19,20.45,37.59
2010-03-22,20.66,37.58
2010-03-23,20.78,37.71
2010-03-24,20.57,37.51
2010-03-25,20.6,37.59
2010-03-26,21.07,37.36
2010-03-29,21.47,37.49
2010-03-30,21.71,37.41
2010-03-31,21.91,37.21
2010-04-01,22.09,37.58
2010-04-05,22.15,37.97
2010-04-06,22.66,38.3
2010-04-07,22.23,38.26
2010-04-08,22.07,38.38
2010-04-09,22.5,38.57
2010-04-12,22.11,38.85
2010-04-13,22.2,38.96
2010-04-14,22.66,39.75
2010-04-15,22.68,39.79
2010-04-16,21.8,38.49
2010-04-19,22.07,38.75
2010-04-20,22.53,38.78
2010-04-21,22.04,38.81
2010-04-22,22.03,39.06
2010-04-23,22.18,39.3
2010-04-26,21.58,38.81
2010-04-27,20.73,37.91
2010-04-28,21.61,38.06
2010-04-29,23.66,39.05
2010-04-30,22.99,38.38
2010-05-03,23.4,38.87
2010-05-04,22.51,37.7
2010-05-05,21.54,37.58
2010-05-06,20.87,36.25
2010-05-07,20.11,35.41
2010-05-10,21.52,36.99
2010-05-11,21.19,36.877
2010-05-12,21.84,37.19
2010-05-13,21.82,36.93
2010-05-14,20.82,36.08
2010-05-17,20.5,36.16
2010-05-18,19.85,35.21
2010-05-19,19.95,35.2
2010-05-20,18.58,33.71
2010-05-21,19.17,34.73
2010-05-24,18.48,33.86
2010-05-25,18.6,34.02
2010-05-26,18.41,33.81
2010-05-27,19.02,35.04
2010-05-28,18.56,34.47
2010-06-01,18.14,33.68
2010-06-02,18.85,34.67
2010-06-03,18.72,34.73
2010-06-04,17.84,33.61
2010-06-07,17.13,32.98
2010-06-08,17.85,33.1
2010-06-09,17.65,32.69
2010-06-10,18.47,33.69
2010-06-11,18.9,34.12
2010-06-14,18.92,33.79
2010-06-15,19.55,34.4
2010-06-16,19.47,34.36
2010-06-17,19.14,33.99
2010-06-18,19.21,33.92
2010-06-21,19.3,33.76
2010-06-22,18.85,33.39
2010-06-23,18.72,33.16
2010-06-24,17.9,32.45
2010-06-25,18.48,33.03
2010-06-28,18.43,32.95
2010-06-29,17.28,31.49
2010-06-30,16.83,31.07
2010-07-01,16.96,30.81
2010-07-02,16.63,30.59
2010-07-06,16.92,30.57
2010-07-07,17.61,31.72
2010-07-08,17.88,31.95
2010-07-09,18.56,32.4
2010-07-12,18.25,32.25
2010-07-13,19.43,33.06
2010-07-14,19.26,32.68
2010-07-15,19.2,32.77
2010-07-16,18.14,31.94
2010-07-19,18.25,32.1
2010-07-20,18.7,32.51
2010-07-21,18.3,32.16
2010-07-22,19.26,32.97
2010-07-23,19.45,33.24
2010-07-26,19.83,33.74
2010-07-27,19.46,33.6
2010-07-28,19.34,33.37
2010-07-29,19.64,33.61
2010-07-30,19.54,33.33
2010-08-02,20.12,34.18
2010-08-03,19.68,33.99
2010-08-04,19.71,34.55
2010-08-05,19.61,34.49
2010-08-06,19.32,34.2
2010-08-09,19.82,34.45
2010-08-10,19.82,33.9
2010-08-11,18.65,32.65
2010-08-12,18.46,32.49
2010-08-13,18.51,32.17
2010-08-16,18.55,32.08
2010-08-17,18.88,32.7
2010-08-18,19.01,32.68
2010-08-19,18.35,31.92
2010-08-20,18.5,32.1
2010-08-23,18.21,31.91
2010-08-24,17.58,31.2
2010-08-25,17.62,31.27
2010-08-26,17.92,30.85
2010-08-27,18.36,31.36
2010-08-30,18.17,30.5
2010-08-31,18.14,30.45
2010-09-01,19.0,31.56
2010-09-02,19.28,31.82
2010-09-03,19.75,32.74
2010-09-07,19.51,32.0534
2010-09-08,19.86,32.4
2010-09-09,20.09,32.81
2010-09-10,20.09,32.96
2010-09-13,20.63,33.75
