date,JCI,XHB
2010-01-04,27.8,15.32
2010-01-05,28.58,15.43
2010-01-06,28.84,15.51
2010-01-07,28.85,16.15
2010-01-08,28.63,16.22
2010-01-11,28.98,16.17
2010-01-12,29.97,15.95
2010-01-13,29.84,15.98
2010-01-14,29.84,15.94
2010-01-15,29.31,15.63
2010-01-19,29.61,15.86
2010-01-20,29.13,15.55
2010-01-21,28.85,15.23
2010-01-22,29.48,14.95
2010-01-25,30.42,15.11
2010-01-26,29.7,15.1
2010-01-27,28.99,15.15
2010-01-28,28.24,15.15
2010-01-29,27.83,15.11
2010-02-01,28.73,15.16
2010-02-02,29.02,15.89
2010-02-03,29.65,15.68
2010-02-04,28.47,15.19
2010-02-05,28.06,15.02
2010-02-08,27.72,15.17
2010-02-09,28.13,15.45
2010-02-10,27.89,15.39
2010-02-11,28.17,15.76
2010-02-12,28.54,15.88
2010-02-16,29.08,16.17
2010-02-17,29.08,16.0
2010-02-18,29.65,16.04
2010-02-19,29.89,16.08
2010-02-22,30.6,16.15
2010-02-23,30.57,15.74
2010-02-24,30.8,15.72
2010-02-25,30.98,15.72
2010-02-26,31.1,15.91
2010-03-01,31.88,16.25
2010-03-02,31.62,16.15
2010-03-03,31.86,16.32
2010-03-04,32.07,16.26
2010-03-05,32.38,16.57
2010-03-08,32.0,16.81
2010-03-09,31.8,16.73
2010-03-10,31.19,16.76
2010-03-11,31.55,16.87
2010-03-12,31.62,16.82
2010-03-15,31.52,16.81
2010-03-16,31.71,16.96
2010-03-17,32.2,16.93
2010-03-18,32.01,16.86
2010-03-19,31.82,16.54
2010-03-22,32.39,16.8
2010-03-23,33.37,16.94
2010-03-24,33.11,16.9
2010-03-25,33.13,16.88
2010-03-26,32.89,16.96
2010-03-29,32.75,17.01
2010-03-30,32.88,17.03
2010-03-31,32.99,16.82
2010-04-01,33.38,16.98
2010-04-05,33.1,17.3
2010-04-06,32.9,17.17
2010-04-07,31.77,16.92
2010-04-08,32.08,17.27
2010-04-09,32.11,17.44
2010-04-12,32.35,17.66
2010-04-13,32.09,17.76
2010-04-14,33.11,18.31
2010-04-15,33.48,18.12
2010-04-16,32.69,17.86
2010-04-19,32.71,17.88
2010-04-20,34.25,18.17
2010-04-21,34.4,18.61
2010-04-22,35.01,19.31
2010-04-23,34.5,19.64
2010-04-26,34.67,19.5
2010-04-27,33.31,18.68
2010-04-28,33.12,18.92
2010-04-29,34.52,19.47
2010-04-30,33.59,19.1
2010-05-03,33.9,19.51
2010-05-04,32.16,18.86
2010-05-05,31.2,18.36
2010-05-06,30.22,17.66
2010-05-07,29.68,17.1
2010-05-10,31.88,18.39
2010-05-11,31.58,18.38
2010-05-12,32.13,18.89
2010-05-13,31.54,18.34
2010-05-14,30.62,17.96
2010-05-17,30.44,17.94
2010-05-18,29.53,17.63
2010-05-19,28.71,17.36
2010-05-20,27.68,16.62
2010-05-21,28.19,16.74
2010-05-24,27.68,16.58
2010-05-25,27.54,16.71
2010-05-26,27.98,16.78
2010-05-27,29.29,17.42
2010-05-28,28.53,17.22
2010-06-01,27.96,16.58
2010-06-02,28.91,16.86
2010-06-03,29.16,16.9
2010-06-04,27.53,16.03
2010-06-07,26.6,15.43
2010-06-08,26.13,15.38
2010-06-09,25.9,15.42
2010-06-10,27.01,16.13
2010-06-11,27.56,16.12
2010-06-14,27.98,16.23
2010-06-15,29.53,16.59
2010-06-16,29.01,16.41
2010-06-17,28.9,16.02
2010-06-18,28.87,15.82
2010-06-21,28.89,15.61
2010-06-22,28.15,15.23
2010-06-23,28.33,15.41
2010-06-24,27.71,15.11
2010-06-25,27.76,15.15
2010-06-28,27.75,15.12
2010-06-29,26.85,14.49
2010-06-30,26.87,14.32
2010-07-01,26.95,14.19
2010-07-02,26.88,14.02
2010-07-06,26.86,13.88
2010-07-07,27.91,14.51
2010-07-08,28.49,14.54
2010-07-09,28.62,14.88
2010-07-12,28.33,14.66
2010-07-13,29.62,15.23
2010-07-14,29.66,14.91
2010-07-15,29.7,14.95
2010-07-16,28.51,14.24
2010-07-19,28.63,14.2
2010-07-20,29.07,14.73
2010-07-21,28.51,14.51
2010-07-22,30.48,15.04
2010-07-23,29.11,15.42
2010-07-26,28.87,15.82
2010-07-27,28.12,15.27
2010-07-28,29.0,14.84
2010-07-29,28.62,14.94
2010-07-30,28.81,15.07
2010-08-02,29.26,15.46
2010-08-03,29.05,15.06
2010-08-04,29.21,15.02
2010-08-05,29.6,14.89
2010-08-06,29.55,14.99
2010-08-09,30.22,15.41
2010-08-10,29.45,14.96
2010-08-11,28.51,14.43
2010-08-12,27.91,14.188
2010-08-13,27.37,14.15
2010-08-16,28.01,14.11
2010-08-17,28.75,14.49
2010-08-18,29.14,14.81
2010-08-19,28.39,14.39
2010-08-20,28.03,14.35
2010-08-23,27.92,14.05
2010-08-24,26.87,13.96
2010-08-25,26.88,14.37
2010-08-26,26.72,14.14
2010-08-27,27.24,14.55
2010-08-30,26.78,14.19
2010-08-31,26.53,14.1525
2010-09-01,27.81,14.7225
2010-09-02,28.3,15.16
2010-09-03,29.17,15.36
2010-09-07,28.29,14.94
2010-09-08,27.92,15.01
2010-09-09,28.38,15.07
2010-09-10,28.43,15.18
2010-09-13,29.15,15.51
2010-09-14,28.85,15.39
2010-09-15,28.71,15.3
2010-09-16,29.05,15.13
2010-09-17,28.92,15.07
2010-09-20,29.42,15.57
2010-09-21,29.59,15.64
2010-09-22,29.33,15.4
2010-09-23,28.89,15.17
2010-09-24,29.88,15.71
2010-09-27,29.97,15.73
2010-09-28,30.63,15.91
2010-09-29,30.62,15.82
2010-09-30,30.5,15.8
2010-10-01,30.54,15.8
2010-10-04,30.32,15.59
2010-10-05,31.76,15.82
2010-10-06,31.29,15.82
2010-10-07,31.4,15.71
2010-10-08,31.8,15.91
2010-10-11,31.64,15.82
2010-10-12,31.54,15.84
2010-10-13,32.29,15.92
2010-10-14,32.6,15.75
2010-10-15,32.74,15.61
2010-10-18,32.76,15.54
2010-10-19,32.51,15.41
2010-10-20,33.55,15.5
2010-10-21,33.93,15.7
2010-10-22,34.18,15.66
2010-10-25,34.74,15.75
2010-10-26,34.49,15.67
2010-10-27,35.0,15.56
2010-10-28,34.95,15.45
2010-10-29,35.12,15.5
2010-11-01,35.02,15.52
2010-11-02,35.17,15.93
2010-11-03,35.94,15.87
2010-11-04,36.5,16.53
2010-11-05,36.8,16.66
2010-11-08,37.34,16.63
2010-11-09,36.85,16.26
2010-11-10,36.99,16.49
2010-11-11,37.11,16.55
2010-11-12,36.45,16.17
2010-11-15,36.48,15.89
2010-11-16,35.5,15.61
2010-11-17,35.88,15.6
2010-11-18,36.92,15.55
2010-11-19,36.67,15.56
2010-11-22,37.39,15.6
2010-11-23,36.9,15.4
2010-11-24,37.3,15.78
2010-11-26,37.09,15.59
2010-11-29,36.71,15.58
2010-11-30,36.44,15.64
2010-12-01,37.85,16.2
2010-12-02,38.95,16.65
2010-12-03,39.19,16.8
2010-12-06,39.5,16.89
2010-12-07,39.0,16.93
2010-12-08,38.33,16.96
2010-12-09,37.93,17.02
2010-12-10,37.96,17.15
2010-12-13,37.8,17.23
2010-12-14,38.29,17.13
2010-12-15,38.08,17.02
2010-12-16,38.85,17.25
2010-12-17,38.65,17.11
2010-12-20,39.07,17.36
2010-12-21,39.06,17.56
2010-12-22,38.64,17.6525
2010-12-23,38.34,17.46
2010-12-27,38.16,17.61
2010-12-28,37.99,17.43
2010-12-29,38.36,17.42
2010-12-30,38.24,17.43
2010-12-31,38.2,17.39
2011-01-03,39.56,17.65
2011-01-04,39.68,17.3275
2011-01-05,40.6,17.57
2011-01-06,40.34,17.69
2011-01-07,40.36,17.7675
2011-01-10,40.9,17.71
2011-01-11,40.39,17.94
2011-01-12,40.74,18.1325
2011-01-13,40.21,18.02
2011-01-14,40.45,18.3675
2011-01-18,40.64,18.32
2011-01-19,40.13,17.88
2011-01-20,38.8,17.86
2011-01-21,38.52,17.66
2011-01-24,38.97,17.93
2011-01-25,38.61,17.9625
2011-01-26,38.84,18.3125
2011-01-27,39.39,18.33
2011-01-28,37.69,17.81
2011-01-31,38.39,17.69
2011-02-01,38.44,18.0
2011-02-02,37.37,17.76
2011-02-03,37.49,17.6825
2011-02-04,38.19,17.7375
2011-02-07,39.1,18.0175
2011-02-08,39.95,18.355
2011-02-09,40.18,18.48
2011-02-10,40.64,18.42
2011-02-11,41.41,18.47
2011-02-14,41.4,18.35
2011-02-15,41.58,18.12
2011-02-16,42.12,18.46
2011-02-17,42.07,18.73
2011-02-18,42.4,18.6825
2011-02-22,41.64,17.9
2011-02-23,39.94,17.6
2011-02-24,40.08,17.57
2011-02-25,40.68,17.9
2011-02-28,40.8,17.85
2011-03-01,39.9,17.33
2011-03-02,40.24,17.5375
2011-03-03,40.59,17.9025
2011-03-04,41.31,17.74
2011-03-07,41.02,17.51
2011-03-08,41.29,18.1275
2011-03-09,41.88,18.25
2011-03-10,41.35,17.75
2011-03-11,40.76,17.87
2011-03-14,40.61,17.6
2011-03-15,39.88,17.94
2011-03-16,38.91,17.535
2011-03-17,39.79,17.6
2011-03-18,39.5,17.78
2011-03-21,40.46,18.0525
2011-03-22,39.94,17.89
2011-03-23,40.1,17.99
2011-03-24,41.26,18.13
2011-03-25,41.4,18.25
2011-03-28,41.2,18.14
2011-03-29,41.93,18.16
2011-03-30,41.6,18.23
2011-03-31,41.57,18.21
2011-04-01,42.08,18.35
2011-04-04,41.76,18.22
2011-04-05,41.38,18.27
2011-04-06,41.36,18.39
2011-04-07,40.77,18.61
2011-04-08,40.3,18.49
2011-04-11,39.95,18.44
2011-04-12,39.31,18.33
2011-04-13,39.46,18.32
2011-04-14,38.98,18.34
2011-04-15,39.16,18.53
2011-04-18,38.1,18.42
2011-04-19,38.32,18.61
2011-04-20,40.13,18.82
2011-04-21,40.73,18.82
2011-04-25,39.6,18.79
2011-04-26,40.72,18.91
2011-04-27,41.16,19.0
2011-04-28,41.26,19.05
2011-04-29,41.0,19.05
2011-05-02,40.69,18.88
2011-05-03,40.5,18.69
2011-05-04,39.7,18.58
2011-05-05,39.47,18.7
2011-05-06,39.62,18.72
2011-05-09,39.74,18.72
2011-05-10,39.64,18.93
2011-05-11,39.03,18.63
2011-05-12,39.38,18.75
2011-05-13,38.62,18.56
2011-05-16,38.23,18.36
2011-05-17,38.23,18.24
2011-05-18,38.75,18.51
2011-05-19,38.83,18.53
2011-05-20,38.35,18.43
2011-05-23,37.92,18.2
2011-05-24,37.35,18.12
2011-05-25,37.85,18.32
2011-05-26,37.99,18.53
2011-05-27,39.06,18.7
2011-05-31,39.6,18.9
2011-06-01,37.94,18.41
2011-06-02,37.79,18.22
2011-06-03,37.65,17.9
2011-06-06,37.43,17.55
2011-06-07,36.88,17.47
2011-06-08,36.08,17.2
2011-06-09,36.57,17.4
2011-06-10,35.81,17.07
2011-06-13,36.07,17.17
2011-06-14,37.11,17.59
2011-06-15,36.26,17.195
2011-06-16,36.28,17.29
2011-06-17,37.11,17.43
2011-06-20,37.39,17.68
2011-06-21,38.54,18.01
2011-06-22,38.88,17.89
2011-06-23,39.17,18.1
2011-06-24,39.17,17.89
2011-06-27,39.52,17.92
2011-06-28,40.16,18.14
2011-06-29,41.36,18.01
2011-06-30,41.66,18.06
2011-07-01,42.4,18.45
2011-07-05,42.25,18.39
2011-07-06,41.99,18.35
2011-07-07,42.71,18.51
2011-07-08,42.47,18.3
2011-07-11,41.26,17.83
