date,JPM,XLF
2010-01-04,42.85,14.69
2010-01-05,43.68,14.96
2010-01-06,43.92,14.99
2010-01-07,44.79,15.31
2010-01-08,44.68,15.22
2010-01-11,44.53,15.23
2010-01-12,43.49,15.01
2010-01-13,44.25,15.18
2010-01-14,44.69,15.25
2010-01-15,43.68,14.94
2010-01-19,43.28,15.13
2010-01-20,43.4,15.09
2010-01-21,40.54,14.66
2010-01-22,39.16,14.182
2010-01-25,39.21,14.26
2010-01-26,38.44,14.01
2010-01-27,39.33,14.35
2010-01-28,39.48,14.28
2010-01-29,38.94,14.18
2010-02-01,39.63,14.42
2010-02-02,40.55,14.558
2010-02-03,40.29,14.4
2010-02-04,38.35,13.78
2010-02-05,38.3,13.94
2010-02-08,37.7,13.66
2010-02-09,38.39,13.8
2010-02-10,38.87,13.91
2010-02-11,39.02,13.94
2010-02-12,38.95,13.95
2010-02-16,40.07,14.24
2010-02-17,40.04,14.29
2010-02-18,40.41,14.38
2010-02-19,40.03,14.46
2010-02-22,40.85,14.65
2010-02-23,39.88,14.38
2010-02-24,40.85,14.63
2010-02-25,40.64,14.59
2010-02-26,41.97,14.68
2010-03-01,41.83,14.72
2010-03-02,41.62,14.77
2010-03-03,41.53,14.78
2010-03-04,41.92,14.93
2010-03-05,42.81,15.22
2010-03-08,42.59,15.25
2010-03-09,42.42,15.3
2010-03-10,42.93,15.47
2010-03-11,43.18,15.6
2010-03-12,43.15,15.54
2010-03-15,43.07,15.54
2010-03-16,43.24,15.729
2010-03-17,43.79,15.92
2010-03-18,43.64,15.83
2010-03-19,43.45,15.69
2010-03-22,43.74,15.77
2010-03-23,44.58,15.9
2010-03-24,44.94,15.91
2010-03-25,44.94,15.98
2010-03-26,45.02,16.0
2010-03-29,44.86,16.02
2010-03-30,44.58,15.92
2010-03-31,44.75,15.95
2010-04-01,45.18,16.08
2010-04-05,45.34,16.24
2010-04-06,45.84,16.41
2010-04-07,45.32,16.35
2010-04-08,45.76,16.48
2010-04-09,45.98,16.541
2010-04-12,46.14,16.61
2010-04-13,45.87,16.62
2010-04-14,47.73,17.05
2010-04-15,47.81,16.98
2010-04-16,45.55,16.36
2010-04-19,45.39,16.52
2010-04-20,45.88,16.74
2010-04-21,45.35,16.64
2010-04-22,44.74,16.73
2010-04-23,44.94,16.78
2010-04-26,43.89,16.5175
2010-04-27,42.41,15.959
2010-04-28,43.46,16.19
2010-04-29,44.0,16.56
2010-04-30,42.58,16.159
2010-05-03,43.53,16.47
2010-05-04,42.47,16.02
2010-05-05,42.63,15.9325
2010-05-06,40.81,15.26
2010-05-07,40.76,15.09
2010-05-10,41.95,15.931
2010-05-11,41.55,15.87
2010-05-12,41.69,16.05
2010-05-13,40.81,15.76
2010-05-14,39.89,15.35
2010-05-17,39.84,15.36
2010-05-18,39.02,14.92
2010-05-19,39.38,14.94
2010-05-20,37.83,14.245
2010-05-21,40.05,14.75
2010-05-24,38.62,14.33
2010-05-25,38.94,14.46
2010-05-26,38.78,14.36
2010-05-27,40.42,15.01
2010-05-28,39.58,14.68
2010-06-01,38.54,14.37
2010-06-02,39.55,14.82
2010-06-03,39.1,14.739
2010-06-04,37.62,14.15
2010-06-07,36.72,13.87
2010-06-08,37.78,14.16
2010-06-09,37.12,14.01
2010-06-10,38.29,14.47
2010-06-11,38.09,14.51
2010-06-14,37.33,14.45
2010-06-15,38.25,14.7925
2010-06-16,38.52,14.8
2010-06-17,38.44,14.78
2010-06-18,39.18,14.83
2010-06-21,38.87,14.81
2010-06-22,38.33,14.575
2010-06-23,38.89,14.51
2010-06-24,38.03,14.25
2010-06-25,39.44,14.635
2010-06-28,38.54,14.5
2010-06-29,37.06,13.98
2010-06-30,36.61,13.81
2010-07-01,36.08,13.68
2010-07-02,35.83,13.52
2010-07-06,36.33,13.6
2010-07-07,38.15,14.2
2010-07-08,38.16,14.31
2010-07-09,38.85,14.51
2010-07-12,39.19,14.53
2010-07-13,40.48,14.89
2010-07-14,40.35,14.78
2010-07-15,40.46,14.75
2010-07-16,39.0,14.129
2010-07-19,39.04,14.12
2010-07-20,39.63,14.27
2010-07-21,38.42,14.039
2010-07-22,39.35,14.45
2010-07-23,39.83,14.56
2010-07-26,40.33,14.76
2010-07-27,40.69,14.8
2010-07-28,40.32,14.67
2010-07-29,40.21,14.72
2010-07-30,40.28,14.71
2010-08-02,41.64,15.08
2010-08-03,41.08,14.91
2010-08-04,41.29,14.97
2010-08-05,41.27,14.91
2010-08-06,40.44,14.78
2010-08-09,39.82,14.86
2010-08-10,39.17,14.73
2010-08-11,37.77,14.21
2010-08-12,37.81,14.11
2010-08-13,37.5,14.07
2010-08-16,37.69,14.03
2010-08-17,37.48,14.14
2010-08-18,37.89,14.2
2010-08-19,37.07,13.87
2010-08-20,37.14,13.83
2010-08-23,36.88,13.74
2010-08-24,36.21,13.51
2010-08-25,36.23,13.55
2010-08-26,35.63,13.44
2010-08-27,36.6,13.73
2010-08-30,35.85,13.44
2010-08-31,36.36,13.5545
2010-09-01,37.74,14.0815
2010-09-02,38.16,14.22
2010-09-03,39.17,14.519
2010-09-07,38.28,14.185
2010-09-08,39.12,14.33
2010-09-09,40.1,14.51
2010-09-10,39.76,14.53
2010-09-13,41.12,14.84
2010-09-14,40.72,14.71
2010-09-15,40.98,14.76
2010-09-16,40.99,14.715
2010-09-17,40.06,14.6105
2010-09-20,41.19,14.885
2010-09-21,40.59,14.75
2010-09-22,39.94,14.5095
2010-09-23,39.1,14.23
2010-09-24,39.7525,14.605
2010-09-27,39.08,14.445
2010-09-28,38.95,14.48
2010-09-29,38.41,14.37
2010-09-30,38.06,14.3445
2010-10-01,38.81,14.5
2010-10-04,38.95,14.4
2010-10-05,39.64,14.73
2010-10-06,39.9,14.72
2010-10-07,39.52,14.66
2010-10-08,39.31,14.7
2010-10-11,39.73,14.68
2010-10-12,40.4,14.845
2010-10-13,39.84,14.859
2010-10-14,38.72,14.595
2010-10-15,37.15,14.345
2010-10-18,38.2,14.67
2010-10-19,37.69,14.4655
2010-10-20,38.1,14.61
2010-10-21,37.7,14.6055
2010-10-22,37.7,14.6015
2010-10-25,37.07,14.55
2010-10-26,37.2,14.57
2010-10-27,37.54,14.58
2010-10-28,37.51,14.575
2010-10-29,37.63,14.559
2010-11-01,37.42,14.56
2010-11-02,36.96,14.595
2010-11-03,37.72,14.74
2010-11-04,39.8,15.231
2010-11-05,40.94,15.58
2010-11-08,40.51,15.4595
2010-11-09,39.9,15.17
2010-11-10,40.62,15.34
2010-11-11,40.02,15.19
2010-11-12,39.61,14.94
2010-11-15,40.08,15.005
2010-11-16,39.61,14.755
2010-11-17,39.18,14.6555
2010-11-18,39.66,14.86
2010-11-19,39.41,14.8545
2010-11-22,38.51,14.64
2010-11-23,37.63,14.41
2010-11-24,38.16,14.63
2010-11-26,37.59,14.42
2010-11-29,37.91,14.54
2010-11-30,37.4,14.46
2010-12-01,38.15,14.7525
2010-12-02,39.31,15.13
2010-12-03,39.61,15.1805
2010-12-06,39.905,15.155
