date,LAZ,KCE
2010-01-04,40.06,37.71
2010-01-05,41.02,37.94
2010-01-06,40.74,37.76
2010-01-07,40.66,37.94
2010-01-08,40.8,37.94
2010-01-11,40.44,37.91
2010-01-12,38.96,37.41
2010-01-13,39.6,37.74
2010-01-14,39.92,37.63
2010-01-15,39.83,37.12
2010-01-19,41.0,37.57
2010-01-20,40.22,37.51
2010-01-21,40.99,36.7964
2010-01-22,39.4,35.59
2010-01-25,39.02,35.86
2010-01-26,37.5,35.0634
2010-01-27,39.18,35.68
2010-01-28,39.45,35.18
2010-01-29,38.54,34.66
2010-02-01,38.69,35.13
2010-02-02,41.0,35.4
2010-02-03,39.89,35.22
2010-02-04,37.18,33.64
2010-02-05,37.24,34.15
2010-02-08,36.82,33.65
2010-02-09,36.35,33.97
2010-02-10,36.1,34.32
2010-02-11,36.28,34.46
2010-02-12,35.92,34.66
2010-02-16,36.57,35.14
2010-02-17,36.2,34.99
2010-02-18,36.2,35.01
2010-02-19,36.09,35.34
2010-02-22,35.83,35.36
2010-02-23,34.77,34.82
2010-02-24,34.24,35.14
2010-02-25,35.08,35.0
2010-02-26,35.93,35.31
2010-03-01,36.09,35.54
2010-03-02,37.56,35.84
2010-03-03,38.22,35.87
2010-03-04,38.27,36.35
2010-03-05,38.46,37.05
2010-03-08,38.81,37.32
2010-03-09,38.7,37.23
2010-03-10,36.95,37.33
2010-03-11,37.95,37.54
2010-03-12,37.22,37.44
2010-03-15,37.14,37.35
2010-03-16,37.59,37.62
2010-03-17,37.15,38.07
2010-03-18,37.08,37.95
2010-03-19,36.92,37.59
2010-03-22,36.62,37.58
2010-03-23,36.19,37.71
2010-03-24,36.47,37.51
2010-03-25,36.26,37.59
2010-03-26,35.67,37.36
2010-03-29,36.38,37.49
2010-03-30,35.82,37.41
2010-03-31,35.7,37.21
2010-04-01,36.15,37.58
2010-04-05,36.53,37.97
2010-04-06,36.75,38.3
2010-04-07,36.4,38.26
2010-04-08,36.9,38.38
2010-04-09,38.13,38.57
2010-04-12,38.78,38.85
2010-04-13,38.35,38.96
2010-04-14,38.76,39.75
2010-04-15,39.13,39.79
2010-04-16,38.35,38.49
2010-04-19,38.25,38.75
2010-04-20,38.75,38.78
