date,MAS,XHB
2010-01-04,14.29,15.32
2010-01-05,14.42,15.43
2010-01-06,14.57,15.51
2010-01-07,15.48,16.15
2010-01-08,15.58,16.22
2010-01-11,15.54,16.17
2010-01-12,15.3,15.95
2010-01-13,15.1,15.98
2010-01-14,15.03,15.94
2010-01-15,15.0,15.63
2010-01-19,15.42,15.86
2010-01-20,14.95,15.55
2010-01-21,14.49,15.23
2010-01-22,13.91,14.95
2010-01-25,13.78,15.11
2010-01-26,13.78,15.1
2010-01-27,13.58,15.15
2010-01-28,13.6,15.15
2010-01-29,13.56,15.11
2010-02-01,13.99,15.16
2010-02-02,14.78,15.89
2010-02-03,14.85,15.68
2010-02-04,14.5,15.19
2010-02-05,14.14,15.02
2010-02-08,14.05,15.17
2010-02-09,14.45,15.45
2010-02-10,14.5,15.39
2010-02-11,13.77,15.76
2010-02-12,13.81,15.88
2010-02-16,14.0,16.17
2010-02-17,13.95,16.0
2010-02-18,13.83,16.04
2010-02-19,13.6,16.08
2010-02-22,13.62,16.15
2010-02-23,13.25,15.74
2010-02-24,13.31,15.72
2010-02-25,13.16,15.72
2010-02-26,13.37,15.91
2010-03-01,13.97,16.25
2010-03-02,14.02,16.15
2010-03-03,14.17,16.32
2010-03-04,14.14,16.26
2010-03-05,14.39,16.57
2010-03-08,14.66,16.81
2010-03-09,14.68,16.73
2010-03-10,14.86,16.76
2010-03-11,15.12,16.87
2010-03-12,15.17,16.82
2010-03-15,15.15,16.81
2010-03-16,15.31,16.96
2010-03-17,15.53,16.93
2010-03-18,15.51,16.86
2010-03-19,15.0,16.54
2010-03-22,15.23,16.8
2010-03-23,15.48,16.94
2010-03-24,15.17,16.9
2010-03-25,15.13,16.88
2010-03-26,15.19,16.96
2010-03-29,15.32,17.01
2010-03-30,15.4,17.03
2010-03-31,15.52,16.82
2010-04-01,15.81,16.98
2010-04-05,16.15,17.3
2010-04-06,16.28,17.17
2010-04-07,15.85,16.92
2010-04-08,15.89,17.27
2010-04-09,16.1,17.44
2010-04-12,16.11,17.66
2010-04-13,16.14,17.76
2010-04-14,16.88,18.31
2010-04-15,17.0,18.12
2010-04-16,16.96,17.86
2010-04-19,17.24,17.88
2010-04-20,17.49,18.17
2010-04-21,17.58,18.61
2010-04-22,18.1,19.31
2010-04-23,18.35,19.64
2010-04-26,18.0,19.5
2010-04-27,15.62,18.68
2010-04-28,16.45,18.92
2010-04-29,16.84,19.47
2010-04-30,16.23,19.1
2010-05-03,16.63,19.51
2010-05-04,15.75,18.86
2010-05-05,15.47,18.36
2010-05-06,14.64,17.66
2010-05-07,13.66,17.1
2010-05-10,15.13,18.39
2010-05-11,15.12,18.38
2010-05-12,15.6,18.89
2010-05-13,15.18,18.34
2010-05-14,14.74,17.96
2010-05-17,14.76,17.94
2010-05-18,14.41,17.63
2010-05-19,14.07,17.36
2010-05-20,13.33,16.62
2010-05-21,13.74,16.74
2010-05-24,13.66,16.58
