date,MSFT,XLK
2010-01-04,30.95,23.27
2010-01-05,30.96,23.24
2010-01-06,30.77,22.98
2010-01-07,30.452,22.89
2010-01-08,30.66,23.04
2010-01-11,30.27,22.95
2010-01-12,30.07,22.7
2010-01-13,30.35,22.92
2010-01-14,30.96,22.98
2010-01-15,30.86,22.66
2010-01-19,31.1,23.05
2010-01-20,30.585,22.68
2010-01-21,30.01,22.44
2010-01-22,28.96,21.66
2010-01-25,29.32,21.84
2010-01-26,29.5,21.78
2010-01-27,29.67,21.96
2010-01-28,29.16,21.33
2010-01-29,28.18,20.959
2010-02-01,28.41,21.2
2010-02-02,28.46,21.41
2010-02-03,28.63,21.46
2010-02-04,27.84,20.86
2010-02-05,28.02,21.07
2010-02-08,27.72,20.98
2010-02-09,28.01,21.16
2010-02-10,27.99,21.1
2010-02-11,28.12,21.32
2010-02-12,27.93,21.36
2010-02-16,28.35,21.68
2010-02-17,28.59,21.74
2010-02-18,28.969,21.88
2010-02-19,28.77,21.82
2010-02-22,28.73,21.78
2010-02-23,28.33,21.51
2010-02-24,28.63,21.72
2010-02-25,28.6,21.66
2010-02-26,28.67,21.69
2010-03-01,29.02,21.97
2010-03-02,28.46,21.94
2010-03-03,28.46,21.95
2010-03-04,28.63,22.04
2010-03-05,28.5875,22.31
2010-03-08,28.63,22.43
2010-03-09,28.8,22.53
2010-03-10,28.97,22.68
2010-03-11,29.18,22.77
2010-03-12,29.27,22.75
2010-03-15,29.29,22.73
2010-03-16,29.37,22.9
2010-03-17,29.63,22.97
2010-03-18,29.61,23.0
2010-03-19,29.59,22.79
2010-03-22,29.6,22.96
2010-03-23,29.88,23.18
2010-03-24,29.65,23.07
2010-03-25,30.01,23.11
2010-03-26,29.66,23.0
2010-03-29,29.59,23.07
2010-03-30,29.77,23.17
2010-03-31,29.2875,23.1
2010-04-01,29.16,23.06
2010-04-05,29.27,23.33
2010-04-06,29.32,23.35
2010-04-07,29.35,23.26
2010-04-08,29.92,23.3
2010-04-09,30.34,23.48
2010-04-12,30.32,23.53
2010-04-13,30.45,23.6
2010-04-14,30.82,23.94
2010-04-15,30.87,24.05
2010-04-16,30.67,23.73
2010-04-19,31.039,23.78
2010-04-20,31.36,23.91
2010-04-21,31.332,23.96
2010-04-22,31.39,24.02
2010-04-23,30.96,24.08
2010-04-26,31.11,24.05
2010-04-27,30.845,23.58
2010-04-28,30.91,23.65
2010-04-29,31.003,23.89
2010-04-30,30.535,23.389
2010-05-03,30.86,23.71
2010-05-04,30.13,23.03
2010-05-05,29.85,22.93
2010-05-06,28.98,22.24
2010-05-07,28.21,21.75
2010-05-10,28.94,22.75
2010-05-11,28.88,22.6
2010-05-12,29.44,23.19
2010-05-13,29.24,22.85
2010-05-14,28.93,22.41
2010-05-17,28.94,22.52
2010-05-18,28.5975,22.18
2010-05-19,28.24,22.01
2010-05-20,27.11,21.31
2010-05-21,26.84,21.47
2010-05-24,26.27,21.37
2010-05-25,26.07,21.31
2010-05-26,25.01,21.1
2010-05-27,26.0,21.82
2010-05-28,25.8,21.64
2010-06-01,25.89,21.43
2010-06-02,26.46,21.91
2010-06-03,26.86,22.13
2010-06-04,25.79,21.42
2010-06-07,25.29,21.11
2010-06-08,25.11,21.15
2010-06-09,24.79,21.04
2010-06-10,25.0,21.55
2010-06-11,25.66,21.74
2010-06-14,25.495,21.7
2010-06-15,26.5825,22.27
2010-06-16,26.32,22.33
2010-06-17,26.37,22.41
2010-06-18,26.44,22.33
2010-06-21,25.95,22.17
2010-06-22,25.77,21.98
2010-06-23,25.308,21.94
2010-06-24,25.0,21.5
2010-06-25,24.5325,21.475
2010-06-28,24.31,21.52
2010-06-29,23.31,20.72
2010-06-30,23.01,20.4
2010-07-01,23.16,20.32
2010-07-02,23.27,20.29
2010-07-06,23.82,20.49
2010-07-07,24.3,21.15
2010-07-08,24.4095,21.28
2010-07-09,24.27,21.39
2010-07-12,24.83,21.49
2010-07-13,25.13,21.8
2010-07-14,25.44,21.93
2010-07-15,25.51,22.0
2010-07-16,24.89,21.3725
2010-07-19,25.23,21.58
2010-07-20,25.48,21.72
2010-07-21,25.12,21.46
2010-07-22,25.84,22.04
2010-07-23,25.81,22.19
2010-07-26,26.1,22.32
2010-07-27,26.16,22.39
2010-07-28,25.95,22.21
2010-07-29,26.03,22.01
2010-07-30,25.81,21.92
2010-08-02,26.33,22.38
2010-08-03,26.16,22.26
2010-08-04,25.73,22.44
2010-08-05,25.37,22.34
2010-08-06,25.55,22.28
2010-08-09,25.61,22.43
2010-08-10,25.07,22.2
2010-08-11,24.86,21.67
2010-08-12,24.49,21.37
2010-08-13,24.4,21.27
2010-08-16,24.5,21.31
2010-08-17,24.71,21.54
2010-08-18,24.82,21.66
2010-08-19,24.44,21.4
2010-08-20,24.23,21.35
2010-08-23,24.28,21.16
2010-08-24,24.04,20.87
2010-08-25,24.1,21.0
2010-08-26,23.82,20.79
2010-08-27,23.93,21.04
2010-08-30,23.64,20.76
2010-08-31,23.465,20.69
2010-09-01,23.9,21.22
2010-09-02,23.94,21.41
2010-09-03,24.29,21.73
2010-09-07,23.96,21.55
2010-09-08,23.93,21.67
2010-09-09,24.01,21.73
2010-09-10,23.85,21.74
2010-09-13,25.11,22.13
2010-09-14,25.03,22.22
2010-09-15,25.115,22.36
2010-09-16,25.33,22.49
2010-09-17,25.22,22.53
2010-09-20,25.43,22.86
2010-09-21,25.15,22.82
2010-09-22,24.61,22.71
2010-09-23,24.43,22.68
2010-09-24,24.775,23.12
2010-09-27,24.7325,23.13
2010-09-28,24.6775,23.16
2010-09-29,24.5,23.11
2010-09-30,24.49,23.02
2010-10-01,24.38,23.03
2010-10-04,23.91,22.84
2010-10-05,24.35,23.29
2010-10-06,24.43,23.18
2010-10-07,24.53,23.18
2010-10-08,24.57,23.31
2010-10-11,24.59,23.35
2010-10-12,24.83,23.49
2010-10-13,25.34,23.68
2010-10-14,25.23,23.69
2010-10-15,25.54,24.09
2010-10-18,25.82,24.25
2010-10-19,25.1,23.82
2010-10-20,25.31,24.02
2010-10-21,25.42,24.04
2010-10-22,25.3775,24.11
2010-10-25,25.19,24.18
2010-10-26,25.9,24.24
2010-10-27,26.05,24.31
2010-10-28,26.28,24.31
2010-10-29,26.665,24.35
2010-11-01,26.95,24.37
2010-11-02,27.39,24.61
2010-11-03,27.03,24.75
2010-11-04,27.14,25.12
2010-11-05,26.85,25.1
2010-11-08,26.81,25.12
2010-11-09,26.95,25.05
2010-11-10,26.94,25.07
2010-11-11,26.68,24.685
2010-11-12,26.27,24.34
2010-11-15,26.2,24.27
2010-11-16,25.81,23.83
2010-11-17,25.57,23.84
2010-11-18,25.8375,24.24
2010-11-19,25.69,24.31
2010-11-22,25.73,24.45
2010-11-23,25.12,24.09
2010-11-24,25.37,24.49
2010-11-26,25.34,24.25
2010-11-29,25.31,24.19
2010-11-30,25.2575,23.95
2010-12-01,26.04,24.46
2010-12-02,26.89,24.75
2010-12-03,27.02,24.805
2010-12-06,26.84,24.81
2010-12-07,26.87,24.84
2010-12-08,27.23,25.05
2010-12-09,27.08,25.07
2010-12-10,27.34,25.185
2010-12-13,27.245,25.14
2010-12-14,27.62,25.18
2010-12-15,27.85,25.08
2010-12-16,27.9875,25.12
2010-12-17,27.9025,25.08
2010-12-20,27.81,25.1
2010-12-21,28.07,25.25
2010-12-22,28.1875,25.22
2010-12-23,28.3,25.21
2010-12-27,28.07,25.26
2010-12-28,28.01,25.23
2010-12-29,27.97,25.28
2010-12-30,27.85,25.22
2010-12-31,27.91,25.19
2011-01-03,27.98,25.47
2011-01-04,28.0875,25.57
2011-01-05,28.0,25.72
2011-01-06,28.82,25.87
2011-01-07,28.6,25.75
2011-01-10,28.22,25.7725
2011-01-11,28.11,25.73
2011-01-12,28.55,25.96
2011-01-13,28.19,25.94
2011-01-14,28.3,26.17
2011-01-18,28.66,26.1975
2011-01-19,28.47,26.01
2011-01-20,28.3525,25.87
2011-01-21,28.02,25.72
2011-01-24,28.38,26.08
2011-01-25,28.45,26.2
2011-01-26,28.78,26.35
2011-01-27,28.87,26.44
2011-01-28,27.751,25.83
2011-01-31,27.725,25.99
2011-02-01,27.9925,26.43
2011-02-02,27.94,26.4775
2011-02-03,27.65,26.52
2011-02-04,27.77,26.69
2011-02-07,28.1975,26.8225
2011-02-08,28.2825,26.9325
2011-02-09,27.97,26.88
2011-02-10,27.5,26.76
2011-02-11,27.25,26.9025
2011-02-14,27.23,26.94
2011-02-15,26.96,26.84
2011-02-16,27.02,26.9875
2011-02-17,27.21,27.04
2011-02-18,27.06,27.0
2011-02-22,26.59,26.34
2011-02-23,26.59,26.03
2011-02-24,26.77,26.12
2011-02-25,26.55,26.45
2011-02-28,26.58,26.56
2011-03-01,26.16,26.05
2011-03-02,26.0775,26.21
2011-03-03,26.2,26.63
2011-03-04,25.9525,26.415
2011-03-07,25.72,26.08
2011-03-08,25.91,26.2975
2011-03-09,25.89,26.19
2011-03-10,25.41,25.7
2011-03-11,25.68,25.8
2011-03-14,25.69,25.68
2011-03-15,25.39,25.3
2011-03-16,24.79,24.6825
2011-03-17,24.78,24.94
2011-03-18,24.8,24.9
2011-03-21,25.33,25.3225
2011-03-22,25.295,25.28
2011-03-23,25.54,25.42
2011-03-24,25.81,25.8175
2011-03-25,25.62,25.88
2011-03-28,25.41,25.82
2011-03-29,25.49,26.0
2011-03-30,25.61,26.11
2011-03-31,25.39,26.0625
2011-04-01,25.48,26.01
2011-04-04,25.55,25.92
2011-04-05,25.78,25.88
2011-04-06,26.15,26.07
2011-04-07,26.2,26.08
2011-04-08,26.07,25.93
2011-04-11,25.98,25.89
2011-04-12,25.64,25.68
2011-04-13,25.63,25.84
2011-04-14,25.42,25.79
2011-04-15,25.37,25.74
2011-04-18,25.08,25.51
2011-04-19,25.15,25.58
2011-04-20,25.76,26.119
2011-04-21,25.52,26.35
2011-04-25,25.61,26.37
2011-04-26,26.19,26.59
2011-04-27,26.38,26.75
2011-04-28,26.71,26.76
2011-04-29,25.92,26.74
2011-05-02,25.66,26.64
2011-05-03,25.81,26.65
2011-05-04,26.06,26.57
2011-05-05,25.79,26.43
2011-05-06,25.87,26.48
2011-05-09,25.83,26.59
2011-05-10,25.67,26.83
2011-05-11,25.36,26.59
2011-05-12,25.32,26.79
2011-05-13,25.03,26.46
2011-05-16,24.57,26.08
2011-05-17,24.52,26.08
2011-05-18,24.69,26.27
2011-05-19,24.715,26.32
2011-05-20,24.49,26.169
2011-05-23,24.17,25.8
2011-05-24,24.15,25.72
2011-05-25,24.19,25.8
2011-05-26,24.67,25.97
2011-05-27,24.76,26.1
2011-05-31,25.01,26.46
2011-06-01,24.43,25.91
