date,NTRS,KBE
2010-01-04,52.53,21.71
2010-01-05,52.46,22.18
2010-01-06,51.7,22.47
2010-01-07,52.19,23.41
2010-01-08,52.42,23.32
2010-01-11,51.04,23.33
2010-01-12,50.95,22.94
2010-01-13,51.55,23.33
2010-01-14,51.3,23.68
2010-01-15,51.55,23.16
2010-01-19,52.43,23.4
2010-01-20,55.44,23.71
2010-01-21,53.51,23.67
2010-01-22,52.07,22.96
2010-01-25,51.99,23.0
2010-01-26,50.93,22.57
2010-01-27,52.49,23.19
2010-01-28,51.59,23.3
2010-01-29,50.52,23.09
2010-02-01,52.17,23.42
2010-02-02,52.12,23.47
2010-02-03,51.61,22.95
2010-02-04,49.89,21.98
2010-02-05,50.54,22.24
2010-02-08,49.99,21.91
2010-02-09,50.08,22.18
2010-02-10,50.56,22.34
2010-02-11,50.34,22.38
2010-02-12,50.01,22.23
2010-02-16,50.99,22.81
2010-02-17,51.84,22.83
2010-02-18,52.47,22.85
2010-02-19,54.6,23.15
2010-02-22,54.65,23.59
2010-02-23,53.46,23.1
2010-02-24,53.56,23.56
2010-02-25,53.11,23.4
2010-02-26,53.29,23.51
2010-03-01,53.44,23.43
2010-03-02,53.41,23.58
2010-03-03,53.46,23.55
2010-03-04,53.76,23.55
2010-03-05,54.89,24.14
2010-03-08,54.9,24.2
2010-03-09,54.8,24.35
2010-03-10,54.03,24.91
2010-03-11,54.05,25.3
2010-03-12,53.97,25.05
2010-03-15,54.26,25.12
2010-03-16,54.81,25.57
2010-03-17,55.8,26.02
2010-03-18,55.62,25.61
2010-03-19,55.45,25.37
2010-03-22,55.63,25.66
2010-03-23,55.79,25.89
2010-03-24,55.16,26.01
2010-03-25,55.98,26.07
2010-03-26,55.35,26.01
2010-03-29,55.19,25.89
2010-03-30,54.65,25.73
2010-03-31,55.26,25.81
2010-04-01,56.64,25.99
2010-04-05,57.17,26.61
2010-04-06,57.45,27.19
2010-04-07,56.91,27.08
2010-04-08,57.82,27.36
2010-04-09,58.01,27.48
2010-04-12,58.77,27.79
2010-04-13,59.02,27.49
2010-04-14,58.96,28.4
2010-04-15,58.65,28.17
2010-04-16,57.39,27.26
2010-04-19,58.37,27.47
2010-04-20,55.37,28.23
2010-04-21,54.73,28.43
2010-04-22,55.63,28.69
2010-04-23,56.31,28.72
2010-04-26,55.31,27.89
2010-04-27,54.34,27.07
2010-04-28,54.37,27.42
2010-04-29,55.65,28.02
2010-04-30,54.98,27.66
2010-05-03,54.9,28.12
2010-05-04,53.92,27.35
2010-05-05,53.93,27.35
2010-05-06,51.67,26.11
2010-05-07,51.8,25.7
2010-05-10,55.11,27.25
2010-05-11,54.45,27.4
2010-05-12,55.34,27.77
2010-05-13,54.28,27.3
2010-05-14,53.18,26.52
2010-05-17,53.82,26.48
2010-05-18,52.79,25.45
2010-05-19,52.35,25.33
2010-05-20,50.1,24.13
2010-05-21,51.88,25.06
2010-05-24,50.65,24.24
2010-05-25,50.78,24.45
2010-05-26,50.48,24.36
2010-05-27,51.97,25.37
2010-05-28,50.81,24.77
2010-06-01,49.82,24.22
2010-06-02,51.11,24.95
2010-06-03,50.93,24.77
2010-06-04,49.015,23.67
2010-06-07,48.5,23.16
2010-06-08,49.06,23.63
2010-06-09,48.75,23.43
2010-06-10,49.5,24.34
2010-06-11,49.93,24.3
2010-06-14,49.34,24.13
2010-06-15,50.76,24.8
2010-06-16,51.32,24.74
2010-06-17,50.9,24.7
2010-06-18,50.3,24.84
2010-06-21,49.39,24.82
2010-06-22,48.61,24.48
2010-06-23,48.45,24.3
2010-06-24,47.44,23.74
2010-06-25,48.44,24.41
2010-06-28,48.3,24.34
2010-06-29,47.42,23.28
2010-06-30,46.7,22.89
2010-07-01,46.57,22.69
2010-07-02,45.81,22.34
2010-07-06,45.96,22.58
2010-07-07,49.14,23.87
2010-07-08,47.9,23.94
2010-07-09,48.53,24.5
2010-07-12,49.09,24.59
2010-07-13,50.14,25.29
2010-07-14,49.78,24.91
2010-07-15,49.73,24.79
2010-07-16,48.36,23.4
2010-07-19,48.56,23.34
2010-07-20,49.32,23.32
2010-07-21,47.16,22.785
2010-07-22,46.97,23.6
2010-07-23,47.51,23.76
2010-07-26,48.22,24.37
2010-07-27,48.26,24.53
2010-07-28,47.64,24.24
2010-07-29,47.49,24.21
2010-07-30,46.99,24.19
2010-08-02,48.52,24.91
2010-08-03,48.32,24.59
2010-08-04,48.51,24.54
2010-08-05,49.11,24.42
2010-08-06,48.57,24.1
