date,ODP,XRT
2010-01-04,6.45,35.94
2010-01-05,6.76,36.17
2010-01-06,6.61,36.5
2010-01-07,6.98,36.6
2010-01-08,7.06,36.52
2010-01-11,6.87,36.41
2010-01-12,6.53,36.16
2010-01-13,6.73,36.56
2010-01-14,6.69,36.26
2010-01-15,6.65,35.83
2010-01-19,6.68,36.14
2010-01-20,6.34,35.84
2010-01-21,6.15,35.26
2010-01-22,5.99,34.72
2010-01-25,5.99,35.01
2010-01-26,5.84,34.95
2010-01-27,5.84,35.14
2010-01-28,5.66,34.68
2010-01-29,5.68,34.62
2010-02-01,5.91,35.23
2010-02-02,6.09,35.94
2010-02-03,6.11,35.63
2010-02-04,5.51,34.69
2010-02-05,5.48,34.75
2010-02-08,5.38,34.51
2010-02-09,5.64,35.23
2010-02-10,5.6,35.07
2010-02-11,5.82,35.44
2010-02-12,6.17,35.45
2010-02-16,6.47,35.99
2010-02-17,6.49,36.47
2010-02-18,6.53,36.68
2010-02-19,6.57,36.77
2010-02-22,6.65,36.79
2010-02-23,6.88,36.4
2010-02-24,6.82,37.0
2010-02-25,6.92,37.31
2010-02-26,7.22,37.3
2010-03-01,7.58,38.16
2010-03-02,7.36,37.92
2010-03-03,7.26,38.05
2010-03-04,7.45,38.79
2010-03-05,7.41,39.34
2010-03-08,7.71,39.61
2010-03-09,7.96,39.48
2010-03-10,8.03,39.69
2010-03-11,8.04,39.87
2010-03-12,7.96,40.191
2010-03-15,7.95,40.32
2010-03-16,8.14,40.68
2010-03-17,8.17,40.79
2010-03-18,8.15,40.83
2010-03-19,7.76,40.49
2010-03-22,8.1,41.32
2010-03-23,8.18,41.7
2010-03-24,8.01,41.12
2010-03-25,8.03,41.26
2010-03-26,8.21,41.62
2010-03-29,8.16,41.59
2010-03-30,8.12,41.59
2010-03-31,7.98,41.3
2010-04-01,8.11,41.8
2010-04-05,8.24,42.31
2010-04-06,8.32,42.48
2010-04-07,8.1,42.24
2010-04-08,8.1,42.34
2010-04-09,8.08,42.8
2010-04-12,8.01,42.68
2010-04-13,7.97,42.87
2010-04-14,8.27,43.81
2010-04-15,8.25,43.94
2010-04-16,8.01,43.37
2010-04-19,7.94,43.03
2010-04-20,7.93,43.26
2010-04-21,8.11,43.77
2010-04-22,8.21,44.78
2010-04-23,8.45,45.12
2010-04-26,8.95,45.4
2010-04-27,7.06,43.83
2010-04-28,6.87,43.42
2010-04-29,7.04,44.23
2010-04-30,6.86,42.76
2010-05-03,7.0,43.57
2010-05-04,6.55,42.51
2010-05-05,6.46,42.5
2010-05-06,5.84,40.8401
2010-05-07,6.18,39.79
2010-05-10,6.68,42.11
2010-05-11,6.8,42.27
2010-05-12,7.02,43.07
2010-05-13,6.56,41.58
2010-05-14,6.43,40.81
2010-05-17,6.38,41.14
2010-05-18,6.36,40.21
2010-05-19,6.19,39.97
2010-05-20,5.78,38.92
2010-05-21,5.94,39.75
2010-05-24,5.83,39.56
2010-05-25,5.96,39.99
2010-05-26,5.71,39.26
2010-05-27,5.99,40.78
2010-05-28,5.8,40.64
2010-06-01,5.43,39.67
2010-06-02,5.67,40.39
2010-06-03,5.71,40.66
2010-06-04,5.32,38.72
2010-06-07,5.1,37.76
2010-06-08,5.13,38.24
2010-06-09,5.17,38.43
2010-06-10,5.34,39.49
2010-06-11,5.4,39.75
2010-06-14,5.5,40.17
2010-06-15,5.65,40.72
2010-06-16,5.62,40.23
2010-06-17,5.39,39.86
2010-06-18,5.18,39.41
2010-06-21,5.05,38.57
2010-06-22,4.83,37.82
2010-06-23,4.88,38.09
2010-06-24,4.65,37.18
2010-06-25,4.58,37.44
2010-06-28,4.26,37.12
2010-06-29,3.94,35.82
2010-06-30,4.04,35.65
2010-07-01,4.15,36.33
2010-07-02,4.09,35.8
2010-07-06,3.89,35.31
2010-07-07,4.09,36.4225
2010-07-08,4.15,36.42
2010-07-09,4.25,36.95
2010-07-12,4.2,36.57
2010-07-13,4.37,37.57
2010-07-14,4.3,37.4
2010-07-15,4.3,37.62
2010-07-16,4.06,36.28
2010-07-19,4.13,36.42
2010-07-20,4.21,37.3
2010-07-21,4.06,36.6
2010-07-22,4.25,37.64
2010-07-23,4.39,38.45
2010-07-26,4.73,39.11
2010-07-27,4.4,38.46
2010-07-28,4.35,37.94
2010-07-29,4.29,37.84
2010-07-30,4.32,38.12
2010-08-02,4.77,38.97
2010-08-03,4.67,37.8
2010-08-04,4.75,38.52
2010-08-05,4.88,38.43
2010-08-06,4.54,38.18
2010-08-09,4.47,38.75
2010-08-10,4.4,38.11
2010-08-11,4.04,37.28
2010-08-12,4.22,37.51
2010-08-13,4.12,36.88
2010-08-16,4.0,36.97
2010-08-17,4.07,37.44
2010-08-18,4.14,37.91
2010-08-19,4.08,37.34
2010-08-20,4.01,37.43
2010-08-23,3.96,37.05
2010-08-24,3.75,36.37
2010-08-25,3.71,36.98
2010-08-26,3.55,36.52
2010-08-27,3.58,36.97
2010-08-30,3.47,36.04
2010-08-31,3.41,35.92
2010-09-01,3.73,37.36
2010-09-02,3.92,38.18
2010-09-03,4.02,38.77
2010-09-07,3.94,38.19
2010-09-08,4.0,38.59
2010-09-09,3.89,38.38
2010-09-10,3.92,38.7
2010-09-13,4.03,39.54
2010-09-14,4.03,40.32
2010-09-15,4.08,40.3
2010-09-16,4.04,40.29
2010-09-17,4.02,40.33
2010-09-20,4.43,41.11
2010-09-21,4.37,40.69
2010-09-22,4.29,40.6
2010-09-23,4.39,40.65
2010-09-24,4.6,41.84
2010-09-27,4.54,41.65
2010-09-28,4.67,42.2
2010-09-29,4.6,42.02
2010-09-30,4.6,41.82
2010-10-01,4.6,41.97
2010-10-04,4.48,41.57
2010-10-05,4.56,42.22
2010-10-06,4.5,42.02
2010-10-07,4.48,42.4
2010-10-08,4.6,42.83
2010-10-11,4.83,43.33
2010-10-12,5.02,43.8
2010-10-13,5.1,43.71
2010-10-14,4.94,43.55
2010-10-15,4.86,44.03
2010-10-18,4.9,44.12
2010-10-19,4.69,42.83
2010-10-20,4.69,43.23
2010-10-21,4.65,42.98
2010-10-22,4.63,43.34
2010-10-25,4.79,43.63
2010-10-26,4.77,44.05
2010-10-27,4.76,43.49
2010-10-28,4.7,43.45
2010-10-29,4.49,43.61
2010-11-01,4.45,43.2
2010-11-02,4.43,43.75
2010-11-03,4.39,43.79
2010-11-04,4.65,44.93
2010-11-05,4.69,45.3
2010-11-08,4.6,45.45
2010-11-09,4.6,44.96
2010-11-10,4.71,45.32
2010-11-11,4.72,45.34
2010-11-12,4.48,44.6
2010-11-15,4.53,44.5
2010-11-16,4.39,44.27
2010-11-17,4.51,45.12
2010-11-18,4.68,45.38
2010-11-19,4.69,46.0
2010-11-22,4.64,46.43
2010-11-23,4.64,46.58
