date,ORCL,XLK
2010-01-04,24.85,23.27
2010-01-05,24.82,23.24
2010-01-06,24.46,22.98
2010-01-07,24.38,22.89
2010-01-08,24.68,23.04
2010-01-11,24.69,22.95
2010-01-12,24.56,22.7
2010-01-13,24.8,22.92
2010-01-14,25.34,22.98
2010-01-15,25.24,22.66
2010-01-19,25.33,23.05
2010-01-20,25.06,22.68
2010-01-21,24.83,22.44
2010-01-22,24.15,21.66
2010-01-25,24.03,21.84
2010-01-26,23.88,21.78
2010-01-27,23.86,21.96
2010-01-28,23.47,21.33
2010-01-29,23.06,20.959
2010-02-01,23.22,21.2
2010-02-02,23.76,21.41
2010-02-03,23.75,21.46
2010-02-04,23.11,20.86
2010-02-05,23.55,21.07
2010-02-08,23.12,20.98
2010-02-09,23.51,21.16
2010-02-10,23.11,21.1
2010-02-11,23.35,21.32
2010-02-12,23.41,21.36
2010-02-16,23.81,21.68
2010-02-17,24.18,21.74
2010-02-18,24.52,21.88
2010-02-19,24.32,21.82
2010-02-22,24.81,21.78
2010-02-23,24.48,21.51
2010-02-24,24.77,21.72
2010-02-25,24.87,21.66
2010-02-26,24.65,21.69
2010-03-01,24.74,21.97
2010-03-02,24.58,21.94
2010-03-03,24.5,21.95
2010-03-04,24.76,22.04
2010-03-05,24.95,22.31
2010-03-08,24.7,22.43
2010-03-09,24.88,22.53
2010-03-10,24.87,22.68
2010-03-11,25.14,22.77
2010-03-12,25.05,22.75
2010-03-15,25.28,22.73
2010-03-16,25.21,22.9
2010-03-17,25.47,22.97
2010-03-18,25.38,23.0
2010-03-19,25.19,22.79
2010-03-22,25.56,22.96
2010-03-23,25.99,23.18
2010-03-24,25.76,23.07
2010-03-25,26.04,23.11
2010-03-26,25.69,23.0
2010-03-29,25.57,23.07
2010-03-30,25.54,23.17
2010-03-31,25.71,23.1
2010-04-01,25.46,23.06
2010-04-05,25.58,23.33
2010-04-06,25.83,23.35
2010-04-07,25.91,23.26
2010-04-08,25.83,23.3
2010-04-09,26.13,23.48
2010-04-12,26.2,23.53
2010-04-13,26.35,23.6
2010-04-14,26.3825,23.94
2010-04-15,26.2,24.05
2010-04-16,25.95,23.73
2010-04-19,26.19,23.78
2010-04-20,26.15,23.91
2010-04-21,26.29,23.96
2010-04-22,26.24,24.02
2010-04-23,26.4825,24.08
2010-04-26,26.47,24.05
2010-04-27,25.98,23.58
2010-04-28,25.86,23.65
2010-04-29,25.97,23.89
2010-04-30,25.8675,23.389
2010-05-03,26.01,23.71
2010-05-04,24.97,23.03
2010-05-05,24.94,22.93
2010-05-06,23.91,22.24
2010-05-07,23.41,21.75
2010-05-10,24.39,22.75
2010-05-11,24.19,22.6
2010-05-12,24.6,23.19
2010-05-13,24.24,22.85
2010-05-14,23.78,22.41
2010-05-17,23.74,22.52
2010-05-18,23.43,22.18
2010-05-19,23.19,22.01
2010-05-20,22.35,21.31
2010-05-21,22.1625,21.47
2010-05-24,22.28,21.37
2010-05-25,22.2,21.31
2010-05-26,21.9095,21.1
2010-05-27,22.58,21.82
2010-05-28,22.57,21.64
2010-06-01,22.2,21.43
2010-06-02,22.64,21.91
2010-06-03,22.84,22.13
2010-06-04,22.13,21.42
2010-06-07,21.6975,21.11
2010-06-08,21.76,21.15
2010-06-09,21.54,21.04
2010-06-10,22.205,21.55
2010-06-11,22.69,21.74
2010-06-14,22.69,21.7
2010-06-15,23.2,22.27
2010-06-16,23.18,22.33
2010-06-17,23.07,22.41
2010-06-18,23.2,22.33
2010-06-21,23.09,22.17
2010-06-22,22.89,21.98
2010-06-23,22.68,21.94
2010-06-24,22.22,21.5
