date,PEP,XLP
2010-01-04,61.24,26.67
2010-01-05,61.98,26.68
2010-01-06,61.36,26.66
2010-01-07,60.97,26.66
2010-01-08,60.77,26.57
2010-01-11,60.7,26.64
2010-01-12,61.55,26.79
2010-01-13,62.05,26.98
2010-01-14,62.8,26.9
2010-01-15,62.29,26.77
2010-01-19,62.33,26.93
2010-01-20,61.95,26.73
2010-01-21,60.94,26.35
2010-01-22,60.39,26.29
2010-01-25,60.23,26.34
2010-01-26,60.25,26.31
2010-01-27,60.29,26.37
2010-01-28,59.74,26.3
2010-01-29,59.62,26.2
2010-02-01,60.7,26.4
2010-02-02,61.15,26.78
2010-02-03,61.29,26.59
2010-02-04,59.64,26.05
2010-02-05,59.51,25.98
2010-02-08,58.96,25.95
2010-02-09,60.05,26.26
2010-02-10,60.38,26.23
2010-02-11,61.19,26.441
2010-02-12,60.92,26.44
2010-02-16,61.31,26.71
2010-02-17,62.11,26.9
2010-02-18,62.53,27.06
2010-02-19,62.66,27.12
2010-02-22,62.41,27.12
2010-02-23,61.78,26.97
2010-02-24,62.08,27.14
2010-02-25,62.3,27.16
2010-02-26,62.47,27.03
2010-03-01,63.43,27.22
2010-03-02,63.8,27.32
2010-03-03,63.98,27.33
2010-03-04,64.11,27.42
2010-03-05,64.37,27.59
2010-03-08,64.15,27.49
2010-03-09,64.36,27.45
2010-03-10,64.43,27.41
2010-03-11,64.97,27.46
2010-03-12,65.1,27.48
2010-03-15,66.15,27.689
2010-03-16,66.07,27.82
2010-03-17,66.57,27.94
2010-03-18,66.52,27.97
2010-03-19,66.56,27.77
2010-03-22,66.31,27.91
2010-03-23,66.86,28.13
2010-03-24,66.26,27.93
2010-03-25,66.55,27.89
2010-03-26,66.59,27.91
2010-03-29,66.55,28.04
2010-03-30,66.77,28.09
2010-03-31,66.16,27.93
2010-04-01,66.68,28.11
2010-04-05,65.98,28.11
2010-04-06,66.39,28.02
2010-04-07,65.99,27.84
2010-04-08,65.97,27.89
2010-04-09,66.36,28.04
2010-04-12,66.32,28.13
2010-04-13,66.39,28.04
2010-04-14,66.29,28.08
2010-04-15,66.27,28.03
2010-04-16,66.14,27.91
2010-04-19,66.12,28.02
2010-04-20,65.9,28.099
2010-04-21,65.98,28.1
2010-04-22,64.76,28.1
2010-04-23,64.71,28.03
2010-04-26,65.02,27.97
2010-04-27,64.23,27.48
2010-04-28,64.75,27.7
2010-04-29,65.2,27.79
2010-04-30,65.22,27.63
2010-05-03,65.69,27.79
2010-05-04,65.43,27.51
2010-05-05,65.2,27.61
2010-05-06,64.7,26.92
2010-05-07,64.57,26.74
2010-05-10,66.41,27.52
2010-05-11,66.55,27.51
2010-05-12,66.94,27.7
2010-05-13,66.48,27.53
2010-05-14,66.07,27.27
2010-05-17,66.75,27.56
2010-05-18,66.53,27.4
2010-05-19,66.04,27.33
2010-05-20,63.86,26.52
2010-05-21,63.58,26.62
2010-05-24,63.32,26.43
2010-05-25,62.89,26.12
2010-05-26,61.23,25.95
2010-05-27,62.9,26.48
2010-05-28,62.89,26.35
2010-06-01,62.76,26.29
2010-06-02,63.46,26.74
2010-06-03,63.37,26.78
2010-06-04,61.44,26.07
2010-06-07,61.73,25.87
2010-06-08,62.65,26.29
2010-06-09,62.49,26.24
2010-06-10,63.84,26.69
2010-06-11,63.56,26.47
2010-06-14,63.85,26.62
2010-06-15,64.24,26.89
2010-06-16,63.91,26.71
2010-06-17,64.49,26.95
2010-06-18,64.08,26.66
2010-06-21,64.02,26.59
2010-06-22,63.3,26.3
2010-06-23,62.73,26.47
2010-06-24,62.4,26.15
2010-06-25,60.77,25.88
2010-06-28,61.96,26.1
2010-06-29,61.23,25.68
2010-06-30,60.95,25.5
2010-07-01,61.52,25.55
2010-07-02,61.53,25.45
2010-07-06,61.64,25.6
2010-07-07,62.93,26.09
2010-07-08,64.0,26.48
2010-07-09,63.5,26.48
2010-07-12,63.74,26.57
2010-07-13,63.43,26.81
2010-07-14,63.56,26.82
2010-07-15,63.16,26.9
2010-07-16,62.45,26.52
2010-07-19,62.05,26.57
2010-07-20,64.73,26.89
2010-07-21,63.95,26.6
2010-07-22,64.21,26.9
2010-07-23,64.45,27.15
2010-07-26,64.98,27.29
2010-07-27,65.69,27.39
2010-07-28,65.2,27.24
2010-07-29,64.89,26.91
2010-07-30,64.91,26.98
2010-08-02,65.27,27.29
2010-08-03,65.77,27.05
2010-08-04,66.17,27.15
2010-08-05,65.58,27.03
2010-08-06,65.9,27.09
2010-08-09,66.42,27.23
2010-08-10,66.53,27.29
2010-08-11,65.45,26.84
2010-08-12,65.18,26.81
2010-08-13,65.56,26.8
2010-08-16,65.43,26.77
2010-08-17,65.55,27.03
2010-08-18,65.52,27.05
2010-08-19,64.66,26.73
2010-08-20,64.8,26.73
2010-08-23,64.82,26.79
2010-08-24,64.78,26.66
2010-08-25,64.57,26.72
2010-08-26,64.13,26.52
2010-08-27,64.12,26.69
2010-08-30,63.6,26.46
2010-08-31,64.18,26.48
2010-09-01,64.89,26.95
2010-09-02,64.97,27.12
2010-09-03,65.57,27.29
2010-09-07,65.48,27.18
2010-09-08,65.43,27.3
2010-09-09,66.1,27.39
