date,PG,XLP
2010-01-04,61.12,26.67
2010-01-05,61.14,26.68
2010-01-06,60.85,26.66
2010-01-07,60.52,26.66
2010-01-08,60.44,26.57
2010-01-11,60.2,26.64
2010-01-12,60.89,26.79
2010-01-13,61.52,26.98
2010-01-14,61.58,26.9
2010-01-15,60.82,26.77
2010-01-19,61.72,26.93
2010-01-20,60.45,26.73
2010-01-21,59.84,26.35
2010-01-22,60.31,26.29
2010-01-25,60.63,26.34
2010-01-26,60.69,26.31
2010-01-27,60.81,26.37
2010-01-28,61.68,26.3
2010-01-29,61.55,26.2
2010-02-01,61.99,26.4
2010-02-02,62.9,26.78
2010-02-03,62.65,26.59
2010-02-04,61.4,26.05
2010-02-05,61.3,25.98
2010-02-08,61.01,25.95
2010-02-09,61.76,26.26
2010-02-10,61.67,26.23
2010-02-11,61.96,26.441
2010-02-12,61.76,26.44
2010-02-16,62.83,26.71
2010-02-17,62.85,26.9
2010-02-18,63.39,27.06
2010-02-19,63.45,27.12
2010-02-22,63.42,27.12
2010-02-23,63.21,26.97
2010-02-24,63.89,27.14
2010-02-25,63.7,27.16
2010-02-26,63.28,27.03
2010-03-01,63.51,27.22
2010-03-02,63.71,27.32
2010-03-03,63.55,27.33
2010-03-04,63.67,27.42
2010-03-05,63.69,27.59
2010-03-08,63.19,27.49
2010-03-09,63.3,27.45
2010-03-10,63.01,27.41
2010-03-11,63.17,27.46
2010-03-12,63.32,27.48
2010-03-15,63.7,27.689
2010-03-16,63.53,27.82
2010-03-17,64.01,27.94
2010-03-18,63.73,27.97
2010-03-19,63.84,27.77
2010-03-22,63.88,27.91
2010-03-23,64.53,28.13
2010-03-24,63.61,27.93
2010-03-25,63.62,27.89
2010-03-26,63.69,27.91
2010-03-29,63.73,28.04
2010-03-30,63.66,28.09
2010-03-31,63.27,27.93
2010-04-01,63.36,28.11
2010-04-05,63.76,28.11
2010-04-06,63.11,28.02
2010-04-07,62.5,27.84
2010-04-08,62.56,27.89
2010-04-09,62.73,28.04
2010-04-12,62.7,28.13
2010-04-13,63.0,28.04
2010-04-14,63.19,28.08
2010-04-15,63.0,28.03
2010-04-16,62.85,27.91
2010-04-19,63.22,28.02
2010-04-20,63.19,28.099
2010-04-21,63.63,28.1
2010-04-22,63.59,28.1
2010-04-23,63.54,28.03
2010-04-26,63.94,27.97
2010-04-27,63.11,27.48
2010-04-28,63.17,27.7
2010-04-29,62.2,27.79
2010-04-30,62.16,27.63
2010-05-03,62.68,27.79
2010-05-04,61.71,27.51
2010-05-05,62.16,27.61
2010-05-06,60.75,26.92
2010-05-07,60.31,26.74
2010-05-10,62.42,27.52
2010-05-11,62.37,27.51
2010-05-12,63.02,27.7
2010-05-13,62.75,27.53
2010-05-14,62.54,27.27
2010-05-17,63.38,27.56
2010-05-18,63.21,27.4
2010-05-19,63.22,27.33
2010-05-20,61.61,26.52
2010-05-21,61.85,26.62
2010-05-24,61.4,26.43
2010-05-25,61.05,26.12
2010-05-26,60.44,25.95
2010-05-27,60.95,26.48
2010-05-28,61.09,26.35
2010-06-01,61.16,26.29
2010-06-02,61.74,26.74
2010-06-03,61.8,26.78
2010-06-04,60.8,26.07
2010-06-07,60.62,25.87
2010-06-08,62.14,26.29
2010-06-09,61.47,26.24
2010-06-10,61.91,26.69
2010-06-11,61.01,26.47
2010-06-14,61.25,26.62
2010-06-15,61.91,26.89
2010-06-16,61.19,26.71
2010-06-17,61.76,26.95
2010-06-18,61.3,26.66
2010-06-21,61.1,26.59
2010-06-22,60.72,26.3
2010-06-23,61.38,26.47
2010-06-24,60.87,26.15
2010-06-25,59.79,25.88
2010-06-28,60.62,26.1
2010-06-29,60.32,25.68
2010-06-30,59.98,25.5
2010-07-01,59.54,25.55
2010-07-02,59.38,25.45
2010-07-06,59.34,25.6
2010-07-07,60.82,26.09
2010-07-08,61.95,26.48
2010-07-09,61.75,26.48
2010-07-12,62.09,26.57
2010-07-13,62.39,26.81
2010-07-14,62.66,26.82
2010-07-15,62.73,26.9
2010-07-16,61.99,26.52
2010-07-19,61.86,26.57
2010-07-20,62.07,26.89
2010-07-21,61.11,26.6
2010-07-22,61.37,26.9
2010-07-23,61.91,27.15
2010-07-26,62.52,27.29
2010-07-27,63.08,27.39
2010-07-28,62.7,27.24
2010-07-29,61.67,26.91
2010-07-30,61.16,26.98
2010-08-02,62.06,27.29
2010-08-03,59.94,27.05
2010-08-04,59.55,27.15
2010-08-05,59.86,27.03
2010-08-06,60.02,27.09
2010-08-09,60.38,27.23
2010-08-10,60.78,27.29
2010-08-11,60.27,26.84
2010-08-12,59.99,26.81
2010-08-13,59.82,26.8
2010-08-16,59.77,26.77
2010-08-17,60.29,27.03
2010-08-18,60.75,27.05
2010-08-19,60.19,26.73
2010-08-20,59.98,26.73
2010-08-23,60.03,26.79
2010-08-24,59.66,26.66
2010-08-25,59.67,26.72
2010-08-26,59.54,26.52
