date,PHM,XHB
2010-01-04,10.24,15.32
2010-01-05,10.37,15.43
2010-01-06,10.37,15.51
2010-01-07,11.21,16.15
2010-01-08,11.03,16.22
2010-01-11,10.97,16.17
2010-01-12,10.9,15.95
2010-01-13,11.32,15.98
2010-01-14,11.23,15.94
2010-01-15,11.0,15.63
2010-01-19,10.99,15.86
2010-01-20,10.9,15.55
2010-01-21,10.52,15.23
2010-01-22,10.22,14.95
2010-01-25,10.23,15.11
2010-01-26,10.35,15.1
2010-01-27,10.33,15.15
2010-01-28,10.56,15.15
2010-01-29,10.52,15.11
2010-02-01,10.56,15.16
2010-02-02,11.35,15.89
2010-02-03,11.37,15.68
2010-02-04,10.92,15.19
2010-02-05,10.88,15.02
2010-02-08,11.13,15.17
2010-02-09,11.08,15.45
2010-02-10,11.23,15.39
2010-02-11,11.71,15.76
2010-02-12,11.74,15.88
2010-02-16,11.66,16.17
2010-02-17,11.61,16.0
2010-02-18,11.49,16.04
2010-02-19,11.43,16.08
2010-02-22,11.38,16.15
2010-02-23,10.97,15.74
2010-02-24,10.81,15.72
2010-02-25,10.7,15.72
2010-02-26,10.83,15.91
2010-03-01,10.92,16.25
2010-03-02,10.77,16.15
2010-03-03,10.93,16.32
2010-03-04,10.87,16.26
2010-03-05,11.23,16.57
2010-03-08,11.42,16.81
2010-03-09,11.49,16.73
2010-03-10,11.36,16.76
2010-03-11,11.41,16.87
2010-03-12,11.23,16.82
2010-03-15,11.1,16.81
2010-03-16,11.39,16.96
2010-03-17,11.47,16.93
2010-03-18,11.5,16.86
2010-03-19,11.2,16.54
2010-03-22,11.47,16.8
2010-03-23,11.47,16.94
2010-03-24,11.65,16.9
2010-03-25,11.61,16.88
2010-03-26,11.72,16.96
2010-03-29,11.62,17.01
2010-03-30,11.43,17.03
2010-03-31,11.25,16.82
2010-04-01,11.12,16.98
2010-04-05,11.44,17.3
2010-04-06,11.16,17.17
2010-04-07,10.88,16.92
2010-04-08,10.89,17.27
2010-04-09,11.17,17.44
2010-04-12,11.23,17.66
2010-04-13,11.03,17.76
2010-04-14,11.38,18.31
2010-04-15,11.27,18.12
2010-04-16,11.1,17.86
