date,PNC,KBE
2010-01-04,53.51,21.71
2010-01-05,54.05,22.18
2010-01-06,54.05,22.47
2010-01-07,56.98,23.41
2010-01-08,57.13,23.32
2010-01-11,57.29,23.33
2010-01-12,56.7,22.94
2010-01-13,57.04,23.33
2010-01-14,57.84,23.68
2010-01-15,56.68,23.16
2010-01-19,57.83,23.4
2010-01-20,58.79,23.71
2010-01-21,55.7,23.67
2010-01-22,53.62,22.96
2010-01-25,54.01,23.0
2010-01-26,52.66,22.57
2010-01-27,54.36,23.19
2010-01-28,54.14,23.3
2010-01-29,55.43,23.09
2010-02-01,55.86,23.42
2010-02-02,54.65,23.47
2010-02-03,53.71,22.95
2010-02-04,51.03,21.98
2010-02-05,51.79,22.24
2010-02-08,50.75,21.91
2010-02-09,51.06,22.18
2010-02-10,51.28,22.34
2010-02-11,51.4,22.38
2010-02-12,51.52,22.23
2010-02-16,52.44,22.81
2010-02-17,51.85,22.83
2010-02-18,51.87,22.85
2010-02-19,51.7,23.15
2010-02-22,53.17,23.59
2010-02-23,52.56,23.1
2010-02-24,53.78,23.56
2010-02-25,53.64,23.4
2010-02-26,53.76,23.51
2010-03-01,53.81,23.43
2010-03-02,53.51,23.58
2010-03-03,53.75,23.55
2010-03-04,54.2,23.55
2010-03-05,55.57,24.14
2010-03-08,55.53,24.2
2010-03-09,56.19,24.35
2010-03-10,57.4,24.91
2010-03-11,58.44,25.3
2010-03-12,57.86,25.05
2010-03-15,57.3,25.12
2010-03-16,58.62,25.57
2010-03-17,59.96,26.02
2010-03-18,59.2,25.61
2010-03-19,59.61,25.37
2010-03-22,59.85,25.66
2010-03-23,59.81,25.89
2010-03-24,59.87,26.01
2010-03-25,59.93,26.07
2010-03-26,59.57,26.01
2010-03-29,59.47,25.89
2010-03-30,58.69,25.73
2010-03-31,59.7,25.81
2010-04-01,60.24,25.99
2010-04-05,61.66,26.61
2010-04-06,62.58,27.19
2010-04-07,62.5,27.08
2010-04-08,64.1,27.36
2010-04-09,64.8,27.48
2010-04-12,65.27,27.79
2010-04-13,63.62,27.49
2010-04-14,65.16,28.4
2010-04-15,64.16,28.17
2010-04-16,63.02,27.26
2010-04-19,63.5,27.47
2010-04-20,64.92,28.23
2010-04-21,65.3,28.43
2010-04-22,68.82,28.69
2010-04-23,69.64,28.72
2010-04-26,66.77,27.89
2010-04-27,66.09,27.07
2010-04-28,65.47,27.42
2010-04-29,66.06,28.02
2010-04-30,67.21,27.66
2010-05-03,68.57,28.12
2010-05-04,66.46,27.35
2010-05-05,67.59,27.35
2010-05-06,64.41,26.11
2010-05-07,64.14,25.7
2010-05-10,67.84,27.25
2010-05-11,68.61,27.4
2010-05-12,68.52,27.77
2010-05-13,66.99,27.3
2010-05-14,65.61,26.52
2010-05-17,65.85,26.48
2010-05-18,63.68,25.45
2010-05-19,62.78,25.33
2010-05-20,60.55,24.13
2010-05-21,62.76,25.06
2010-05-24,60.56,24.24
2010-05-25,61.8,24.45
2010-05-26,61.63,24.36
2010-05-27,64.47,25.37
2010-05-28,62.75,24.77
2010-06-01,61.16,24.22
2010-06-02,63.69,24.95
2010-06-03,62.04,24.77
2010-06-04,58.675,23.67
2010-06-07,58.31,23.16
2010-06-08,59.24,23.63
2010-06-09,58.01,23.43
2010-06-10,60.58,24.34
2010-06-11,61.25,24.3
2010-06-14,60.2,24.13
2010-06-15,61.96,24.8
2010-06-16,62.35,24.74
2010-06-17,62.19,24.7
2010-06-18,62.78,24.84
2010-06-21,61.87,24.82
2010-06-22,60.63,24.48
2010-06-23,60.71,24.3
2010-06-24,59.07,23.74
2010-06-25,61.03,24.41
2010-06-28,59.83,24.34
2010-06-29,57.58,23.28
2010-06-30,56.5,22.89
2010-07-01,56.32,22.69
2010-07-02,55.67,22.34
2010-07-06,56.74,22.58
2010-07-07,61.15,23.87
2010-07-08,61.14,23.94
2010-07-09,61.89,24.5
2010-07-12,61.49,24.59
2010-07-13,62.74,25.29
2010-07-14,61.29,24.91
2010-07-15,60.88,24.79
2010-07-16,58.23,23.4
2010-07-19,57.97,23.34
2010-07-20,58.94,23.32
2010-07-21,58.54,22.785
2010-07-22,59.78,23.6
2010-07-23,61.02,23.76
2010-07-26,61.85,24.37
2010-07-27,61.3,24.53
2010-07-28,59.63,24.24
2010-07-29,59.6,24.21
2010-07-30,59.39,24.19
2010-08-02,60.96,24.91
2010-08-03,60.35,24.59
2010-08-04,60.33,24.54
2010-08-05,60.17,24.42
2010-08-06,58.83,24.1
2010-08-09,58.02,24.19
2010-08-10,58.71,24.05
2010-08-11,56.75,23.02
2010-08-12,56.09,22.89
2010-08-13,55.09,22.86
2010-08-16,55.64,22.83
2010-08-17,55.42,22.85
2010-08-18,56.26,22.93
2010-08-19,54.29,22.37
2010-08-20,52.73,22.29
2010-08-23,52.15,22.14
2010-08-24,50.56,21.67
2010-08-25,50.54,21.56
2010-08-26,50.53,21.45
