date,PTEN,XES
1/4/2010,16.19,294.79996
1/5/2010,17.45,302.09992
1/6/2010,17.67,307.89994
1/7/2010,17.77,308.09998
1/8/2010,18.37,314.59992
1/11/2010,17.8,309.79996
1/12/2010,17.43,302.59995
1/13/2010,17.67,305.29999
1/14/2010,18.21,307.39991
1/15/2010,17.98,305.49988
1/19/2010,18.14,308.49991
1/20/2010,17.98,303.19993
1/21/2010,18.05,296.49994
1/22/2010,16.59,285.1999
1/25/2010,16.92,290.1999
1/26/2010,16.54,289.79996
1/27/2010,16.41,290.69993
1/28/2010,16.23,285.1999
1/29/2010,15.36,278.49991
2/1/2010,16.1,287.39991
2/2/2010,16.44,290.09995
2/3/2010,16.31,288.29987
2/4/2010,15.51,275
2/5/2010,15.35,272.99988
2/8/2010,15.05,269.29993
2/9/2010,16.04,276.59989
2/10/2010,16.52,276.99997
2/11/2010,16.69,284.59992
2/12/2010,16.41,282.99988
2/16/2010,16.47,290
2/17/2010,16.48,290.29999
2/18/2010,16.13,291.59989
2/19/2010,15.88,294.29993
2/22/2010,15.6,293.09998
2/23/2010,15.11,286.99997
2/24/2010,15.1,288.99994
2/25/2010,15.36,290.39994
2/26/2010,15.44,290.59998
3/1/2010,15.37,294.59992
3/2/2010,15.35,298.29987
3/3/2010,15.56,303.39997
3/4/2010,15.29,300.1999
3/5/2010,15.23,303.19993
3/8/2010,15.28,304.29993
3/9/2010,15.3,303.9
3/10/2010,15.84,306.59989
3/11/2010,15.66,306.99997
3/12/2010,15.31,308.59986
3/15/2010,14.74,305.59998
3/16/2010,14.86,309.29993
3/17/2010,14.55,310.89997
3/18/2010,13.91,302.6999
3/19/2010,13.96,294.89991
3/22/2010,13.98,295.39994
3/23/2010,13.72,296.2999
3/24/2010,13.82,295.59998
3/25/2010,13.25,287.39991
3/26/2010,13.52,287.79999
3/29/2010,13.89,291.89988
3/30/2010,13.98,294.39988
3/31/2010,13.97,296.99997
4/1/2010,14.11,304.09989
4/5/2010,14.62,310.99991
4/6/2010,14.56,313.09998
4/7/2010,14.31,308.9
4/8/2010,14.11,308.49991
4/9/2010,14.31,308.99994
4/12/2010,14.3,310
4/13/2010,14.45,308.09998
4/14/2010,14.73,314.59992
4/15/2010,14.66,315.59998
4/16/2010,14.44,308.19993
4/19/2010,14.48,307.79999
4/20/2010,14.825,318.29987
4/21/2010,15.22,320.1999
4/22/2010,15.56,324.59992
4/23/2010,15.64,331.19996
4/26/2010,15.33,329.59992
4/27/2010,14.83,315.99991
4/28/2010,15.08,321.19996
4/29/2010,15.47,324.19999
4/30/2010,15.31,316.99997
5/3/2010,15.05,319.29993
5/4/2010,14.77,307.59995
5/5/2010,14.49,302.39991
5/6/2010,13.83,289.09989
5/7/2010,13.38,278.39997
5/10/2010,14.09,292.39991
5/11/2010,13.83,292.39991
5/12/2010,14.11,299.39988
5/13/2010,13.94,295.39994
5/14/2010,13.54,288.09998
5/17/2010,13.47,283.29987
5/18/2010,13.37,279.29993
5/19/2010,13.33,274.59992
5/20/2010,12.81,259.09989
5/21/2010,12.97,266.69999
5/24/2010,12.49,257.99988
5/25/2010,12.46,262.29996
5/26/2010,12.69,263.99994
5/27/2010,13.59,274.89991
5/28/2010,14.03,264.39988
6/1/2010,13.64,245
6/2/2010,13.85,257.79999
6/3/2010,14.63,260.69993
6/4/2010,13.9,252.99988
6/7/2010,13.76,249.09989
6/8/2010,13.83,252.29996
6/9/2010,13.81,251.2999
6/10/2010,14.74,267.6999
6/11/2010,14.67,268.9
6/14/2010,14.48,267.19986
6/15/2010,14.93,277.19986
6/16/2010,14.92,276.99997
6/17/2010,14.78,275.59998
6/18/2010,14.93,278.29987
6/21/2010,14.76,275.79987
6/22/2010,14.05,265.99991
6/23/2010,14.06,263.7999
6/24/2010,13.52,257.29996
6/25/2010,13.63,261.79993
6/28/2010,13.28,258.19993
6/29/2010,12.75,249.89991
6/30/2010,12.87,250
7/1/2010,13.04,251.59989
7/2/2010,12.94,251.4
7/6/2010,13.73,253.99994
7/7/2010,14.43,265.49988
7/8/2010,14.48,269.79996
7/9/2010,14.39,270.69993
7/12/2010,14.38,268.39997
7/13/2010,14.73,271.09986
7/14/2010,14.79,271.2999
7/15/2010,14.88,271.09986
7/16/2010,14.15,262.89994
7/19/2010,14.55,267.29996
7/20/2010,14.92,275.09995
7/21/2010,14.96,270.89997
7/22/2010,15.56,276.89988
7/23/2010,15.66,281.09986
7/26/2010,16.06,283.59986
7/27/2010,15.9,281.2999
7/28/2010,15.91,278.99994
7/29/2010,16.27,281.2999
7/30/2010,16.43,281.4
8/2/2010,16.41,290.09995
8/3/2010,16.23,287.99988
8/4/2010,16.38,290.79987
8/5/2010,16.12,288.09998
8/6/2010,16.13,284.49997
8/9/2010,16.15,284.29993
8/10/2010,15.86,280.1999
8/11/2010,15.03,268.69996
8/12/2010,15.1275,267.5
8/13/2010,14.79,266.4
8/16/2010,14.71,267.99988
8/17/2010,14.76,274.39988
8/18/2010,14.79,272.59995
8/19/2010,14.68,266.69999
8/20/2010,14.22,261.89988
8/23/2010,14.12,261.99997
8/24/2010,14.07,260.59998
8/25/2010,13.9,258.99994
8/26/2010,14.03,257.6999
8/27/2010,14.77,266.99997
8/30/2010,14.71,264.39988
8/31/2010,14.75,261.99997
9/1/2010,15.3,273.69996
9/2/2010,15.49,276.89988
9/3/2010,15.65,279.79996
9/7/2010,15.35,275.39994
9/8/2010,15.87,278.9
9/9/2010,15.85,279.89991
9/10/2010,16.22,284.59992
9/13/2010,16.5,288.39997
9/14/2010,16.19,287.19986
9/15/2010,16.38,287.79999
9/16/2010,15.91,283.7999
9/17/2010,15.865,282.89994
9/20/2010,16.32,288.99994
9/21/2010,16.44,290.89997
9/22/2010,16.4,288.9
9/23/2010,16.45,286.89988
9/24/2010,16.58,293.7999
9/27/2010,16.84,291.19996
9/28/2010,16.89,294.69986
9/29/2010,17.19,299.39988
9/30/2010,17.08,296.69999
10/1/2010,16.93,298.19993
10/4/2010,16.67,292.29996
10/5/2010,17.27,299.89991
10/6/2010,17.26,299.09989
10/7/2010,16.7,296.49994
10/8/2010,17.24,303.09998
10/11/2010,17.29,303.19993
10/12/2010,17.78,305.99991
10/13/2010,18.21,311.89988
10/14/2010,18.5,310.49988
10/15/2010,19.54,313.69996
10/18/2010,19.59,311.69999
10/19/2010,19.11,303.99994
10/20/2010,19.55,308.09998
10/21/2010,19.44,305.59998
10/22/2010,19.73,310.69993
10/25/2010,19.91,310.39994
10/26/2010,20.01,312.6999
10/27/2010,19.95,316.4
10/28/2010,19.17,311.99997
10/29/2010,19.41,313.39997
11/1/2010,19.53,314.39988
11/2/2010,19.22,317.5
11/3/2010,19.24,320
11/4/2010,19.78,330.09995
11/5/2010,19.68,330
11/8/2010,20.05,333.49991
