date,SBUX,XLY
1/4/2010,11.524994,30
1/5/2010,11.7949985,30.11
1/6/2010,11.7099995,30.15
1/7/2010,11.679993,30.4
1/8/2010,11.6399995,30.39
1/11/2010,11.604996,30.33
1/12/2010,11.4099965,29.94
1/13/2010,11.6875,30.28
1/14/2010,11.774994,30.28
1/15/2010,11.634995,29.98
1/19/2010,11.7899935,30.38
1/20/2010,11.644997,29.97
1/21/2010,11.8379975,29.59
1/22/2010,11.4549945,29.02
1/25/2010,11.199997,29.17
1/26/2010,11.269997,29.21
1/27/2010,11.2049945,29.26
1/28/2010,11.0399935,29.09
1/29/2010,10.894997,28.91
2/1/2010,11.114998,29.28
2/2/2010,11.2249985,29.69
2/3/2010,11.2149965,29.71
2/4/2010,10.904999,28.85
2/5/2010,10.8499985,28.77
2/8/2010,10.9549945,28.59
2/9/2010,11.094994,29.03
2/10/2010,11.184998,28.91
2/11/2010,11.279999,29.25
2/12/2010,11.2999955,29.25
2/16/2010,11.439995,29.72
2/17/2010,11.574997,29.96
2/18/2010,11.6299975,30.15
2/19/2010,11.679993,30.22
2/22/2010,11.449997,30.21
2/23/2010,11.3399965,30.03
2/24/2010,11.5399935,30.42
2/25/2010,11.449997,30.47
2/26/2010,11.4549945,30.52
3/1/2010,11.644997,31
3/2/2010,11.6649935,30.84
3/3/2010,11.529999,30.93
3/4/2010,11.4599995,31.21
3/5/2010,11.684998,31.79
3/8/2010,11.6599965,31.87
3/9/2010,11.809998,31.82
3/10/2010,12.114998,31.89
3/11/2010,12.134995,32.12
3/12/2010,12.1399995,32.21
3/15/2010,12.2099995,32.17
3/16/2010,12.644997,32.41
3/17/2010,12.779999,32.57
3/18/2010,12.509995,32.56
3/19/2010,12.484993,32.4
3/22/2010,12.6199955,32.74
3/23/2010,12.7049945,32.87
3/24/2010,12.644997,32.74
3/25/2010,12.104996,32.93
3/26/2010,12.2949985,33.06
3/29/2010,12.304993,33.11
3/30/2010,12.279999,33.08
3/31/2010,12.134995,32.84
4/1/2010,12.1199955,33.07
4/5/2010,12.304993,33.47
4/6/2010,12.2999955,33.52
4/7/2010,12.4549945,33.4
4/8/2010,12.4149935,33.72
4/9/2010,12.359993,33.97
4/12/2010,12.2449955,33.97
4/13/2010,12.364998,34.15
4/14/2010,12.4199985,34.68
4/15/2010,12.564995,34.83
4/16/2010,12.479996,34.37
4/19/2010,12.449997,34.43
4/20/2010,12.6299975,34.85
4/21/2010,12.695,35.01
4/22/2010,13.625,35.64
4/23/2010,13.6299975,35.67
4/26/2010,13.695,35.95
4/27/2010,13.2649995,34.91
4/28/2010,13.109993,34.79
4/29/2010,13.2999955,35.56
4/30/2010,12.989998,34.82
5/3/2010,13.5899965,35.52
5/4/2010,13.0149995,34.4825
5/5/2010,13.109993,33.99
5/6/2010,12.804993,32.78
5/7/2010,12.725243,32.18
5/10/2010,13.519997,33.86
5/11/2010,13.3499985,33.85
5/12/2010,13.9249955,34.34
5/13/2010,13.719994,33.57
5/14/2010,13.2549975,33.01
5/17/2010,13.4549945,33.26
5/18/2010,13.2899935,32.64
5/19/2010,13.094994,32.44
5/20/2010,12.5499955,31.18
5/21/2010,12.644997,31.73
5/24/2010,12.5349965,31.51
5/25/2010,12.4599995,31.83
5/26/2010,12.354996,31.73
5/27/2010,13.009995,32.87
5/28/2010,12.945,32.37
6/1/2010,12.8499985,31.88
6/2/2010,13.2899935,32.68
6/3/2010,13.429993,32.79
6/4/2010,13.0762485,31.52
6/7/2010,12.769997,30.92
6/8/2010,12.9249955,31.18
6/9/2010,13.154999,31.22
6/10/2010,13.489998,32.28
6/11/2010,13.574997,32.25
6/14/2010,13.729996,32.34
6/15/2010,13.9649965,33.11
6/16/2010,13.9949955,32.88
6/17/2010,13.989998,32.68
6/18/2010,14.0449985,32.47
6/21/2010,14.009995,32.21
6/22/2010,13.614998,31.49
6/23/2010,13.6599965,31.47
6/24/2010,13.3349995,30.72
6/25/2010,13.404999,30.81
6/28/2010,13.195,30.58
6/29/2010,12.5049975,29.49
6/30/2010,12.149994,29.13
7/1/2010,12.3299945,29.37
7/2/2010,12.1749955,29.04
7/6/2010,11.8052445,29.04
7/7/2010,12.199997,29.86
7/8/2010,12.4199985,30.12
7/9/2010,12.649994,30.41
7/12/2010,12.634995,30.45
7/13/2010,12.969994,31.21
7/14/2010,13,31.01
7/15/2010,13.064995,31.11
7/16/2010,12.6749955,30.02
7/19/2010,12.7449955,30.31
7/20/2010,12.884995,30.74
7/21/2010,12.5849995,30.19
7/22/2010,12.574997,31.1
7/23/2010,12.689995,31.55
7/26/2010,12.695,32.02
7/27/2010,12.5899965,31.61
7/28/2010,12.4949955,31.39
7/29/2010,12.4099965,31.23
7/30/2010,12.4249955,31.44
8/2/2010,12.3399965,32.11
8/3/2010,12.359993,31.62
8/4/2010,12.5899965,32.15
8/5/2010,12.5899965,32.25
8/6/2010,12.6649935,32.03
8/9/2010,12.8299945,32.34
8/10/2010,12.699997,32.06
8/11/2010,12.3299945,31.22
8/12/2010,12.229996,31.1
8/13/2010,11.9949955,30.75
8/16/2010,11.9099965,30.74
8/17/2010,12.1474995,31.24
8/18/2010,12.25,31.53
8/19/2010,12.019997,30.92
8/20/2010,12.024994,30.9
8/23/2010,11.8399965,30.62
8/24/2010,11.4099965,30.1
8/25/2010,11.679993,30.41
8/26/2010,11.634995,30.2
8/27/2010,11.734993,30.69
8/30/2010,11.7149965,30.15
8/31/2010,11.489998,30.19
9/1/2010,11.8399965,31.23
9/2/2010,12.3299945,31.81
9/3/2010,12.5349965,32.28
9/7/2010,12.434998,31.76
9/8/2010,12.3899995,31.99
9/9/2010,12.4149935,32.02
9/10/2010,12.699997,32.29
9/13/2010,12.875,32.68
9/14/2010,12.8899995,32.71
9/15/2010,12.875,32.77
9/16/2010,12.864998,32.77
9/17/2010,12.7649995,32.75
9/20/2010,13.139946,33.38
9/21/2010,13.0799945,33.24
9/22/2010,12.9649965,33.02
9/23/2010,12.7249985,32.85
9/24/2010,13.064995,33.7
9/27/2010,13.074997,33.48
9/28/2010,13.07,33.74
9/29/2010,12.899994,33.5
9/30/2010,12.774994,33.41
10/1/2010,12.969994,33.45
10/4/2010,12.844994,33.38
10/5/2010,13.125,34.08
10/6/2010,13.0499955,33.85
10/7/2010,13.0349965,34.01
10/8/2010,13.0349965,34.36
10/11/2010,12.9949955,34.37
10/12/2010,13.57,34.45
10/13/2010,13.6299975,34.5
10/14/2010,13.712494,34.46
10/15/2010,13.769997,34.71
10/18/2010,13.6749955,34.76
10/19/2010,13.5399935,34.13
10/20/2010,13.7249985,34.57
10/21/2010,13.644997,34.77
10/22/2010,14.2449955,34.96
10/25/2010,14.195,35.18
10/26/2010,14.2649995,35.33
10/27/2010,14.1299975,35.11
10/28/2010,14.114998,35.27
10/29/2010,14.279999,35.26
11/1/2010,14.404999,35.19
11/2/2010,14.439995,35.59
11/3/2010,14.5499955,35.77
11/4/2010,14.875,36.33
11/5/2010,15.434998,36.51
11/8/2010,15.314995,36.45
11/9/2010,15.0849995,36.12
11/10/2010,15.234993,36.44
11/11/2010,15.3699955,36.39
11/12/2010,15.094994,36.01
11/15/2010,15.3924945,35.94
11/16/2010,14.9199985,35.45
11/17/2010,14.9949955,35.76
11/18/2010,15.2899935,36.07
11/19/2010,15.3799975,36.24
11/22/2010,15.434998,36.41
11/23/2010,15.199997,35.87
11/24/2010,15.739998,36.61
11/26/2010,15.5849995,36.31
11/29/2010,15.394997,36.23
11/30/2010,15.2999955,36.15
12/1/2010,15.8499985,36.92
12/2/2010,16.3799975,37.4
12/3/2010,16.359993,37.42
12/6/2010,16.359993,37.46
12/7/2010,16.3899995,37.48
12/8/2010,16.2899935,37.38
12/9/2010,16.199997,37.43
12/10/2010,16.2949985,37.56
12/13/2010,15.9949955,37.38
12/14/2010,16.0537495,37.37
12/15/2010,15.934998,37.25
