date,STT,KCE
2010-01-04,44.46,37.71
2010-01-05,44.55,37.94
2010-01-06,43.81,37.76
2010-01-07,44.6,37.94
2010-01-08,45.51,37.94
2010-01-11,44.36,37.91
2010-01-12,44.2,37.41
2010-01-13,44.61,37.74
2010-01-14,43.79,37.63
2010-01-15,42.67,37.12
2010-01-19,43.2,37.57
2010-01-20,46.28,37.51
2010-01-21,45.47,36.7964
2010-01-22,43.36,35.59
2010-01-25,43.94,35.86
2010-01-26,43.08,35.0634
2010-01-27,44.51,35.68
2010-01-28,43.83,35.18
2010-01-29,42.88,34.66
2010-02-01,44.16,35.13
2010-02-02,44.57,35.4
2010-02-03,44.4,35.22
2010-02-04,43.07,33.64
2010-02-05,43.35,34.15
2010-02-08,43.0,33.65
2010-02-09,44.22,33.97
2010-02-10,44.64,34.32
2010-02-11,45.05,34.46
2010-02-12,44.62,34.66
2010-02-16,45.47,35.14
2010-02-17,44.84,34.99
2010-02-18,45.23,35.01
2010-02-19,46.64,35.34
2010-02-22,46.78,35.36
2010-02-23,45.86,34.82
2010-02-24,45.38,35.14
2010-02-25,44.99,35.0
2010-02-26,44.91,35.31
2010-03-01,44.97,35.54
2010-03-02,45.03,35.84
2010-03-03,44.92,35.87
2010-03-04,45.1,36.35
2010-03-05,45.64,37.05
2010-03-08,45.49,37.32
2010-03-09,45.78,37.23
2010-03-10,45.31,37.33
2010-03-11,45.03,37.54
2010-03-12,44.65,37.44
2010-03-15,44.53,37.35
2010-03-16,45.09,37.62
2010-03-17,46.27,38.07
2010-03-18,46.24,37.95
2010-03-19,45.95,37.59
2010-03-22,45.69,37.58
2010-03-23,46.16,37.71
2010-03-24,45.37,37.51
2010-03-25,46.06,37.59
2010-03-26,46.16,37.36
2010-03-29,46.27,37.49
2010-03-30,45.78,37.41
2010-03-31,45.14,37.21
2010-04-01,45.97,37.58
2010-04-05,46.35,37.97
2010-04-06,46.61,38.3
2010-04-07,46.41,38.26
2010-04-08,46.38,38.38
2010-04-09,46.96,38.57
2010-04-12,48.07,38.85
2010-04-13,47.85,38.96
2010-04-14,47.85,39.75
2010-04-15,47.95,39.79
2010-04-16,46.5,38.49
2010-04-19,47.25,38.75
2010-04-20,45.28,38.78
2010-04-21,43.67,38.81
2010-04-22,44.39,39.06
2010-04-23,44.48,39.3
2010-04-26,43.75,38.81
2010-04-27,42.78,37.91
2010-04-28,43.54,38.06
2010-04-29,44.32,39.05
2010-04-30,43.5,38.38
2010-05-03,43.79,38.87
2010-05-04,42.61,37.7
2010-05-05,43.41,37.58
2010-05-06,42.12,36.25
2010-05-07,41.34,35.41
2010-05-10,43.28,36.99
2010-05-11,42.81,36.877
2010-05-12,42.8,37.19
2010-05-13,41.91,36.93
2010-05-14,41.63,36.08
2010-05-17,41.54,36.16
2010-05-18,40.58,35.21
2010-05-19,40.6,35.2
2010-05-20,39.01,33.71
2010-05-21,39.65,34.73
2010-05-24,38.59,33.86
2010-05-25,38.88,34.02
2010-05-26,38.29,33.81
2010-05-27,39.14,35.04
2010-05-28,38.17,34.47
2010-06-01,37.02,33.68
2010-06-02,38.38,34.67
2010-06-03,38.91,34.73
2010-06-04,36.48,33.61
2010-06-07,36.28,32.98
2010-06-08,36.86,33.1
2010-06-09,36.5,32.69
2010-06-10,37.55,33.69
2010-06-11,37.68,34.12
2010-06-14,37.03,33.79
2010-06-15,38.49,34.4
2010-06-16,38.15,34.36
2010-06-17,37.57,33.99
2010-06-18,37.2,33.92
2010-06-21,37.17,33.76
2010-06-22,36.41,33.39
2010-06-23,35.81,33.16
2010-06-24,34.86,32.45
2010-06-25,35.83,33.03
2010-06-28,35.31,32.95
2010-06-29,33.95,31.49
2010-06-30,33.82,31.07
2010-07-01,33.28,30.81
2010-07-02,32.81,30.59
2010-07-06,33.34,30.57
2010-07-07,36.63,31.72
2010-07-08,36.38,31.95
2010-07-09,37.21,32.4
2010-07-12,37.12,32.25
2010-07-13,38.34,33.06
2010-07-14,37.58,32.68
2010-07-15,37.84,32.77
2010-07-16,36.91,31.94
2010-07-19,37.35,32.1
2010-07-20,39.53,32.51
2010-07-21,37.88,32.16
2010-07-22,39.06,32.97
2010-07-23,39.79,33.24
2010-07-26,39.7,33.74
2010-07-27,39.0,33.6
2010-07-28,38.87,33.37
2010-07-29,39.02,33.61
2010-07-30,38.92,33.33
2010-08-02,40.11,34.18
2010-08-03,39.86,33.99
2010-08-04,39.97,34.55
2010-08-05,39.95,34.49
