date,T,XLK
2010-01-04,28.58,23.27
2010-01-05,28.44,23.24
2010-01-06,27.61,22.98
2010-01-07,27.3,22.89
2010-01-08,27.1,23.04
2010-01-11,26.97,22.95
2010-01-12,26.96,22.7
2010-01-13,26.64,22.92
2010-01-14,26.19,22.98
2010-01-15,25.79,22.66
2010-01-19,26.2,23.05
2010-01-20,25.83,22.68
2010-01-21,25.67,22.44
2010-01-22,25.39,21.66
2010-01-25,25.58,21.84
2010-01-26,25.33,21.78
2010-01-27,25.62,21.96
2010-01-28,25.54,21.33
2010-01-29,25.36,20.959
2010-02-01,25.38,21.2
2010-02-02,25.69,21.41
2010-02-03,25.58,21.46
2010-02-04,25.03,20.86
2010-02-05,25.24,21.07
2010-02-08,24.98,20.98
2010-02-09,25.26,21.16
2010-02-10,25.12,21.1
2010-02-11,25.19,21.32
2010-02-12,25.07,21.36
2010-02-16,25.32,21.68
2010-02-17,25.4,21.74
2010-02-18,25.24,21.88
2010-02-19,25.1,21.82
2010-02-22,25.02,21.78
2010-02-23,24.83,21.51
2010-02-24,24.91,21.72
2010-02-25,24.77,21.66
2010-02-26,24.81,21.69
2010-03-01,25.0,21.97
2010-03-02,24.88,21.94
2010-03-03,24.89,21.95
2010-03-04,24.96,22.04
2010-03-05,24.99,22.31
2010-03-08,25.28,22.43
2010-03-09,25.56,22.53
2010-03-10,25.52,22.68
2010-03-11,25.6,22.77
2010-03-12,25.62,22.75
2010-03-15,25.78,22.73
2010-03-16,25.85,22.9
2010-03-17,25.9,22.97
2010-03-18,26.06,23.0
2010-03-19,26.24,22.79
2010-03-22,26.4,22.96
2010-03-23,26.55,23.18
2010-03-24,26.26,23.07
2010-03-25,26.15,23.11
2010-03-26,26.24,23.0
2010-03-29,26.51,23.07
2010-03-30,25.95,23.17
2010-03-31,25.84,23.1
2010-04-01,26.11,23.06
2010-04-05,26.31,23.33
2010-04-06,26.31,23.35
2010-04-07,25.65,23.26
2010-04-08,26.02,23.3
2010-04-09,26.44,23.48
2010-04-12,26.38,23.53
2010-04-13,26.2,23.6
2010-04-14,26.24,23.94
2010-04-15,26.24,24.05
2010-04-16,25.93,23.73
2010-04-19,26.38,23.78
2010-04-20,26.66,23.91
2010-04-21,26.34,23.96
2010-04-22,26.27,24.02
2010-04-23,26.25,24.08
2010-04-26,26.27,24.05
2010-04-27,25.95,23.58
2010-04-28,25.91,23.65
2010-04-29,26.14,23.89
2010-04-30,26.06,23.389
2010-05-03,26.28,23.71
2010-05-04,25.9,23.03
2010-05-05,25.77,22.93
2010-05-06,25.14,22.24
2010-05-07,25.1,21.75
2010-05-10,25.67,22.75
2010-05-11,25.64,22.6
2010-05-12,25.82,23.19
2010-05-13,25.74,22.85
2010-05-14,25.4,22.41
2010-05-17,25.77,22.52
2010-05-18,25.59,22.18
2010-05-19,25.57,22.01
2010-05-20,24.96,21.31
2010-05-21,24.85,21.47
2010-05-24,24.43,21.37
2010-05-25,24.32,21.31
2010-05-26,24.13,21.1
2010-05-27,24.63,21.82
2010-05-28,24.3,21.64
2010-06-01,24.33,21.43
2010-06-02,24.78,21.91
2010-06-03,24.8,22.13
2010-06-04,24.17,21.42
2010-06-07,24.32,21.11
2010-06-08,24.97,21.15
2010-06-09,24.9,21.04
2010-06-10,25.44,21.55
2010-06-11,25.29,21.74
2010-06-14,25.17,21.7
2010-06-15,25.54,22.27
2010-06-16,25.52,22.33
2010-06-17,25.57,22.41
2010-06-18,25.43,22.33
2010-06-21,25.44,22.17
2010-06-22,25.36,21.98
2010-06-23,25.44,21.94
2010-06-24,25.05,21.5
2010-06-25,24.79,21.475
2010-06-28,24.95,21.52
2010-06-29,24.46,20.72
2010-06-30,24.19,20.4
2010-07-01,24.34,20.32
2010-07-02,24.29,20.29
2010-07-06,24.41,20.49
2010-07-07,24.33,21.15
2010-07-08,24.57,21.28
2010-07-09,24.83,21.39
2010-07-12,24.84,21.49
2010-07-13,24.95,21.8
2010-07-14,24.96,21.93
2010-07-15,25.0,22.0
2010-07-16,24.69,21.3725
2010-07-19,24.88,21.58
2010-07-20,24.79,21.72
2010-07-21,24.92,21.46
2010-07-22,25.51,22.04
2010-07-23,25.54,22.19
2010-07-26,25.96,22.32
2010-07-27,26.15,22.39
2010-07-28,26.2,22.21
2010-07-29,26.02,22.01
2010-07-30,25.94,21.92
2010-08-02,26.59,22.38
2010-08-03,26.69,22.26
2010-08-04,26.64,22.44
2010-08-05,26.74,22.34
2010-08-06,26.54,22.28
2010-08-09,26.86,22.43
2010-08-10,27.01,22.2
2010-08-11,26.55,21.67
2010-08-12,26.66,21.37
2010-08-13,26.72,21.27
2010-08-16,26.65,21.31
2010-08-17,26.97,21.54
2010-08-18,27.28,21.66
2010-08-19,26.97,21.4
2010-08-20,26.45,21.35
2010-08-23,26.49,21.16
2010-08-24,26.72,20.87
2010-08-25,26.89,21.0
2010-08-26,26.7,20.79
2010-08-27,26.94,21.04
2010-08-30,26.63,20.76
2010-08-31,27.03,20.69
2010-09-01,27.35,21.22
2010-09-02,27.4,21.41
2010-09-03,27.44,21.73
2010-09-07,27.27,21.55
2010-09-08,27.39,21.67
2010-09-09,27.81,21.73
2010-09-10,27.83,21.74
2010-09-13,27.93,22.13
2010-09-14,27.93,22.22
2010-09-15,28.01,22.36
2010-09-16,28.11,22.49
2010-09-17,28.17,22.53
2010-09-20,28.54,22.86
2010-09-21,28.61,22.82
2010-09-22,28.59,22.71
2010-09-23,28.51,22.68
2010-09-24,28.58,23.12
2010-09-27,28.87,23.13
2010-09-28,28.92,23.16
2010-09-29,28.71,23.11
2010-09-30,28.6,23.02
2010-10-01,28.81,23.03
2010-10-04,28.86,22.84
2010-10-05,29.36,23.29
2010-10-06,28.62,23.18
2010-10-07,28.25,23.18
2010-10-08,28.22,23.31
2010-10-11,28.32,23.35
2010-10-12,28.39,23.49
2010-10-13,28.47,23.68
2010-10-14,28.5,23.69
2010-10-15,28.33,24.09
2010-10-18,28.62,24.25
2010-10-19,28.21,23.82
2010-10-20,28.61,24.02
2010-10-21,28.34,24.04
2010-10-22,28.29,24.11
2010-10-25,28.36,24.18
2010-10-26,28.31,24.24
2010-10-27,28.35,24.31
2010-10-28,28.5,24.31
2010-10-29,28.52,24.35
2010-11-01,28.72,24.37
2010-11-02,28.94,24.61
2010-11-03,29.06,24.75
2010-11-04,29.44,25.12
2010-11-05,29.27,25.1
2010-11-08,29.18,25.12
2010-11-09,29.18,25.05
2010-11-10,29.05,25.07
2010-11-11,28.83,24.685
2010-11-12,28.46,24.34
