date,TOL,XHB
2010-01-04,19.05,15.32
2010-01-05,19.05,15.43
2010-01-06,18.94,15.51
2010-01-07,20.26,16.15
2010-01-08,20.03,16.22
2010-01-11,19.95,16.17
2010-01-12,19.77,15.95
2010-01-13,20.18,15.98
2010-01-14,19.74,15.94
2010-01-15,19.34,15.63
2010-01-19,19.56,15.86
2010-01-20,19.1,15.55
2010-01-21,18.66,15.23
2010-01-22,18.28,14.95
2010-01-25,18.15,15.11
2010-01-26,18.22,15.1
2010-01-27,18.4,15.15
2010-01-28,18.49,15.15
2010-01-29,18.47,15.11
2010-02-01,18.62,15.16
2010-02-02,19.66,15.89
2010-02-03,19.5,15.68
2010-02-04,18.82,15.19
2010-02-05,18.65,15.02
2010-02-08,19.01,15.17
2010-02-09,19.07,15.45
2010-02-10,19.14,15.39
2010-02-11,19.83,15.76
2010-02-12,19.87,15.88
2010-02-16,20.05,16.17
2010-02-17,19.71,16.0
2010-02-18,19.1,16.04
2010-02-19,19.16,16.08
2010-02-22,19.39,16.15
2010-02-23,18.9,15.74
2010-02-24,18.78,15.72
2010-02-25,18.73,15.72
2010-02-26,18.83,15.91
2010-03-01,19.01,16.25
2010-03-02,18.95,16.15
2010-03-03,19.34,16.32
2010-03-04,19.16,16.26
2010-03-05,19.53,16.57
2010-03-08,19.76,16.81
2010-03-09,20.14,16.73
2010-03-10,20.21,16.76
2010-03-11,20.1,16.87
2010-03-12,19.9,16.82
2010-03-15,19.82,16.81
2010-03-16,20.44,16.96
2010-03-17,20.28,16.93
2010-03-18,20.32,16.86
2010-03-19,20.27,16.54
2010-03-22,20.32,16.8
2010-03-23,20.43,16.94
2010-03-24,20.61,16.9
2010-03-25,20.71,16.88
2010-03-26,21.26,16.96
2010-03-29,21.07,17.01
2010-03-30,21.01,17.03
2010-03-31,20.8,16.82
2010-04-01,20.47,16.98
2010-04-05,20.8,17.3
2010-04-06,20.42,17.17
2010-04-07,20.14,16.92
2010-04-08,20.27,17.27
2010-04-09,20.33,17.44
2010-04-12,20.33,17.66
2010-04-13,20.06,17.76
2010-04-14,20.69,18.31
2010-04-15,20.56,18.12
2010-04-16,20.43,17.86
2010-04-19,20.44,17.88
2010-04-20,20.88,18.17
2010-04-21,21.65,18.61
2010-04-22,22.4,19.31
2010-04-23,23.0,19.64
2010-04-26,22.79,19.5
2010-04-27,22.16,18.68
2010-04-28,22.24,18.92
2010-04-29,22.89,19.47
2010-04-30,22.57,19.1
2010-05-03,23.15,19.51
2010-05-04,22.42,18.86
2010-05-05,22.02,18.36
2010-05-06,21.5,17.66
2010-05-07,20.7,17.1
2010-05-10,22.38,18.39
2010-05-11,22.39,18.38
2010-05-12,22.44,18.89
2010-05-13,21.3,18.34
2010-05-14,20.91,17.96
2010-05-17,20.88,17.94
2010-05-18,21.15,17.63
2010-05-19,20.8,17.36
2010-05-20,20.31,16.62
2010-05-21,20.69,16.74
2010-05-24,20.52,16.58
2010-05-25,20.61,16.71
2010-05-26,20.78,16.78
2010-05-27,21.12,17.42
2010-05-28,21.07,17.22
2010-06-01,20.13,16.58
2010-06-02,20.73,16.86
2010-06-03,20.23,16.9
2010-06-04,19.5,16.03
2010-06-07,18.61,15.43
2010-06-08,18.59,15.38
2010-06-09,18.3,15.42
2010-06-10,18.83,16.13
2010-06-11,18.84,16.12
2010-06-14,18.64,16.23
2010-06-15,18.93,16.59
2010-06-16,18.78,16.41
2010-06-17,18.03,16.02
2010-06-18,17.95,15.82
2010-06-21,17.63,15.61
2010-06-22,17.06,15.23
2010-06-23,17.49,15.41
2010-06-24,17.43,15.11
2010-06-25,17.2,15.15
2010-06-28,17.05,15.12
2010-06-29,16.61,14.49
2010-06-30,16.36,14.32
2010-07-01,16.4,14.19
2010-07-02,16.11,14.02
2010-07-06,16.02,13.88
2010-07-07,16.48,14.51
2010-07-08,16.49,14.54
2010-07-09,16.92,14.88
2010-07-12,16.74,14.66
2010-07-13,17.56,15.23
2010-07-14,17.16,14.91
2010-07-15,17.48,14.95
2010-07-16,16.43,14.24
2010-07-19,16.23,14.2
2010-07-20,16.95,14.73
2010-07-21,16.51,14.51
2010-07-22,17.14,15.04
2010-07-23,17.47,15.42
2010-07-26,17.89,15.82
2010-07-27,17.27,15.27
2010-07-28,16.86,14.84
2010-07-29,17.08,14.94
2010-07-30,17.36,15.07
2010-08-02,18.02,15.46
2010-08-03,17.49,15.06
2010-08-04,17.27,15.02
2010-08-05,17.0,14.89
2010-08-06,17.24,14.99
2010-08-09,17.71,15.41
2010-08-10,17.43,14.96
2010-08-11,16.71,14.43
2010-08-12,16.38,14.188
2010-08-13,16.43,14.15
2010-08-16,16.24,14.11
2010-08-17,16.74,14.49
2010-08-18,17.1,14.81
2010-08-19,16.6,14.39
