date,URBN,XRT
2010-01-04,34.91,35.94
2010-01-05,35.56,36.17
2010-01-06,35.28,36.5
2010-01-07,34.08,36.6
2010-01-08,34.01,36.52
2010-01-11,33.82,36.41
2010-01-12,33.59,36.16
2010-01-13,34.16,36.56
2010-01-14,33.78,36.26
2010-01-15,32.45,35.83
2010-01-19,32.72,36.14
2010-01-20,31.62,35.84
2010-01-21,31.45,35.26
2010-01-22,31.05,34.72
2010-01-25,31.12,35.01
2010-01-26,31.38,34.95
2010-01-27,31.54,35.14
2010-01-28,30.52,34.68
2010-01-29,31.57,34.62
2010-02-01,32.49,35.23
2010-02-02,32.67,35.94
2010-02-03,31.99,35.63
2010-02-04,30.85,34.69
2010-02-05,30.83,34.75
2010-02-08,30.91,34.51
2010-02-09,31.85,35.23
2010-02-10,31.39,35.07
2010-02-11,31.14,35.44
2010-02-12,30.84,35.45
2010-02-16,31.2,35.99
2010-02-17,31.56,36.47
2010-02-18,32.1,36.68
2010-02-19,31.96,36.77
2010-02-22,32.04,36.79
2010-02-23,31.66,36.4
2010-02-24,31.79,37.0
2010-02-25,31.88,37.31
2010-02-26,32.2,37.3
2010-03-01,33.18,38.16
2010-03-02,33.11,37.92
2010-03-03,33.4,38.05
2010-03-04,34.34,38.79
2010-03-05,34.98,39.34
2010-03-08,35.32,39.61
2010-03-09,35.84,39.48
2010-03-10,36.31,39.69
2010-03-11,36.46,39.87
2010-03-12,36.49,40.191
2010-03-15,36.75,40.32
2010-03-16,36.42,40.68
2010-03-17,36.04,40.79
2010-03-18,36.14,40.83
2010-03-19,35.6,40.49
2010-03-22,36.44,41.32
2010-03-23,36.39,41.7
2010-03-24,36.29,41.12
2010-03-25,36.85,41.26
2010-03-26,37.98,41.62
2010-03-29,37.51,41.59
2010-03-30,38.13,41.59
2010-03-31,38.07,41.3
2010-04-01,37.84,41.8
2010-04-05,38.91,42.31
2010-04-06,39.15,42.48
2010-04-07,38.29,42.24
2010-04-08,38.29,42.34
2010-04-09,38.56,42.8
2010-04-12,38.05,42.68
2010-04-13,38.32,42.87
2010-04-14,39.18,43.81
2010-04-15,39.4,43.94
2010-04-16,38.41,43.37
2010-04-19,37.97,43.03
2010-04-20,38.2,43.26
2010-04-21,38.42,43.77
2010-04-22,40.3,44.78
2010-04-23,39.87,45.12
2010-04-26,40.56,45.4
2010-04-27,39.16,43.83
2010-04-28,38.12,43.42
2010-04-29,38.15,44.23
2010-04-30,37.56,42.76
2010-05-03,38.48,43.57
2010-05-04,37.54,42.51
2010-05-05,38.05,42.5
2010-05-06,35.92,40.8401
2010-05-07,34.89,39.79
2010-05-10,38.55,42.11
2010-05-11,38.78,42.27
2010-05-12,39.41,43.07
2010-05-13,36.78,41.58
2010-05-14,35.88,40.81
2010-05-17,36.0,41.14
2010-05-18,35.06,40.21
2010-05-19,35.35,39.97
2010-05-20,34.41,38.92
2010-05-21,35.55,39.75
2010-05-24,35.74,39.56
2010-05-25,36.5,39.99
2010-05-26,35.33,39.26
2010-05-27,36.49,40.78
2010-05-28,36.3,40.64
2010-06-01,36.35,39.67
2010-06-02,37.79,40.39
2010-06-03,39.15,40.66
2010-06-04,36.88,38.72
2010-06-07,36.08,37.76
2010-06-08,36.0,38.24
2010-06-09,36.02,38.43
2010-06-10,37.29,39.49
2010-06-11,37.12,39.75
2010-06-14,37.575,40.17
2010-06-15,38.06,40.72
2010-06-16,36.93,40.23
2010-06-17,36.54,39.86
2010-06-18,36.53,39.41
2010-06-21,35.77,38.57
2010-06-22,34.7,37.82
2010-06-23,35.07,38.09
2010-06-24,34.66,37.18
2010-06-25,36.06,37.44
2010-06-28,35.8,37.12
2010-06-29,34.62,35.82
2010-06-30,34.39,35.65
2010-07-01,35.25,36.33
2010-07-02,34.69,35.8
2010-07-06,33.68,35.31
2010-07-07,34.43,36.4225
2010-07-08,33.97,36.42
2010-07-09,34.12,36.95
2010-07-12,33.66,36.57
2010-07-13,33.91,37.57
2010-07-14,33.26,37.4
2010-07-15,33.32,37.62
2010-07-16,31.96,36.28
2010-07-19,32.21,36.42
2010-07-20,33.64,37.3
2010-07-21,32.94,36.6
2010-07-22,33.87,37.64
2010-07-23,34.19,38.45
2010-07-26,34.62,39.11
2010-07-27,32.97,38.46
2010-07-28,32.56,37.94
2010-07-29,32.02,37.84
2010-07-30,32.16,38.12
2010-08-02,32.39,38.97
2010-08-03,31.56,37.8
2010-08-04,32.21,38.52
2010-08-05,33.22,38.43
2010-08-06,33.11,38.18
2010-08-09,33.58,38.75
2010-08-10,32.89,38.11
2010-08-11,31.88,37.28
2010-08-12,31.61,37.51
2010-08-13,30.9,36.88
2010-08-16,31.36,36.97
2010-08-17,32.95,37.44
2010-08-18,33.43,37.91
2010-08-19,33.16,37.34
2010-08-20,32.95,37.43
2010-08-23,32.65,37.05
2010-08-24,31.75,36.37
2010-08-25,32.34,36.98
2010-08-26,31.52,36.52
2010-08-27,31.05,36.97
2010-08-30,30.7,36.04
2010-08-31,30.32,35.92
2010-09-01,31.19,37.36
2010-09-02,32.58,38.18
2010-09-03,33.1,38.77
2010-09-07,32.29,38.19
2010-09-08,33.34,38.59
2010-09-09,33.32,38.38
2010-09-10,33.18,38.7
2010-09-13,33.71,39.54
2010-09-14,34.76,40.32
2010-09-15,34.97,40.3
2010-09-16,34.82,40.29
2010-09-17,34.11,40.33
2010-09-20,34.13,41.11
2010-09-21,33.61,40.69
2010-09-22,33.4,40.6
2010-09-23,33.43,40.65
2010-09-24,34.67,41.84
2010-09-27,34.37,41.65
2010-09-28,34.87,42.2
2010-09-29,31.96,42.02
2010-09-30,31.44,41.82
2010-10-01,31.47,41.97
2010-10-04,31.49,41.57
2010-10-05,32.15,42.22
2010-10-06,32.06,42.02
2010-10-07,31.46,42.4
2010-10-08,31.28,42.83
2010-10-11,30.82,43.33
2010-10-12,31.21,43.8
2010-10-13,31.79,43.71
2010-10-14,31.27,43.55
2010-10-15,31.0,44.03
2010-10-18,31.18,44.12
2010-10-19,29.28,42.83
