date,VZ,XLK
2010-01-04,33.28,23.27
2010-01-05,33.34,23.24
2010-01-06,31.92,22.98
2010-01-07,31.73,22.89
2010-01-08,31.75,23.04
2010-01-11,31.88,22.95
2010-01-12,31.91,22.7
2010-01-13,31.87,22.92
2010-01-14,31.22,22.98
2010-01-15,30.58,22.66
2010-01-19,31.23,23.05
2010-01-20,30.71,22.68
2010-01-21,30.63,22.44
2010-01-22,30.34,21.66
2010-01-25,30.68,21.84
2010-01-26,30.17,21.78
2010-01-27,29.87,21.96
2010-01-28,29.33,21.33
2010-01-29,29.42,20.959
2010-02-01,29.61,21.2
2010-02-02,29.73,21.41
2010-02-03,29.19,21.46
2010-02-04,28.63,20.86
2010-02-05,28.74,21.07
2010-02-08,28.37,20.98
2010-02-09,28.75,21.16
2010-02-10,28.87,21.1
2010-02-11,29.04,21.32
2010-02-12,28.93,21.36
2010-02-16,29.18,21.68
2010-02-17,29.14,21.74
2010-02-18,29.15,21.88
2010-02-19,29.02,21.82
2010-02-22,29.0,21.78
2010-02-23,28.74,21.51
2010-02-24,28.96,21.72
2010-02-25,28.88,21.66
2010-02-26,28.93,21.69
2010-03-01,28.99,21.97
2010-03-02,29.26,21.94
2010-03-03,29.13,21.95
2010-03-04,29.27,22.04
2010-03-05,29.23,22.31
2010-03-08,29.63,22.43
2010-03-09,29.91,22.53
2010-03-10,29.75,22.68
2010-03-11,29.84,22.77
2010-03-12,29.73,22.75
2010-03-15,29.86,22.73
2010-03-16,29.93,22.9
2010-03-17,30.15,22.97
2010-03-18,30.3,23.0
2010-03-19,30.41,22.79
2010-03-22,30.65,22.96
2010-03-23,30.98,23.18
2010-03-24,30.46,23.07
2010-03-25,30.31,23.11
2010-03-26,30.37,23.0
2010-03-29,30.45,23.07
2010-03-30,31.23,23.17
2010-03-31,31.02,23.1
2010-04-01,31.28,23.06
2010-04-05,31.46,23.33
2010-04-06,31.2,23.35
2010-04-07,30.24,23.26
2010-04-08,30.16,23.3
2010-04-09,30.08,23.48
2010-04-12,29.94,23.53
2010-04-13,30.07,23.6
2010-04-14,29.85,23.94
2010-04-15,29.54,24.05
2010-04-16,29.58,23.73
2010-04-19,29.73,23.78
2010-04-20,29.76,23.91
2010-04-21,29.56,23.96
2010-04-22,29.28,24.02
2010-04-23,29.05,24.08
2010-04-26,28.94,24.05
2010-04-27,28.75,23.58
2010-04-28,29.12,23.65
2010-04-29,29.22,23.89
2010-04-30,28.9,23.389
2010-05-03,29.29,23.71
2010-05-04,28.75,23.03
2010-05-05,28.68,22.93
2010-05-06,28.01,22.24
2010-05-07,28.19,21.75
2010-05-10,28.61,22.75
2010-05-11,28.4,22.6
2010-05-12,28.7,23.19
2010-05-13,28.69,22.85
2010-05-14,28.51,22.41
2010-05-17,28.66,22.52
2010-05-18,28.42,22.18
2010-05-19,28.51,22.01
2010-05-20,27.76,21.31
2010-05-21,27.96,21.47
2010-05-24,27.49,21.37
2010-05-25,27.4,21.31
2010-05-26,26.93,21.1
2010-05-27,27.58,21.82
2010-05-28,27.52,21.64
2010-06-01,27.21,21.43
2010-06-02,27.59,21.91
2010-06-03,27.64,22.13
2010-06-04,27.21,21.42
2010-06-07,27.08,21.11
2010-06-08,27.68,21.15
2010-06-09,27.78,21.04
2010-06-10,28.34,21.55
2010-06-11,28.56,21.74
2010-06-14,28.63,21.7
2010-06-15,29.11,22.27
2010-06-16,29.18,22.33
2010-06-17,29.09,22.41
2010-06-18,29.13,22.33
2010-06-21,29.06,22.17
2010-06-22,29.06,21.98
2010-06-23,29.33,21.94
2010-06-24,28.96,21.5
2010-06-25,28.55,21.475
2010-06-28,28.71,21.52
2010-06-29,28.62,20.72
2010-06-30,28.02,20.4
2010-07-01,28.13,20.32
2010-07-02,26.81,20.29
2010-07-06,26.61,20.49
2010-07-07,26.52,21.15
2010-07-08,26.78,21.28
2010-07-09,26.65,21.39
2010-07-12,26.49,21.49
2010-07-13,26.89,21.8
2010-07-14,26.84,21.93
2010-07-15,26.8,22.0
2010-07-16,26.69,21.3725
2010-07-19,26.72,21.58
2010-07-20,26.67,21.72
2010-07-21,26.52,21.46
2010-07-22,27.0,22.04
2010-07-23,28.02,22.19
2010-07-26,28.28,22.32
2010-07-27,28.59,22.39
2010-07-28,28.91,22.21
2010-07-29,28.88,22.01
2010-07-30,29.06,21.92
2010-08-02,29.56,22.38
2010-08-03,29.54,22.26
2010-08-04,29.4,22.44
2010-08-05,29.55,22.34
2010-08-06,29.55,22.28
2010-08-09,29.86,22.43
2010-08-10,30.02,22.2
2010-08-11,29.56,21.67
2010-08-12,30.32,21.37
2010-08-13,30.03,21.27
2010-08-16,29.96,21.31
2010-08-17,30.17,21.54
2010-08-18,30.15,21.66
2010-08-19,29.62,21.4
2010-08-20,29.37,21.35
2010-08-23,29.41,21.16
2010-08-24,29.47,20.87
2010-08-25,29.66,21.0
2010-08-26,29.5,20.79
2010-08-27,29.84,21.04
2010-08-30,29.44,20.76
2010-08-31,29.53,20.69
2010-09-01,30.26,21.22
2010-09-02,30.11,21.41
2010-09-03,30.2,21.73
2010-09-07,30.22,21.55
2010-09-08,30.46,21.67
2010-09-09,30.84,21.73
2010-09-10,30.82,21.74
2010-09-13,30.9,22.13
2010-09-14,30.91,22.22
2010-09-15,31.19,22.36
2010-09-16,31.42,22.49
2010-09-17,31.68,22.53
2010-09-20,32.09,22.86
2010-09-21,32.32,22.82
2010-09-22,32.39,22.71
2010-09-23,32.17,22.68
2010-09-24,32.64,23.12
2010-09-27,32.86,23.13
2010-09-28,32.72,23.16
2010-09-29,32.66,23.11
2010-09-30,32.59,23.02
2010-10-01,32.89,23.03
2010-10-04,33.03,22.84
2010-10-05,33.57,23.29
2010-10-06,33.36,23.18
2010-10-07,32.93,23.18
2010-10-08,32.83,23.31
2010-10-11,33.03,23.35
2010-10-12,32.54,23.49
2010-10-13,32.21,23.68
2010-10-14,32.44,23.69
2010-10-15,32.43,24.09
2010-10-18,32.59,24.25
2010-10-19,32.16,23.82
2010-10-20,32.64,24.02
2010-10-21,32.52,24.04
2010-10-22,32.09,24.11
2010-10-25,32.35,24.18
2010-10-26,32.5,24.24
2010-10-27,32.51,24.31
2010-10-28,32.41,24.31
2010-10-29,32.48,24.35
2010-11-01,32.4,24.37
2010-11-02,32.8,24.61
2010-11-03,32.99,24.75
2010-11-04,33.52,25.12
2010-11-05,33.43,25.1
2010-11-08,33.17,25.12
2010-11-09,33.01,25.05
2010-11-10,32.85,25.07
2010-11-11,32.63,24.685
2010-11-12,32.56,24.34
2010-11-15,32.77,24.27
2010-11-16,32.19,23.83
2010-11-17,32.34,23.84
2010-11-18,32.65,24.24
2010-11-19,32.59,24.31
2010-11-22,32.5,24.45
2010-11-23,32.39,24.09
2010-11-24,32.35,24.49
2010-11-26,32.27,24.25
2010-11-29,31.9,24.19
2010-11-30,32.01,23.95
2010-12-01,32.35,24.46
2010-12-02,32.74,24.75
2010-12-03,32.9,24.805
2010-12-06,32.89,24.81
2010-12-07,32.95,24.84
2010-12-08,32.98,25.05
2010-12-09,33.56,25.07
2010-12-10,34.04,25.185
2010-12-13,34.11,25.14
2010-12-14,34.67,25.18
2010-12-15,34.63,25.08
2010-12-16,34.76,25.12
2010-12-17,34.64,25.08
2010-12-20,34.74,25.1
2010-12-21,34.94,25.25
2010-12-22,35.18,25.22
2010-12-23,35.44,25.21
2010-12-27,35.5,25.26
2010-12-28,35.62,25.23
2010-12-29,35.58,25.28
2010-12-30,35.56,25.22
2010-12-31,35.78,25.19
2011-01-03,36.43,25.47
2011-01-04,37.16,25.57
2011-01-05,37.67,25.72
2011-01-06,36.23,25.87
2011-01-07,35.93,25.75
2011-01-10,35.92,25.7725
2011-01-11,35.36,25.73
2011-01-12,35.47,25.96
2011-01-13,35.8,25.94
2011-01-14,35.46,26.17
2011-01-18,34.36,26.1975
2011-01-19,34.6,26.01
2011-01-20,34.61,25.87
2011-01-21,34.95,25.72
2011-01-24,35.24,26.08
2011-01-25,35.79,26.2
2011-01-26,36.4,26.35
2011-01-27,36.49,26.44
2011-01-28,35.63,25.83
2011-01-31,35.62,25.99
2011-02-01,36.27,26.43
2011-02-02,36.16,26.4775
2011-02-03,36.38,26.52
2011-02-04,36.31,26.69
2011-02-07,36.02,26.8225
2011-02-08,36.34,26.9325
2011-02-09,36.68,26.88
2011-02-10,36.42,26.76
2011-02-11,36.39,26.9025
2011-02-14,35.9,26.94
2011-02-15,36.46,26.84
2011-02-16,36.17,26.9875
2011-02-17,36.37,27.04
2011-02-18,36.62,27.0
2011-02-22,36.0,26.34
2011-02-23,35.81,26.03
2011-02-24,35.58,26.12
2011-02-25,35.97,26.45
2011-02-28,36.92,26.56
2011-03-01,36.02,26.05
2011-03-02,36.34,26.21
2011-03-03,36.36,26.63
2011-03-04,36.08,26.415
2011-03-07,36.01,26.08
2011-03-08,36.48,26.2975
2011-03-09,36.65,26.19
2011-03-10,36.4,25.7
2011-03-11,35.85,25.8
2011-03-14,35.18,25.68
2011-03-15,34.87,25.3
2011-03-16,34.3,24.6825
2011-03-17,35.33,24.94
2011-03-18,35.84,24.9
2011-03-21,36.46,25.3225
2011-03-22,36.95,25.28
2011-03-23,36.98,25.42
2011-03-24,37.18,25.8175
2011-03-25,37.29,25.88
2011-03-28,37.75,25.82
2011-03-29,38.29,26.0
2011-03-30,38.46,26.11
2011-03-31,38.54,26.0625
2011-04-01,38.47,26.01
2011-04-04,38.61,25.92
2011-04-05,38.38,25.88
2011-04-06,37.85,26.07
2011-04-07,37.76,26.08
2011-04-08,37.72,25.93
2011-04-11,37.85,25.89
2011-04-12,37.64,25.68
2011-04-13,37.69,25.84
2011-04-14,37.71,25.79
2011-04-15,37.85,25.74
2011-04-18,37.31,25.51
2011-04-19,37.24,25.58
2011-04-20,37.79,26.119
2011-04-21,36.91,26.35
2011-04-25,36.99,26.37
2011-04-26,37.63,26.59
2011-04-27,38.25,26.75
2011-04-28,38.27,26.76
2011-04-29,37.78,26.74
2011-05-02,37.56,26.64
2011-05-03,37.8,26.65
2011-05-04,37.67,26.57
2011-05-05,37.12,26.43
2011-05-06,37.28,26.48
2011-05-09,37.24,26.59
2011-05-10,37.57,26.83
2011-05-11,37.26,26.59
2011-05-12,37.43,26.79
2011-05-13,37.26,26.46
2011-05-16,36.97,26.08
2011-05-17,37.11,26.08
2011-05-18,37.09,26.27
2011-05-19,37.32,26.32
2011-05-20,37.15,26.169
2011-05-23,36.85,25.8
2011-05-24,36.9,25.72
2011-05-25,36.4,25.8
2011-05-26,36.61,25.97
2011-05-27,36.67,26.1
2011-05-31,36.93,26.46
2011-06-01,36.27,25.91
2011-06-02,36.17,25.93
2011-06-03,35.63,25.54
2011-06-06,35.21,25.35
2011-06-07,35.38,25.27
2011-06-08,35.9,25.1
2011-06-09,35.67,25.12
2011-06-10,35.19,24.77
2011-06-13,35.63,24.79
2011-06-14,35.58,25.1
2011-06-15,35.12,24.63
2011-06-16,35.24,24.57
2011-06-17,35.51,24.445
2011-06-20,35.65,24.5425
2011-06-21,35.99,24.98
2011-06-22,35.94,24.8
2011-06-23,36.05,24.97
2011-06-24,36.0,24.54
2011-06-27,36.4,24.87
2011-06-28,36.57,25.18
2011-06-29,36.72,25.38
2011-06-30,37.23,25.7
2011-07-01,37.8,26.12
2011-07-05,37.82,26.16
2011-07-06,37.54,26.28
2011-07-07,37.42,26.6
2011-07-08,37.48,26.47
2011-07-11,37.12,26.03
2011-07-12,37.09,25.8
2011-07-13,36.94,25.86
2011-07-14,36.88,25.64
2011-07-15,36.82,25.92
2011-07-18,36.71,25.83
2011-07-19,36.97,26.45
2011-07-20,37.33,26.37
2011-07-21,37.57,26.49
2011-07-22,36.74,26.72
2011-07-25,36.22,26.65
2011-07-26,36.28,26.77
2011-07-27,36.21,26.06
2011-07-28,35.66,26.02
2011-07-29,35.29,25.81
2011-08-01,35.87,25.79
2011-08-02,35.49,25.25
2011-08-03,35.97,25.51
2011-08-04,34.92,24.48
2011-08-05,35.05,24.33
2011-08-08,33.12,22.96
2011-08-09,34.29,24.01
2011-08-10,33.66,23.07
2011-08-11,34.62,23.95
2011-08-12,34.3,24.121
2011-08-15,35.05,24.55
2011-08-16,34.88,24.37
2011-08-17,35.61,24.26
2011-08-18,35.07,23.08
2011-08-19,34.71,22.52
2011-08-22,34.82,22.64
2011-08-23,35.96,23.47
2011-08-24,36.47,23.68
2011-08-25,35.77,23.34
2011-08-26,35.76,23.8
2011-08-29,36.14,24.4
2011-08-30,36.31,24.5
2011-08-31,36.165,24.44
2011-09-01,35.88,24.17
2011-09-02,35.56,23.62
2011-09-06,35.22,23.51
2011-09-07,35.62,24.12
2011-09-08,35.38,24.0
2011-09-09,35.24,23.49
2011-09-12,35.25,23.77
2011-09-13,35.5,24.05
2011-09-14,35.6,24.41
2011-09-15,36.19,24.8
2011-09-16,36.72,24.98
2011-09-19,36.28,24.92
2011-09-20,36.41,24.86
2011-09-21,35.84,24.49
2011-09-22,35.59,23.73
2011-09-23,35.88,24.0
2011-09-26,36.36,24.3
2011-09-27,36.89,24.61
2011-09-28,36.84,24.26
2011-09-29,37.15,24.21
2011-09-30,36.8,23.6
2011-10-03,36.34,23.07
2011-10-04,36.4,23.54
2011-10-05,35.77,24.03
2011-10-06,35.91,24.39
2011-10-07,36.16,24.3
2011-10-10,36.9,25.05
2011-10-11,36.5,25.16
2011-10-12,36.67,25.27
2011-10-13,37.02,25.55
2011-10-14,37.33,26.0
2011-10-17,36.94,25.59
2011-10-18,37.24,25.82
2011-10-19,37.05,25.32
2011-10-20,37.1,25.21
2011-10-21,37.42,25.53
2011-10-24,36.93,25.93
2011-10-25,36.19,25.52
2011-10-26,36.81,25.63
2011-10-27,37.66,26.39
2011-10-28,37.63,26.48
2011-10-31,36.98,26.01
2011-11-01,36.47,25.29
2011-11-02,36.8,25.6
2011-11-03,37.45,26.21
2011-11-04,37.17,26.05
2011-11-07,37.34,26.21
2011-11-08,37.52,26.51
2011-11-09,36.89,25.59
2011-11-10,37.33,25.67
2011-11-11,37.52,26.16
2011-11-14,37.0,25.96
2011-11-15,37.24,26.31
2011-11-16,36.65,25.92
2011-11-17,36.7,25.42
2011-11-18,36.46,25.21
2011-11-21,36.07,24.77
2011-11-22,36.19,24.73
2011-11-23,35.35,24.14
2011-11-25,35.35,24.01
2011-11-28,36.25,24.8
2011-11-29,36.63,24.67
2011-11-30,37.73,25.62
2011-12-01,37.77,25.76
2011-12-02,37.85,25.74
2011-12-05,38.05,26.03
2011-12-06,38.32,26.02
2011-12-07,38.31,26.05
2011-12-08,37.81,25.64
2011-12-09,38.43,26.04
2011-12-12,38.35,25.71
2011-12-13,38.26,25.47
2011-12-14,38.26,25.08
2011-12-15,38.42,25.02
2011-12-16,38.78,24.98
2011-12-19,38.63,24.74
2011-12-20,39.21,25.435
2011-12-21,39.23,25.02
2011-12-22,39.29,25.31
2011-12-23,39.98,25.56
2011-12-27,39.99,25.6
2011-12-28,39.76,25.34
2011-12-29,40.05,25.53
2011-12-30,40.12,25.45
2012-01-03,39.73,25.81
2012-01-04,39.21,25.88
2012-01-05,38.94,25.96
2012-01-06,38.33,25.97
2012-01-09,38.37,25.93
2012-01-10,38.57,26.02
2012-01-11,38.9,26.1
2012-01-12,38.92,26.23
2012-01-13,38.92,26.08
2012-01-17,39.02,26.2
2012-01-18,39.01,26.58
2012-01-19,39.0,26.77
2012-01-20,38.97,26.8
2012-01-23,38.4,26.89
2012-01-24,37.79,26.87
2012-01-25,37.69,27.08
2012-01-26,37.34,26.9
2012-01-27,37.21,26.9
2012-01-30,37.61,26.98
2012-01-31,37.66,27.03
2012-02-01,37.8,27.3
2012-02-02,37.56,27.37
2012-02-03,37.84,27.715
2012-02-06,38.14,27.73
2012-02-07,37.92,27.8
2012-02-08,37.92,27.97
2012-02-09,37.92,28.24
2012-02-10,37.69,28.03
2012-02-13,38.13,28.21
2012-02-14,38.04,28.26
2012-02-15,37.83,28.11
2012-02-16,38.05,28.52
2012-02-17,38.46,28.52
2012-02-21,38.49,28.64
2012-02-22,38.21,28.54
