date,WFC,XLF
2010-01-04,27.32,14.69
2010-01-05,28.07,14.96
2010-01-06,28.11,14.99
2010-01-07,29.13,15.31
2010-01-08,28.86,15.22
2010-01-11,28.8,15.23
2010-01-12,28.08,15.01
2010-01-13,28.58,15.18
2010-01-14,28.99,15.25
2010-01-15,28.08,14.94
2010-01-19,28.28,15.13
2010-01-20,27.82,15.09
2010-01-21,28.0,14.66
2010-01-22,27.26,14.182
2010-01-25,27.66,14.26
2010-01-26,26.99,14.01
2010-01-27,28.2,14.35
2010-01-28,28.45,14.28
2010-01-29,28.43,14.18
2010-02-01,28.93,14.42
2010-02-02,28.79,14.558
2010-02-03,28.14,14.4
2010-02-04,27.06,13.78
2010-02-05,27.42,13.94
2010-02-08,26.43,13.66
2010-02-09,26.71,13.8
2010-02-10,27.18,13.91
2010-02-11,27.08,13.94
2010-02-12,26.88,13.95
2010-02-16,27.39,14.24
2010-02-17,27.33,14.29
2010-02-18,27.34,14.38
2010-02-19,27.37,14.46
2010-02-22,28.01,14.65
2010-02-23,27.29,14.38
2010-02-24,27.66,14.63
2010-02-25,27.44,14.59
2010-02-26,27.34,14.68
2010-03-01,27.35,14.72
2010-03-02,27.87,14.77
2010-03-03,28.2,14.78
2010-03-04,28.43,14.93
2010-03-05,29.15,15.22
2010-03-08,28.89,15.25
2010-03-09,28.98,15.3
2010-03-10,29.57,15.47
2010-03-11,29.76,15.6
2010-03-12,29.63,15.54
2010-03-15,29.89,15.54
2010-03-16,30.28,15.729
2010-03-17,30.55,15.92
2010-03-18,30.29,15.83
2010-03-19,30.38,15.69
2010-03-22,30.41,15.77
2010-03-23,31.08,15.9
2010-03-24,30.86,15.91
2010-03-25,31.06,15.98
2010-03-26,31.22,16.0
2010-03-29,31.1,16.02
2010-03-30,30.84,15.92
2010-03-31,31.12,15.95
2010-04-01,31.37,16.08
2010-04-05,31.51,16.24
2010-04-06,32.28,16.41
2010-04-07,31.99,16.35
2010-04-08,32.23,16.48
2010-04-09,32.3,16.541
2010-04-12,32.42,16.61
2010-04-13,32.15,16.62
2010-04-14,33.28,17.05
2010-04-15,33.51,16.98
2010-04-16,32.56,16.36
2010-04-19,33.02,16.52
2010-04-20,33.69,16.74
2010-04-21,33.01,16.64
2010-04-22,33.58,16.73
2010-04-23,33.48,16.78
2010-04-26,32.72,16.5175
2010-04-27,31.72,15.959
2010-04-28,32.45,16.19
2010-04-29,33.23,16.56
2010-04-30,33.11,16.159
2010-05-03,33.88,16.47
2010-05-04,32.94,16.02
2010-05-05,32.66,15.9325
2010-05-06,31.18,15.26
2010-05-07,30.82,15.09
2010-05-10,32.97,15.931
2010-05-11,32.91,15.87
2010-05-12,33.66,16.05
2010-05-13,33.08,15.76
2010-05-14,32.04,15.35
2010-05-17,31.97,15.36
2010-05-18,30.59,14.92
2010-05-19,30.08,14.94
2010-05-20,28.69,14.245
2010-05-21,30.11,14.75
2010-05-24,28.71,14.33
2010-05-25,28.9,14.46
2010-05-26,28.04,14.36
2010-05-27,29.41,15.01
2010-05-28,28.69,14.68
2010-06-01,28.23,14.37
2010-06-02,29.18,14.82
2010-06-03,28.86,14.739
2010-06-04,27.78,14.15
2010-06-07,27.29,13.87
2010-06-08,27.76,14.16
2010-06-09,27.03,14.01
2010-06-10,28.13,14.47
2010-06-11,27.84,14.51
2010-06-14,27.4,14.45
2010-06-15,27.91,14.7925
2010-06-16,28.12,14.8
2010-06-17,27.93,14.78
2010-06-18,28.07,14.83
2010-06-21,27.94,14.81
2010-06-22,27.46,14.575
2010-06-23,27.32,14.51
2010-06-24,26.86,14.25
2010-06-25,27.05,14.635
2010-06-28,27.03,14.5
2010-06-29,25.93,13.98
2010-06-30,25.6,13.81
2010-07-01,25.18,13.68
2010-07-02,24.88,13.52
2010-07-06,25.15,13.6
2010-07-07,26.66,14.2
2010-07-08,26.64,14.31
2010-07-09,27.0,14.51
2010-07-12,27.06,14.53
2010-07-13,27.94,14.89
2010-07-14,27.66,14.78
2010-07-15,27.81,14.75
2010-07-16,26.24,14.129
2010-07-19,26.02,14.12
2010-07-20,25.91,14.27
2010-07-21,26.06,14.039
2010-07-22,27.39,14.45
2010-07-23,27.42,14.56
2010-07-26,27.91,14.76
2010-07-27,28.39,14.8
2010-07-28,28.07,14.67
2010-07-29,27.69,14.72
2010-07-30,27.73,14.71
2010-08-02,28.57,15.08
2010-08-03,28.12,14.91
2010-08-04,27.93,14.97
2010-08-05,27.88,14.91
2010-08-06,27.75,14.78
2010-08-09,28.23,14.86
2010-08-10,27.77,14.73
2010-08-11,26.3,14.21
2010-08-12,26.0,14.11
2010-08-13,25.84,14.07
2010-08-16,25.68,14.03
2010-08-17,25.34,14.14
2010-08-18,25.38,14.2
2010-08-19,24.43,13.87
2010-08-20,24.6,13.83
2010-08-23,24.23,13.74
2010-08-24,23.64,13.51
2010-08-25,23.6,13.55
2010-08-26,23.49,13.44
2010-08-27,24.0,13.73
2010-08-30,23.25,13.44
2010-08-31,23.55,13.5545
2010-09-01,24.66,14.0815
2010-09-02,25.1,14.22
2010-09-03,25.84,14.519
2010-09-07,24.92,14.185
2010-09-08,25.22,14.33
2010-09-09,25.69,14.51
2010-09-10,25.75,14.53
2010-09-13,26.5,14.84
2010-09-14,26.06,14.71
2010-09-15,26.34,14.76
2010-09-16,26.06,14.715
2010-09-17,26.01,14.6105
2010-09-20,26.56,14.885
2010-09-21,26.38,14.75
2010-09-22,25.81,14.5095
2010-09-23,25.04,14.23
2010-09-24,25.59,14.605
2010-09-27,25.53,14.445
2010-09-28,25.35,14.48
2010-09-29,25.04,14.37
2010-09-30,25.115,14.3445
2010-10-01,25.56,14.5
2010-10-04,25.38,14.4
2010-10-05,26.2525,14.73
2010-10-06,26.3,14.72
2010-10-07,26.0,14.66
2010-10-08,25.95,14.7
2010-10-11,25.65,14.68
2010-10-12,25.98,14.845
2010-10-13,25.81,14.859
2010-10-14,24.72,14.595
2010-10-15,23.58,14.345
2010-10-18,24.87,14.67
2010-10-19,24.55,14.4655
2010-10-20,25.6,14.61
2010-10-21,26.03,14.6055
2010-10-22,26.11,14.6015
2010-10-25,25.72,14.55
2010-10-26,25.91,14.57
2010-10-27,25.75,14.58
2010-10-28,25.94,14.575
2010-10-29,26.06,14.559
2010-11-01,25.93,14.56
2010-11-02,25.97,14.595
2010-11-03,26.46,14.74
2010-11-04,27.46,15.231
2010-11-05,29.22,15.58
2010-11-08,29.04,15.4595
2010-11-09,28.13,15.17
2010-11-10,28.58,15.34
2010-11-11,28.19,15.19
2010-11-12,27.54,14.94
2010-11-15,27.65,15.005
2010-11-16,27.19,14.755
2010-11-17,26.86,14.6555
2010-11-18,27.51,14.86
2010-11-19,27.49,14.8545
2010-11-22,26.95,14.64
2010-11-23,26.8,14.41
2010-11-24,27.1125,14.63
2010-11-26,26.65,14.42
2010-11-29,27.2,14.54
2010-11-30,27.21,14.46
2010-12-01,27.53,14.7525
2010-12-02,28.78,15.13
2010-12-03,29.05,15.1805
2010-12-06,28.7425,15.155
2010-12-07,28.47,15.18
2010-12-08,29.37,15.425
2010-12-09,30.07,15.615
2010-12-10,30.27,15.7545
2010-12-13,30.22,15.7445
2010-12-14,29.8175,15.605
2010-12-15,29.79,15.48
2010-12-16,30.02,15.5
2010-12-17,29.96,15.53
2010-12-20,30.1,15.54
2010-12-21,30.82,15.81
2010-12-22,31.31,15.985
2010-12-23,30.99,15.87
2010-12-27,31.21,16.01
2010-12-28,31.2,16.012
2010-12-29,31.02,15.98
2010-12-30,30.82,15.93
2010-12-31,30.99,15.95
2011-01-03,31.58,16.3
2011-01-04,31.65,16.275
2011-01-05,32.37,16.47
2011-01-06,32.15,16.362
2011-01-07,31.5,16.215
2011-01-10,31.2,16.1745
2011-01-11,31.4,16.24
2011-01-12,32.01,16.513
2011-01-13,31.89,16.4555
