date,WY,IYR
1/4/2010,18.12221082,45.81
1/5/2010,18.50691369,45.92
1/6/2010,18.30228168,45.9
1/7/2010,18.22043051,46.31
1/8/2010,18.05263062,46
1/11/2010,18.17132046,46.22
1/12/2010,17.95850153,45.44
1/13/2010,18.12221082,46.29
1/14/2010,17.95031461,46.13
1/15/2010,17.83981782,45.71
1/19/2010,18.30228168,46.62
1/20/2010,17.99943039,46.14
1/21/2010,17.17680559,44.83
1/22/2010,16.88623182,43.8
1/25/2010,16.9639928,44.12
1/26/2010,17.00901225,43.74
1/27/2010,16.88214122,44.14
1/28/2010,16.56700628,43.72
1/29/2010,16.32963233,43.43
2/1/2010,16.77982522,44.22
2/2/2010,17.37734742,44.95
2/3/2010,17.09086383,44.43
2/4/2010,16.53017416,42.77
2/5/2010,16.14546474,43.57
2/8/2010,16.06361316,42.58
2/9/2010,16.28461328,42.45
2/10/2010,16.06361316,42.48
2/11/2010,16.21503922,42.85
2/12/2010,16.18229728,43.24
2/16/2010,16.56700628,44.4
2/17/2010,16.50152281,44.82
2/18/2010,16.61611592,45.42
2/19/2010,16.89850933,45.41
2/22/2010,16.90259951,45.6
2/23/2010,16.7880064,45.24
2/24/2010,17.20545735,45.68
2/25/2010,16.87395431,45.91
2/26/2010,16.53426434,45.8
3/1/2010,17.07448959,46.27
3/2/2010,17.36097973,46.29
3/3/2010,17.50421846,46.19
3/4/2010,17.40599877,46.38
3/5/2010,17.75386951,47.44
3/8/2010,17.83981782,48.03
3/9/2010,17.82344358,48.19
3/10/2010,17.59835327,48.45
3/11/2010,17.9216694,48.69
3/12/2010,17.87664995,49.05
3/15/2010,17.74977933,48.91
3/16/2010,18.26954628,50.18
3/17/2010,18.54784296,50.79
3/18/2010,18.34321094,50.59
3/19/2010,18.15904336,50.16
3/22/2010,18.4005075,50.68
3/23/2010,18.54784296,50.54
3/24/2010,18.41688133,50.7
3/25/2010,18.07309505,50.29
3/26/2010,18.1303916,50.11
3/29/2010,18.36776556,50.33
3/30/2010,18.51919734,50.23
3/31/2010,18.52737853,49.78
4/1/2010,18.66243607,50.01
4/5/2010,18.87525541,51.05
4/6/2010,18.95710699,52.08
4/7/2010,18.81386171,50.96
4/8/2010,18.75656516,50.98
4/9/2010,19.31316465,51.7875
4/12/2010,18.88344233,51.45
4/13/2010,18.74428765,52.62
4/14/2010,19.2681452,52.67
4/15/2010,19.19039035,51.36
4/16/2010,19.58737073,50.29
4/19/2010,19.76744772,50.48
4/20/2010,20.38134377,51.27
4/21/2010,20.87246551,52.23
4/22/2010,21.21214934,52.99
4/23/2010,21.81376787,53.68
4/26/2010,21.3553942,54.02
4/27/2010,20.51231153,52.31
4/28/2010,20.17671175,52.49
4/29/2010,20.75786585,54.66
4/30/2010,20.26675066,52.96
5/3/2010,20.7742401,54.6
5/4/2010,19.9229701,53.32
5/5/2010,19.57918995,52.57
5/6/2010,18.58467508,50.455
5/7/2010,18.2818238,49.61
5/10/2010,19.41139006,52.88
5/11/2010,19.29679654,52.94
5/12/2010,19.79609948,53.8
5/13/2010,19.25996442,53.09
